replicate,branch,resolution,reference_state,reference_cells,mapped_cells,jaccard,recall
7,unintegrated,0.4,B_CONV,119286,119386,0.9990284268891234,0.999932934292373
7,unintegrated,0.4,B_ASC,1034,934,0.8886756238003839,0.8955512572533849
7,unintegrated,0.6,B_CONV,119286,119386,0.9990284268891234,0.999932934292373
7,unintegrated,0.6,B_ASC,1034,934,0.8886756238003839,0.8955512572533849
7,unintegrated,0.8,B_CONV,119286,119388,0.9990284350265924,0.9999413175058264
7,unintegrated,0.8,B_ASC,1034,932,0.8885686839577329,0.8945841392649904
8,harmony,0.4,B_CONV,119268,119259,0.999505419429472,0.999714927725794
8,harmony,0.4,B_ASC,1052,1061,0.9456721915285451,0.9762357414448669
8,harmony,0.6,B_CONV,119268,119256,0.9994970324917011,0.9996981587684878
8,harmony,0.6,B_ASC,1052,1064,0.9448529411764706,0.9771863117870723
8,harmony,0.8,B_CONV,119268,119253,0.9994886454133171,0.9996813898111815
8,harmony,0.8,B_ASC,1052,1067,0.9440366972477064,0.9781368821292775
8,unintegrated,0.4,B_CONV,119268,119368,0.9989780447147321,0.9999077707348157
8,unintegrated,0.4,B_ASC,1052,952,0.8852304797742239,0.8944866920152091
8,unintegrated,0.6,B_CONV,119268,119376,0.9989948233402021,0.9999496931280812
8,unintegrated,0.6,B_ASC,1052,944,0.8865784499054821,0.8916349809885932
8,unintegrated,0.8,B_CONV,119268,119367,0.998969668032066,0.9998993862561626
8,unintegrated,0.8,B_ASC,1052,953,0.8843984962406015,0.8944866920152091
9,harmony,0.4,B_CONV,119291,119276,0.9994217134045157,0.9996479197927757
9,harmony,0.4,B_ASC,1029,1044,0.9355742296918768,0.9737609329446064
9,harmony,0.6,B_CONV,119291,119275,0.9994133324393637,0.9996395369306988
9,harmony,0.6,B_ASC,1029,1045,0.9347014925373134,0.9737609329446064
9,harmony,0.8,B_CONV,119291,119270,0.999371427613604,0.999597622620315
9,harmony,0.8,B_ASC,1029,1050,0.9303621169916435,0.9737609329446064
9,unintegrated,0.4,B_CONV,119291,119399,0.9990117584000536,0.9999580856896162
9,unintegrated,0.4,B_ASC,1029,921,0.8858800773694391,0.8901846452866861
9,unintegrated,0.6,B_CONV,119291,119394,0.9989866251266719,0.9999245542413091
9,unintegrated,0.6,B_ASC,1029,926,0.8834296724470135,0.891156462585034
9,unintegrated,0.8,B_CONV,119291,119398,0.9990201251224844,0.9999580856896162
9,unintegrated,0.8,B_ASC,1029,922,0.8868471953578336,0.891156462585034
10,harmony,0.4,B_CONV,119296,119284,0.9993798553554518,0.9996395520386266
10,harmony,0.4,B_ASC,1024,1036,0.9306466729147141,0.9697265625
10,harmony,0.6,B_CONV,119296,119277,0.9993714592202743,0.9996060219957081
10,harmony,0.6,B_ASC,1024,1043,0.9299719887955182,0.97265625
10,harmony,0.8,B_CONV,119296,119256,0.9992289770536866,0.9994467542918455
10,harmony,0.8,B_ASC,1024,1064,0.9155963302752294,0.974609375
10,unintegrated,0.4,B_CONV,119296,119400,0.9990452661111344,0.999958087446352
10,unintegrated,0.4,B_ASC,1024,920,0.8892128279883382,0.8935546875
10,unintegrated,0.6,B_CONV,119296,119385,0.9990200922955804,0.9998826448497854
10,unintegrated,0.6,B_ASC,1024,935,0.8872832369942196,0.8994140625
10,unintegrated,0.8,B_CONV,119296,119398,0.999045258115306,0.9999497049356223
10,unintegrated,0.8,B_ASC,1024,922,0.8893203883495145,0.89453125
11,harmony,0.4,B_CONV,119269,119246,0.9992372362807306,0.9995220887238092
11,harmony,0.4,B_ASC,1051,1074,0.9178700361010831,0.9676498572787822
11,harmony,0.6,B_CONV,119269,119229,0.9991785277204982,0.9994214758235586
11,harmony,0.6,B_ASC,1051,1091,0.9125,0.972407231208373
11,harmony,0.8,B_CONV,119269,119236,0.9992036881810562,0.9994633978653297
11,harmony,0.8,B_ASC,1051,1084,0.9147982062780269,0.9705042816365367
11,unintegrated,0.4,B_CONV,119269,119372,0.9990199281280627,0.9999413091415205
11,unintegrated,0.4,B_ASC,1051,948,0.889413988657845,0.8953377735490009
11,unintegrated,0.6,B_CONV,119269,119373,0.9990283048107289,0.9999496935498746
