mapper,threshold,coverage,B_CONV_precision,B_ASC_precision,accuracy,eligible,selected,diagnostic_fallback_only
elastic_net,0.7,0.9851048951048951,0.9953748006379586,0.7937944408532643,0.973237736920565,False,False,True
elastic_net,0.71,0.983986013986014,0.9954534577650156,0.7998696219035202,0.9741311918129486,False,False,True
elastic_net,0.72,0.9832867132867132,0.9954512808235576,0.8019607843137255,0.9743972690420312,False,False,True
elastic_net,0.73,0.9827972027972028,0.9954498283707193,0.8028814669286182,0.9745268251031735,False,False,True
elastic_net,0.74,0.9815384615384616,0.9955250119865751,0.804862023653088,0.9748503847249929,False,False,True
elastic_net,0.75,0.9804895104895105,0.9955210749420139,0.8069828722002635,0.9751087654232936,False,False,True
elastic_net,0.76,0.9796503496503497,0.9955182072829132,0.808454425363276,0.9753015918338211,False,False,True
elastic_net,0.77,0.9788111888111888,0.9955153359493873,0.8099337748344371,0.9754947488747588,False,False,True
elastic_net,0.78,0.9774825174825175,0.9955099422706863,0.8120849933598937,0.9757476033767348,False,False,True
elastic_net,0.79,0.9762237762237762,0.9955059786533986,0.8152101400933957,0.9761461318051576,False,False,True
elastic_net,0.8,0.9747552447552448,0.9955009239174099,0.8183646112600537,0.9765406413659516,False,False,True
elastic_net,0.81,0.9734965034965035,0.9954962200418208,0.8211163416274377,0.9768694777674017,False,False,True
elastic_net,0.82,0.9718181818181818,0.9954918692642086,0.8257627118644068,0.977477153342448,False,False,True
elastic_net,0.83,0.9706293706293706,0.9955680902497985,0.8285714285714286,0.9778818443804035,False,False,True
elastic_net,0.84,0.9688111888111888,0.9955620108125555,0.8316221765913757,0.9782734228381694,False,False,True
elastic_net,0.85,0.968041958041958,0.9956395348837209,0.8327621658670322,0.9784728743769414,False,False,True
elastic_net,0.86,0.9666433566433567,0.995635305528613,0.8359751895244659,0.9788757867322578,False,False,True
elastic_net,0.87,0.9653846153846154,0.9956314214060351,0.840027700831025,0.9793553060485332,False,False,True
elastic_net,0.88,0.9631468531468531,0.9957032833400892,0.8435326842837274,0.979815581209613,False,False,True
elastic_net,0.89,0.9613286713286713,0.9956970041406187,0.8482517482517482,0.9803593511311559,False,False,True
elastic_net,0.9,0.9588111888111888,0.9959316517493898,0.8529204785362421,0.981110057617971,False,False,True
elastic_net,0.91,0.9560839160839161,0.9960861056751468,0.859375,0.9820070216500878,False,False,True
elastic_net,0.92,0.9534965034965035,0.9960771493952272,0.8649035025017869,0.9826182618261826,False,False,True
elastic_net,0.93,0.9505594405594405,0.9961503808665738,0.8713872832369942,0.9834473626131097,False,False,True
elastic_net,0.94,0.9467832167832168,0.9962183492272279,0.8763636363636363,0.9840460890760027,False,False,True
elastic_net,0.95,0.941958041958042,0.9964495087110891,0.8852097130242825,0.9852264291017075,False,True,True
nearest_centroid,0.11776697933673859,0.95,0.9923743779097769,1.0,0.993006993006993,True,True,False
nearest_centroid,0.12207436680793762,0.94,0.9926936190940088,1.0,0.9933045677726529,True,False,False
nearest_centroid,0.12608781039714814,0.93,0.9932670991050169,1.0,0.993834122866381,True,False,False
nearest_centroid,0.13003793239593506,0.92,0.99352105656616,1.0,0.9940711462450593,True,False,False
nearest_centroid,0.13315413057804107,0.91,0.9936980085707083,1.0,0.9942365326980711,True,False,False
nearest_centroid,0.13623102307319643,0.9,0.993963611630675,1.0,0.9944832944832945,True,False,False
nearest_centroid,0.13852862477302552,0.89,0.9948369331382841,1.0,0.9952856132631414,True,False,False
nearest_centroid,0.14080955743789672,0.88,0.9952086418677585,1.0,0.9956293706293706,True,False,False
nearest_centroid,0.14298203349113464,0.87,0.9955026455026456,1.0,0.9959006510730649,True,False,False
nearest_centroid,0.14525224924087524,0.86,0.9955365113372612,1.0,0.9959342982598797,True,False,False
nearest_centroid,0.1474021077156067,0.85,0.9956604285326824,1.0,0.9960510078157137,True,False,False
nearest_centroid,0.14941415309906006,0.84,0.9957887027373432,1.0,0.9961704961704961,True,False,False
nearest_centroid,0.15161757707595824,0.83,0.9963831957711212,1.0,0.9967141292442497,True,False,False
nearest_centroid,0.15333001732826232,0.82,0.9964302489431658,1.0,0.9967593382227529,True,False,False
nearest_centroid,0.1549326413869858,0.81,0.9966679360243716,1.0,0.9969783303116636,True,False,False
nearest_centroid,0.15626341104507446,0.8,0.9967200463052286,1.0,0.997027972027972,True,False,False
nearest_centroid,0.15795945703983308,0.79,0.9969685116370037,1.0,0.9972559086483137,False,False,False
nearest_centroid,0.15925163626670838,0.78,0.9973230220107079,1.0,0.9975793437331899,False,False,False
nearest_centroid,0.16053544044494628,0.77,0.9975876972560056,1.0,0.9978203614567251,False,False,False
nearest_centroid,0.1619128727912903,0.76,0.99765569258995,1.0,0.9978836952521163,False,False,False
nearest_centroid,0.16334668546915054,0.75,0.9979326028530081,1.0,0.9981351981351981,False,False,False
nearest_centroid,0.164784654378891,0.74,0.9979024646040902,1.0,0.9981099981099981,False,False,False
nearest_centroid,0.16597531497478485,0.73,0.9979778629203917,1.0,0.9981799022894914,False,False,False
nearest_centroid,0.16716418266296387,0.72,0.9981629565593257,1.0,0.9983488733488733,False,False,False
nearest_centroid,0.1683117479085922,0.71,0.9982442664325688,1.0,0.9984241111001675,False,False,False
nearest_centroid,0.16964412927627565,0.7,0.9984395898350423,1.0,0.9986013986013986,False,False,False
nearest_centroid,0.17082186579704284,0.69,0.9984148550724637,1.0,0.9985811290159117,False,False,False
nearest_centroid,0.17189790010452272,0.68,0.9985045438858852,1.0,0.9986631016042781,False,False,False
nearest_centroid,0.17300367414951323,0.67,0.9984800654741026,1.0,0.9986431478968792,False,False,False
nearest_centroid,0.17415926218032837,0.66,0.9984544049459042,1.0,0.9986225895316805,False,False,False
nearest_centroid,0.17523790895938873,0.65,0.9985489721886336,1.0,0.998708983324368,False,False,False
nearest_centroid,0.1762291121482849,0.64,0.9986473192326611,1.0,0.9987980769230769,False,False,False
nearest_centroid,0.1772783577442169,0.63,0.9988737329495683,1.0,0.999000999000999,False,False,False
nearest_centroid,0.17838374257087708,0.62,0.9988533571155561,1.0,0.9989848860816603,False,False,False
nearest_centroid,0.17935627281665803,0.61,0.9992217898832685,1.0,0.9993121632465894,False,False,False
nearest_centroid,0.18037275075912476,0.6,0.9992078162133615,1.0,0.9993006993006993,False,False,False
nearest_centroid,0.18129739046096802,0.59,0.9993274145816519,1.0,0.9994073722887282,False,False,False
nearest_centroid,0.18229819416999818,0.58,0.999314411079117,1.0,0.9993971545695683,False,False,False
nearest_centroid,0.18326778590679169,0.57,0.9994410285075461,1.0,0.9995092626671574,False,False,False
nearest_centroid,0.18429250955581666,0.56,0.9995725277856939,1.0,0.9996253746253746,False,False,False
nearest_centroid,0.18536018431186677,0.55,0.9995636998254799,1.0,0.9996185632549269,False,False,False
nearest_centroid,0.18643989086151122,0.54,0.9995548961424332,1.0,0.9996114996114996,False,False,False
nearest_centroid,0.18739412486553192,0.53,0.9995455234055446,1.0,0.9996041694154901,False,False,False
nearest_centroid,0.18834229469299316,0.52,0.9998452251973379,1.0,0.9998655190962883,False,False,False
nearest_centroid,0.18931939363479613,0.51,0.999841822208162,1.0,0.9998628822158234,False,False,False
nearest_centroid,0.190178781747818,0.5,0.9998382662138121,1.0,0.9998601398601399,False,False,False
