cell_type,gene,candidate_cells,detected_cells,detected_fraction,median_umi_among_detected
progenitor cell,CD37,70,69,0.9857142857142858,3.0
progenitor cell,BANK1,70,16,0.22857142857142856,1.0
progenitor cell,CD74,70,70,1.0,8.0
progenitor cell,HLA-DRA,70,67,0.9571428571428572,8.0
progenitor cell,CD40,70,1,0.014285714285714285,1.0
progenitor cell,MZB1,70,15,0.21428571428571427,1.0
progenitor cell,JCHAIN,70,5,0.07142857142857142,2.0
progenitor cell,SDC1,70,0,0.0,
progenitor cell,DERL3,70,2,0.02857142857142857,1.0
progenitor cell,TNFRSF17,70,0,0.0,
progenitor cell,SEC11C,70,21,0.3,1.0
progenitor cell,CD38,70,22,0.3142857142857143,1.0
progenitor cell,CD3D,70,8,0.11428571428571428,1.0
progenitor cell,CD3E,70,8,0.11428571428571428,1.0
progenitor cell,NKG7,70,20,0.2857142857142857,1.0
progenitor cell,GNLY,70,18,0.2571428571428571,1.0
progenitor cell,LST1,70,38,0.5428571428571428,1.0
progenitor cell,TYROBP,70,33,0.4714285714285714,1.0
progenitor cell,FCER1G,70,21,0.3,1.0
progenitor cell,S100A8,70,39,0.5571428571428572,1.0
progenitor cell,S100A9,70,53,0.7571428571428571,2.0
progenitor cell,FCGR3A,70,1,0.014285714285714285,1.0
progenitor cell,PPBP,70,7,0.1,1.0
progenitor cell,PF4,70,4,0.05714285714285714,1.0
