Processing_Cohort,disease,n_cells,n_hard_fail,n_eligible,hard_fail_fraction
1.0,normal,23763,398,23365,0.0167487270125825
2.0,normal,10203,131,10072,0.012839360972263
2.0,systemic lupus erythematosus,60224,773,59451,0.0128354144527098
3.0,normal,7730,107,7623,0.0138421733505821
3.0,systemic lupus erythematosus,10991,114,10877,0.0103721226458011
4.0,normal,18529,470,18059,0.0253656430460359
4.0,systemic lupus erythematosus,21541,586,20955,0.0272039366788914
