panel,analysis_name,program_id,program_label,analysis_family,publication_role,positive_available,positive_total,negative_available,negative_total,availability_pass,effect,se_hc3,ci_low,ci_high,statistic,df,p_value,q_value_primary4,label,color,order,gene_symbol,gse174188_primary_logFC,gse174188_primary_tested,gse174188_nonoverlap_logFC,gse174188_nonoverlap_tested,n_samples,reference_n,exposed_n,design_rank,design_columns,tested_genes,fdr_0_05_genes,up_fdr_0_05,down_fdr_0_05,common_dispersion,median_tagwise_dispersion
d,primary_base,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,0.836556476435973,0.156481030828288,0.525430264711135,1.14768268816081,5.34605678405811,85.0,7.44251044920975e-07,2.9770041796839e-06,,,,,,,,,,,,,,,,,,,
d,primary_base,PLATELET_AMBIENT_QC,Platelet/ambient overlay,qc_only,sensitivity/QC only; never a B-cell identity,10.0,10.0,0.0,0.0,True,0.0150762078641597,0.0993395653794576,-0.182437461922551,0.212589877650871,0.151764383169702,85.0,0.879732408392451,,,,,,,,,,,,,,,,,,,,
d,primary_base,ASC_UPR_IDENTITY_QC,ASC/UPR identity control,identity_qc_only,B_ASC identity QC; not a new outcome-informed state,10.0,10.0,0.0,0.0,True,-0.0359215944171226,0.0792407228885208,-0.193473380701664,0.121630191867419,-0.453322396713349,85.0,0.651471774035226,,,,,,,,,,,,,,,,,,,,
d,primary_base,PAN_B_IDENTITY_QC,Pan-B identity control,identity_qc_only,B-lineage extraction QC only,5.0,5.0,0.0,0.0,True,0.408920593284872,0.145800805179712,0.119029531461712,0.698811655108032,2.80465250367336,85.0,0.0062411928664448,,,,,,,,,,,,,,,,,,,,
d,validation_nonoverlap,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,1.08624050109214,0.255417464264537,0.573468545179428,1.59901245700485,4.25280434217729,51.0,9.01319089523746e-05,0.0003605276358094,,,,,,,,,,,,,,,,,,,
d,validation_nonoverlap,PLATELET_AMBIENT_QC,Platelet/ambient overlay,qc_only,sensitivity/QC only; never a B-cell identity,10.0,10.0,0.0,0.0,True,-0.102075477877607,0.24122777187757,-0.586360437648467,0.382209481893253,-0.423149777005831,51.0,0.673965077650374,,,,,,,,,,,,,,,,,,,,
d,validation_nonoverlap,ASC_UPR_IDENTITY_QC,ASC/UPR identity control,identity_qc_only,B_ASC identity QC; not a new outcome-informed state,10.0,10.0,0.0,0.0,True,-0.161438306578509,0.122768047587362,-0.407905446428258,0.0850288332712411,-1.31498634824855,51.0,0.19439674512052,,,,,,,,,,,,,,,,,,,,
d,validation_nonoverlap,PAN_B_IDENTITY_QC,Pan-B identity control,identity_qc_only,B-lineage extraction QC only,5.0,5.0,0.0,0.0,True,-0.193959010383016,0.319135378482453,-0.834650016757991,0.446731995991959,-0.607764050809179,51.0,0.546040928500462,,,,,,,,,,,,,,,,,,,,
support,primary_base,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,43.0,46.0,4.0,intercept;is_managed;age_centered;ethnicity_asian,4414.0,282.0,158.0,124.0,0.0460360285110282,0.0338195922708582
support,primary_min20,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,44.0,50.0,4.0,intercept;is_managed;age_centered;ethnicity_asian,4098.0,252.0,126.0,126.0,0.0474305603941241,0.0338642278010116
support,primary_min100,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,41.0,46.0,4.0,intercept;is_managed;age_centered;ethnicity_asian,4524.0,260.0,139.0,121.0,0.0456210371727421,0.0336416385975845
support,primary_residual_risk_negative,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,43.0,46.0,4.0,intercept;is_managed;age_centered;ethnicity_asian,4432.0,289.0,155.0,134.0,0.0462353743608245,0.0341966332447168
support,validation_full,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,21.0,43.0,3.0,intercept;is_managed;age_centered,6099.0,157.0,134.0,23.0,0.0476859507333436,0.0364459922266838
support,validation_nonoverlap,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,21.0,33.0,3.0,intercept;is_managed;age_centered,6077.0,189.0,156.0,33.0,0.0460060871926438,0.0356567335401363
support,flare_full,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,18.0,16.0,4.0,intercept;is_flare;age_centered;ethnicity_european,7761.0,289.0,177.0,112.0,0.0339424206352114,0.0261747376781166
