analysis,replicates,minimum_odds_ratio,median_odds_ratio,maximum_odds_ratio,minimum_p_value,maximum_p_value,all_converged,all_hessians_positive,all_intervals_include_one
flare,20,2.281576179922661,2.360590018162917,2.4885138554939052,0.014815263590764845,0.028168341874469333,True,True,False
primary,20,0.8960395763983153,0.9255553699384884,0.9667578492553742,0.5894097731714099,0.8666222865945089,True,True,True
validation,20,0.6488625476929027,0.7238720917170972,0.8107751421783809,0.2573324534313616,0.5612461991559294,True,True,True
validation_nonoverlap,20,0.511833774831111,0.5674125304556836,0.6375873553291085,0.09532436478788639,0.23273160184640584,True,True,True
