branch,resolution,replicates,median_mapped_ari,minimum_mapped_ari,median_mapped_ami,minimum_mapped_ami,median_mapping_agreement,minimum_mapping_agreement,minimum_state_median_jaccard
harmony,0.4,20,0.9629724043729124,0.929696806592458,0.9165181539403966,0.8630809600618349,0.9993683510638297,0.9987699468085106,0.9303233364573571
harmony,0.6,20,0.9609318211875237,0.9266075666893084,0.9123242902803887,0.8583790677905816,0.9993309507978723,0.9987117686170212,0.92664278906346
harmony,0.8,20,0.9552029987096231,0.9240434385961608,0.9020376638220967,0.8548385195112636,0.9992353723404256,0.9986619015957446,0.9163193553991115
unintegrated,0.4,20,0.9397923598903762,0.9369185849128024,0.8837199084438556,0.8761518805993084,0.9990317486702127,0.9989777260638298,0.8889400846274647
unintegrated,0.6,20,0.9395556913688923,0.936643536408904,0.8835951805056074,0.8761518805993084,0.9990359042553192,0.9989777260638298,0.888517201213169
unintegrated,0.8,20,0.9402561189245836,0.9371640434996686,0.8845520521874853,0.8768844891111339,0.9990359042553192,0.9989777260638298,0.8897359517505148
