replicate,branch,resolution,reference_state,reference_cells,mapped_cells,jaccard,recall
5,harmony,0.4,B_CONV,119289,119281,0.9993798293692697,0.999656296892421
5,harmony,0.4,B_ASC,1031,1039,0.9309701492537313,0.967992240543162
5,harmony,0.6,B_CONV,119289,119275,0.9993630573248408,0.9996227648819254
5,harmony,0.6,B_ASC,1031,1045,0.929368029739777,0.9699321047526673
5,harmony,0.8,B_CONV,119289,119269,0.9993462847181481,0.9995892328714299
5,harmony,0.8,B_ASC,1031,1051,0.9277777777777778,0.9718719689621726
5,unintegrated,0.4,B_CONV,119289,119397,0.9990452261306533,0.9999748509921284
5,unintegrated,0.4,B_ASC,1031,923,0.8897485493230174,0.8923375363724539
5,unintegrated,0.6,B_CONV,119289,119397,0.9990452261306533,0.9999748509921284
5,unintegrated,0.6,B_ASC,1031,923,0.8897485493230174,0.8923375363724539
5,unintegrated,0.8,B_CONV,119289,119396,0.9990535934136802,0.9999748509921284
5,unintegrated,0.8,B_ASC,1031,924,0.8907156673114119,0.8933074684772065
