replicate,branch,resolution,reference_state,reference_cells,mapped_cells,jaccard,recall
16,harmony,0.4,B_CONV,119297,119262,0.9993379093019552,0.9995222008935681
16,harmony,0.4,B_ASC,1023,1058,0.9268518518518518,0.978494623655914
16,harmony,0.6,B_CONV,119297,119255,0.9992792430375715,0.9994635238103221
16,harmony,0.6,B_ASC,1023,1065,0.920883164673413,0.978494623655914
16,harmony,0.8,B_CONV,119297,119255,0.9993127550977647,0.9994802886912496
16,harmony,0.8,B_ASC,1023,1065,0.9244239631336405,0.9804496578690127
16,unintegrated,0.4,B_CONV,119297,119402,0.9990536488953654,0.9999664702381451
16,unintegrated,0.4,B_ASC,1023,918,0.8899707887049659,0.8934506353861192
16,unintegrated,0.6,B_CONV,119297,119402,0.9990536488953654,0.9999664702381451
16,unintegrated,0.6,B_ASC,1023,918,0.8899707887049659,0.8934506353861192
16,unintegrated,0.8,B_CONV,119297,119396,0.9990536251182969,0.999941322916754
16,unintegrated,0.8,B_ASC,1023,924,0.8902912621359224,0.8963831867057673
