mapper,threshold,coverage,accuracy,B_CONV_precision,B_ASC_precision,eligible,selected,recomputed_matches_frozen
elastic_net,0.7,0.9851048951048951,0.973237736920565,0.9953748006379586,0.7937944408532643,False,False,True
elastic_net,0.71,0.983986013986014,0.9741311918129486,0.9954534577650156,0.7998696219035202,False,False,True
elastic_net,0.72,0.9832867132867132,0.9743972690420312,0.9954512808235576,0.8019607843137255,False,False,True
elastic_net,0.73,0.9827972027972028,0.9745268251031735,0.9954498283707193,0.8028814669286182,False,False,True
elastic_net,0.74,0.9815384615384616,0.9748503847249929,0.9955250119865751,0.804862023653088,False,False,True
elastic_net,0.75,0.9804895104895105,0.9751087654232936,0.9955210749420139,0.8069828722002635,False,False,True
elastic_net,0.76,0.9796503496503497,0.9753015918338211,0.9955182072829132,0.808454425363276,False,False,True
elastic_net,0.77,0.9788111888111888,0.9754947488747588,0.9955153359493873,0.8099337748344371,False,False,True
elastic_net,0.78,0.9774825174825175,0.9757476033767348,0.9955099422706863,0.8120849933598937,False,False,True
elastic_net,0.79,0.9762237762237762,0.9761461318051576,0.9955059786533986,0.8152101400933957,False,False,True
elastic_net,0.8,0.9747552447552448,0.9765406413659516,0.9955009239174099,0.8183646112600537,False,False,True
elastic_net,0.81,0.9734965034965035,0.9768694777674017,0.9954962200418208,0.8211163416274377,False,False,True
elastic_net,0.82,0.9718181818181818,0.977477153342448,0.9954918692642086,0.8257627118644068,False,False,True
elastic_net,0.83,0.9706293706293706,0.9778818443804035,0.9955680902497985,0.8285714285714286,False,False,True
elastic_net,0.84,0.9688111888111888,0.9782734228381694,0.9955620108125555,0.8316221765913757,False,False,True
elastic_net,0.85,0.968041958041958,0.9784728743769414,0.9956395348837209,0.8327621658670322,False,False,True
elastic_net,0.86,0.9666433566433567,0.9788757867322578,0.995635305528613,0.8359751895244659,False,False,True
elastic_net,0.87,0.9653846153846154,0.9793553060485332,0.9956314214060351,0.840027700831025,False,False,True
elastic_net,0.88,0.9631468531468531,0.979815581209613,0.9957032833400892,0.8435326842837274,False,False,True
elastic_net,0.89,0.9613286713286713,0.9803593511311559,0.9956970041406187,0.8482517482517482,False,False,True
elastic_net,0.9,0.9588111888111888,0.981110057617971,0.9959316517493898,0.8529204785362421,False,False,True
elastic_net,0.91,0.9560839160839161,0.9820070216500878,0.9960861056751468,0.859375,False,False,True
elastic_net,0.92,0.9534965034965035,0.9826182618261826,0.9960771493952272,0.8649035025017869,False,False,True
elastic_net,0.93,0.9505594405594405,0.9834473626131097,0.9961503808665738,0.8713872832369942,False,False,True
elastic_net,0.94,0.9467832167832168,0.9840460890760027,0.9962183492272279,0.8763636363636363,False,False,True
elastic_net,0.95,0.941958041958042,0.9852264291017075,0.9964495087110891,0.8852097130242825,False,True,True
nearest_centroid,0.1177669793367385,0.95,0.993006993006993,0.9923743779097769,1.0,True,True,True
nearest_centroid,0.1220743668079376,0.94,0.9933045677726529,0.9926936190940088,1.0,True,False,True
nearest_centroid,0.1260878103971481,0.93,0.993834122866381,0.9932670991050169,1.0,True,False,True
nearest_centroid,0.130037932395935,0.92,0.9940711462450593,0.99352105656616,1.0,True,False,True
nearest_centroid,0.133154130578041,0.91,0.9942365326980711,0.9936980085707083,1.0,True,False,True
nearest_centroid,0.1362310230731964,0.9,0.9944832944832945,0.993963611630675,1.0,True,False,True
nearest_centroid,0.1385286247730255,0.89,0.9952856132631414,0.9948369331382841,1.0,True,False,True
nearest_centroid,0.1408095574378967,0.88,0.9956293706293706,0.9952086418677585,1.0,True,False,True
nearest_centroid,0.1429820334911346,0.87,0.9959006510730649,0.9955026455026456,1.0,True,False,True
nearest_centroid,0.1452522492408752,0.86,0.9959342982598797,0.9955365113372612,1.0,True,False,True
nearest_centroid,0.1474021077156067,0.85,0.9960510078157137,0.9956604285326824,1.0,True,False,True
nearest_centroid,0.14941415309906,0.84,0.9961704961704961,0.9957887027373432,1.0,True,False,True
nearest_centroid,0.1516175770759582,0.83,0.9967141292442497,0.9963831957711212,1.0,True,False,True
nearest_centroid,0.1533300173282623,0.82,0.9967593382227529,0.9964302489431658,1.0,True,False,True
nearest_centroid,0.1549326413869858,0.81,0.9969783303116636,0.9966679360243716,1.0,True,False,True
nearest_centroid,0.1562634110450744,0.8,0.997027972027972,0.9967200463052286,1.0,True,False,True
nearest_centroid,0.157959457039833,0.79,0.9972559086483137,0.9969685116370037,1.0,False,False,True
nearest_centroid,0.1592516362667083,0.78,0.9975793437331899,0.9973230220107079,1.0,False,False,True
nearest_centroid,0.1605354404449462,0.77,0.9978203614567251,0.9975876972560056,1.0,False,False,True
nearest_centroid,0.1619128727912903,0.76,0.9978836952521163,0.99765569258995,1.0,False,False,True
nearest_centroid,0.1633466854691505,0.75,0.9981351981351981,0.9979326028530081,1.0,False,False,True
nearest_centroid,0.164784654378891,0.74,0.9981099981099981,0.9979024646040902,1.0,False,False,True
nearest_centroid,0.1659753149747848,0.73,0.9981799022894914,0.9979778629203917,1.0,False,False,True
nearest_centroid,0.1671641826629638,0.72,0.9983488733488733,0.9981629565593257,1.0,False,False,True
nearest_centroid,0.1683117479085922,0.71,0.9984241111001675,0.9982442664325688,1.0,False,False,True
nearest_centroid,0.1696441292762756,0.7,0.9986013986013986,0.9984395898350423,1.0,False,False,True
nearest_centroid,0.1708218657970428,0.69,0.9985811290159117,0.9984148550724637,1.0,False,False,True
nearest_centroid,0.1718979001045227,0.68,0.9986631016042781,0.9985045438858852,1.0,False,False,True
nearest_centroid,0.1730036741495132,0.67,0.9986431478968792,0.9984800654741026,1.0,False,False,True
nearest_centroid,0.1741592621803283,0.66,0.9986225895316805,0.9984544049459042,1.0,False,False,True
nearest_centroid,0.1752379089593887,0.65,0.998708983324368,0.9985489721886336,1.0,False,False,True
nearest_centroid,0.1762291121482849,0.64,0.9987980769230769,0.9986473192326611,1.0,False,False,True
nearest_centroid,0.1772783577442169,0.63,0.999000999000999,0.9988737329495683,1.0,False,False,True
nearest_centroid,0.178383742570877,0.62,0.9989848860816603,0.9988533571155561,1.0,False,False,True
nearest_centroid,0.179356272816658,0.61,0.9993121632465894,0.9992217898832685,1.0,False,False,True
nearest_centroid,0.1803727507591247,0.6,0.9993006993006993,0.9992078162133615,1.0,False,False,True
nearest_centroid,0.181297390460968,0.59,0.9994073722887282,0.9993274145816519,1.0,False,False,True
nearest_centroid,0.1822981941699981,0.58,0.9993971545695683,0.999314411079117,1.0,False,False,True
nearest_centroid,0.1832677859067916,0.57,0.9995092626671574,0.9994410285075461,1.0,False,False,True
nearest_centroid,0.1842925095558166,0.56,0.9996253746253746,0.9995725277856939,1.0,False,False,True
nearest_centroid,0.1853601843118667,0.55,0.9996185632549269,0.9995636998254799,1.0,False,False,True
nearest_centroid,0.1864398908615112,0.54,0.9996114996114996,0.9995548961424332,1.0,False,False,True
nearest_centroid,0.1873941248655319,0.53,0.9996041694154901,0.9995455234055446,1.0,False,False,True
nearest_centroid,0.1883422946929931,0.52,0.9998655190962883,0.9998452251973379,1.0,False,False,True
nearest_centroid,0.1893193936347961,0.51,0.9998628822158234,0.999841822208162,1.0,False,False,True
nearest_centroid,0.190178781747818,0.5,0.9998601398601399,0.9998382662138121,1.0,False,False,True
