metric,observed,threshold,pass,panel,record_type,replicate,reference_state,reference_cells,mapped_cells,intersection,union,false_negative,false_positive,jaccard,recall,analysis,effect_term,n_strata,reference_n,exposed_n,estimate_log_odds,odds_ratio,ci_low,ci_high,p_value,converged,hessian_positive_definite,n_samples,effect,se_hc3,statistic,df
Median mapped ARI,0.9629724043729124,0.95,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum mapped ARI,0.929696806592458,0.9,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median agreement,0.9993683510638296,0.995,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum agreement,0.9987699468085106,0.99,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minimum state
median Jaccard",0.9303233364573572,0.95,False,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,17.0,B_ASC,1064.0,1091.0,1041.0,1114.0,23.0,50.0,0.9344703770197488,0.9783834586466166,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,17.0,B_CONV,119256.0,119229.0,119206.0,119279.0,50.0,23.0,0.9993879895036007,0.9995807338834104,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,18.0,B_ASC,1051.0,1076.0,1027.0,1100.0,24.0,49.0,0.9336363636363636,0.977164605137964,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,18.0,B_CONV,119269.0,119244.0,119220.0,119293.0,49.0,24.0,0.9993880613279909,0.999589163990643,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,19.0,B_ASC,1037.0,1063.0,1010.0,1090.0,27.0,53.0,0.926605504587156,0.973963355834137,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,19.0,B_CONV,119283.0,119257.0,119230.0,119310.0,53.0,27.0,0.9993294778308608,0.9995556785124452,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,20.0,B_ASC,1044.0,1051.0,1009.0,1086.0,35.0,42.0,0.929097605893186,0.9664750957854408,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,20.0,B_CONV,119276.0,119269.0,119234.0,119311.0,42.0,35.0,0.999354627821408,0.9996478755156109,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,1.0,,,,,,18.0,130.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,2.0,,,,,,35.0,55.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,3.0,,,,,,37.0,37.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,4.0,,,,,,24.0,53.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,5.0,,,,,,33.0,41.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,6.0,,,,,,30.0,59.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,7.0,,,,,,34.0,47.0,,,,,,,,,,,,,,,,,,,
