"branch","contrast","regulator","deleted_target","matched_targets_after_depletion","loo_slope","same_direction_as_depleted"
"frozen_ifn12_depleted","gse174188_primary","STAT1","MCL1",92,0.984644694336131,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","MED23",92,0.983573668202799,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","MTMR9",92,0.982562218247133,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","MVP",92,0.97635656603949,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","NCL",92,0.957195615699006,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","NMI",92,0.918368108217517,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","NPAT",92,0.975319379457957,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","PARK7",92,0.950151920352138,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","PIK3R1",92,0.970452296939899,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","PLSCR1",92,0.907965240148544,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","PPIP5K2",92,0.993950566942535,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","PSMB9",92,0.917727287334422,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","PTPN6",92,0.963016736528073,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","RB1",92,0.971423040479458,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","RC3H1",92,0.953227937217176,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","RHOA",92,0.97545987089954,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","RUNX3",92,0.994197867727748,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","S100A10",92,0.997623520045896,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","SEMA4B",92,0.96237521216199,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","SMAD3",92,0.964862875147728,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","SNRNP27",92,0.972937910606249,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","SOCS1",92,0.936899287365972,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","SOCS3",92,0.997559318913927,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","STAT3",92,0.966011468572947,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","TAP1",92,0.942888493241324,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","TIMP1",92,0.983398622093143,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","TNFSF10",92,0.933271488918168,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","TP53",92,0.97021478162004,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","VIM",92,0.962405333067611,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","XAF1",92,0.905836024219908,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","ZC3HAV1",92,0.991502107975629,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","ZFP36",92,1.00544135090279,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","ZNF302",92,0.974486645985286,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1","ZNF655",92,0.979479554249052,TRUE
"m5911_depleted","gse174188_primary","STAT1","ACAT1",77,0.403910016508617,TRUE
"m5911_depleted","gse174188_primary","STAT1","AIM2",77,0.434233399425095,TRUE
"m5911_depleted","gse174188_primary","STAT1","APP",77,0.443206248723708,TRUE
"m5911_depleted","gse174188_primary","STAT1","ATG4C",77,0.412497573881633,TRUE
"m5911_depleted","gse174188_primary","STAT1","BAX",77,0.432847780474195,TRUE
"m5911_depleted","gse174188_primary","STAT1","BIRC2",77,0.466300630225841,TRUE
"m5911_depleted","gse174188_primary","STAT1","CASP2",77,0.40171688436148,TRUE
"m5911_depleted","gse174188_primary","STAT1","CASP4",77,0.388143283634646,TRUE
"m5911_depleted","gse174188_primary","STAT1","CD14",77,0.417260454291349,TRUE
"m5911_depleted","gse174188_primary","STAT1","CD200",77,0.387066611354175,TRUE
"m5911_depleted","gse174188_primary","STAT1","CD22",77,0.40137773970113,TRUE
"m5911_depleted","gse174188_primary","STAT1","CD40",77,0.39396900146423,TRUE
"m5911_depleted","gse174188_primary","STAT1","CD69",77,0.420222786318104,TRUE
"m5911_depleted","gse174188_primary","STAT1","CD79A",77,0.409514700062113,TRUE
"m5911_depleted","gse174188_primary","STAT1","CD86",77,0.401251979897214,TRUE
"m5911_depleted","gse174188_primary","STAT1","CDKN1A",77,0.432196872018615,TRUE
