"branch","contrast","regulator","matched_targets_before","removed_targets","matched_targets_after","target_retention_fraction","baseline_ulm_slope","method","estimate","standard_error","ci_low","ci_high","direction","p_value","inter_gene_correlation","attenuation_ratio_vs_baseline","q_value","multiplicity_family","expected_direction","ci_excludes_zero"
"m5911_depleted","gse174188_internal_nonoverlap","STAT1",129,25,104,0.806201550387597,1.09050009275311,"ULM",0.542175592139553,0.141208910268405,0.265356061214947,0.818995123064158,"Up",0.000124524134391137,NA,0.497180693282438,0.000186786201586705,"m5911_depleted_ulm_core_6",TRUE,TRUE
"m5911_depleted","gse174188_internal_nonoverlap","STAT1",129,25,104,0.806201550387597,1.09050009275311,"CAMERA",NA,NA,NA,NA,"Up",0.0905240079606553,0.00180229052265243,NA,0.11714703329646,"m5911_depleted_camera_core_6",TRUE,NA
"m5911_depleted","gse174188_internal_nonoverlap","STAT1",129,25,104,0.806201550387597,1.09050009275311,"FRY",NA,NA,NA,NA,"Up",0.000683219192382902,NA,NA,0.00102482878857435,"m5911_depleted_fry_core_6",TRUE,NA
"baseline","gse174188_internal_nonoverlap","STAT2",19,0,19,1,2.96185461436487,"ULM",2.96185461436487,0.326855663112777,2.32110162525852,3.60260760347121,"Up",1.70282317790372e-19,NA,1,2.04338781348445e-18,"frozen_global_24",TRUE,TRUE
"baseline","gse174188_internal_nonoverlap","STAT2",19,0,19,1,2.96185461436487,"CAMERA",NA,NA,NA,NA,"Up",0.00582064488826845,0.119123929207376,NA,0.0263011359791569,"baseline_core_6",TRUE,NA
"baseline","gse174188_internal_nonoverlap","STAT2",19,0,19,1,2.96185461436487,"FRY",NA,NA,NA,NA,"Up",7.12898941137776e-08,NA,NA,4.27739364682665e-07,"baseline_core_6",TRUE,NA
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT2",19,4,15,0.789473684210526,2.96185461436487,"ULM",2.60060974790123,0.368714698771163,1.87779820743375,3.32342128836871,"Up",1.9430482024878e-12,NA,0.878034234120873,5.8291446074634e-12,"frozen_ifn12_depleted_ulm_core_6",TRUE,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT2",19,4,15,0.789473684210526,2.96185461436487,"CAMERA",NA,NA,NA,NA,"Up",0.0173185485054315,0.122052698253707,NA,0.0280724749022086,"frozen_ifn12_depleted_camera_core_6",TRUE,NA
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT2",19,4,15,0.789473684210526,2.96185461436487,"FRY",NA,NA,NA,NA,"Up",3.61288988670765e-06,NA,NA,1.84269254280309e-05,"frozen_ifn12_depleted_fry_core_6",TRUE,NA
"m5911_depleted","gse174188_internal_nonoverlap","STAT2",19,7,12,0.631578947368421,2.96185461436487,"ULM",2.49578968891926,0.412579207738675,1.68698815834744,3.30459121949109,"Up",1.54200861654954e-09,NA,0.842644225957207,9.25205169929726e-09,"m5911_depleted_ulm_core_6",TRUE,TRUE
"m5911_depleted","gse174188_internal_nonoverlap","STAT2",19,7,12,0.631578947368421,2.96185461436487,"CAMERA",NA,NA,NA,NA,"Up",0.0125668521547175,0.0795902388022527,NA,0.0377005564641526,"m5911_depleted_camera_core_6",TRUE,NA
"m5911_depleted","gse174188_internal_nonoverlap","STAT2",19,7,12,0.631578947368421,2.96185461436487,"FRY",NA,NA,NA,NA,"Up",1.76986528840523e-06,NA,NA,1.06191917304314e-05,"m5911_depleted_fry_core_6",TRUE,NA
