analysis_id,variant,term,estimate_log_odds,standard_error,z_value,p_value,odds_ratio,ci_low,ci_high,hc1_sandwich_standard_error,hc1_sandwich_z_value,hc1_sandwich_p_value,hc1_sandwich_ci_low,hc1_sandwich_ci_high,n_strata,reference_n,exposed_n,converged,hessian_positive_definite,bh_q_across_three_frozen_contrasts
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,frozen_base50,is_managed,-0.054822503502106,0.203162567401452,-0.2698454946859181,0.7872791209333905,0.9466531606629469,0.6357046974785294,1.40969889029869,0.1909034690182857,-0.2871739512332006,0.7739791305681175,0.6511642901582742,1.3762305767340612,90,43,47,True,True,0.7872791209333906
C3A_VALIDATION_C2_EUROPEAN_FEMALE,frozen_base50,is_managed,-0.2582935454775934,0.3723116473929659,-0.6937562853223629,0.4878350614190351,0.772368473554135,0.3723115130847988,1.6022954917444943,0.3643721860446355,-0.7088728376373726,0.4784033923632497,0.3781504940741034,1.5775546198901496,64,21,43,True,True,0.7317525921285526
C3A_SECONDARY_C3_FLARE_VS_NORMAL,frozen_base50,is_flare,0.8341542977726298,0.38004928561935986,2.1948582179630276,0.028173769780472015,2.3028656858960335,1.0933623772780412,4.850350146929202,0.27006184493323265,3.088752866880761,0.002009985615829341,1.3563985763696247,3.9097581342729644,34,18,16,True,True,0.08452130934141605
C3A_VALIDATION_C2_EUROPEAN_FEMALE,exclude_primary_sample_or_donor_overlap,is_managed,-0.5256019560690519,0.3983983258187712,-1.319287562237761,0.18707299435279556,0.5911993811789237,0.2707761877805627,1.2907955872013053,0.5485042437478891,-0.958245924366332,0.33793876459635463,0.2017612373879101,1.7323283343784945,53,21,32,True,True,
C3A_SECONDARY_C3_FLARE_VS_NORMAL,exclude_primary_sample_or_donor_overlap,is_flare,0.9475195403257808,0.4085111803729827,2.3194457969563222,0.020370876895942597,2.5793038587260995,1.1581658926532545,5.744262059382836,0.28033848730476446,3.3799124388357833,0.000725089259207148,1.488927564155245,4.46818808100572,30,15,15,True,True,
