replicate,branch,resolution,reference_state,reference_cells,mapped_cells,jaccard,recall
2,harmony,0.4,B_CONV,119264,119244,0.999245593005809,0.9995388382076738
2,harmony,0.4,B_ASC,1056,1076,0.918991899189919,0.9668560606060606
2,harmony,0.6,B_CONV,119264,119251,0.9992539940654809,0.9995723772471157
2,harmony,0.6,B_ASC,1056,1069,0.919602529358627,0.9640151515151515
2,harmony,0.8,B_CONV,119264,119250,0.9992288542618375,0.9995556077273947
2,harmony,0.8,B_ASC,1056,1070,0.9170423805229937,0.9630681818181818
2,unintegrated,0.4,B_CONV,119264,119366,0.9990450021780652,0.9999496914408371
2,unintegrated,0.4,B_ASC,1056,954,0.8926553672316384,0.8977272727272727
2,unintegrated,0.6,B_CONV,119264,119366,0.9990450021780652,0.9999496914408371
2,unintegrated,0.6,B_ASC,1056,954,0.8926553672316384,0.8977272727272727
2,unintegrated,0.8,B_CONV,119264,119366,0.9990450021780652,0.9999496914408371
2,unintegrated,0.8,B_ASC,1056,954,0.8926553672316384,0.8977272727272727
