resource_id,url,project_relative_path,size_bytes,sha256,source_mode,repository_policy
MSIGDB_HALLMARK_2026_1,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt,phase17_v7/gateC6B/20260815_pre_effect_resource_freeze/resources/h.all.v2026.1.Hs.symbols.gmt,48686,EECAF6DAD908334AE885406EC72BDC0646D8917588ED7C219FAC92FC5363F596,reused_frozen_local_copy,local_recomputable
GSE23307_SERIES_MATRIX,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23307/matrix/GSE23307_series_matrix.txt.gz,phase17_v7/gateC6B/20260815_pre_effect_resource_freeze/resources/GSE23307_series_matrix.txt.gz,645027,771D9F5C0D77447BC09330C18ECE17D9628E260A36E184C4EE76B1AB947EDF97,reused_frozen_local_copy,local_recomputable
GPL6104_ANNOTATION,https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL6nnn/GPL6104/annot/GPL6104.annot.gz,phase17_v7/gateC6B/20260815_pre_effect_resource_freeze/resources/GPL6104.annot.gz,4584978,82AE57D6D9EC26CE2BCFF01CCD1DB498BB8055EE01471829DEC0A5AB5666D518,reused_frozen_local_copy,local_recomputable
