systematic_id,standard_name,msigdb_version,ordinal,gene_symbol,in_frozen_12_gene_ifn_arm
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,65,PLSCR1,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,66,PNPT1,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,67,PROCR,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,68,PSMA3,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,69,PSMB8,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,70,PSMB9,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,71,PSME1,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,72,PSME2,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,73,RIPK2,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,74,RNF31,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,75,RSAD2,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,76,RTP4,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,77,SAMD9,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,78,SAMD9L,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,79,SELL,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,80,SLC25A28,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,81,SP110,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,82,STAT2,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,83,TAP1,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,84,TDRD7,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,85,TENT5A,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,86,TMEM140,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,87,TRAFD1,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,88,TRIM14,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,89,TRIM21,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,90,TRIM25,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,91,TRIM26,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,92,TRIM5,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,93,TXNIP,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,94,UBA7,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,95,UBE2L6,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,96,USP18,False
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,2026.1.Hs,97,WARS1,False
