policy,replicates,n_states,median_mapped_ari,minimum_mapped_ari,median_mapping_agreement,minimum_mapping_agreement,maximum_absolute_reconstruction_delta,minimum_state_median_jaccard,minimum_state_minimum_jaccard
five_state,20,5,0.88025846129991,0.35156528582925295,0.9633103390957447,0.7840342420212766,1.1102230246251565e-16,0.45473596051089776,0.0
four_state_platelet_overlay_merged,20,4,0.8998827476719911,0.33769655887011185,0.9731798537234042,0.7935339095744681,1.1102230246251565e-16,0.8054131862784851,0.0
three_state_identity_core,20,3,0.9002473450764503,0.3248987221875242,0.9743475731382978,0.7948886303191489,1.1102230246251565e-16,0.9254424344499924,0.3885116717054071
two_compartment_asc_vs_conventional,20,2,0.9955532945978536,0.9902066569784328,0.9999251994680851,0.9998337765957447,,0.9913709736725989,0.9810964083175804
