replicate,branch,resolution,reference_state,reference_cells,mapped_cells,jaccard,recall
8,harmony,0.4,B_CONV,119268,119259,0.999505419429472,0.999714927725794
8,harmony,0.4,B_ASC,1052,1061,0.9456721915285451,0.9762357414448669
8,harmony,0.6,B_CONV,119268,119256,0.9994970324917011,0.9996981587684878
8,harmony,0.6,B_ASC,1052,1064,0.9448529411764706,0.9771863117870723
8,harmony,0.8,B_CONV,119268,119253,0.9994886454133171,0.9996813898111815
8,harmony,0.8,B_ASC,1052,1067,0.9440366972477064,0.9781368821292775
8,unintegrated,0.4,B_CONV,119268,119368,0.9989780447147321,0.9999077707348157
8,unintegrated,0.4,B_ASC,1052,952,0.8852304797742239,0.8944866920152091
8,unintegrated,0.6,B_CONV,119268,119376,0.9989948233402021,0.9999496931280812
8,unintegrated,0.6,B_ASC,1052,944,0.8865784499054821,0.8916349809885932
8,unintegrated,0.8,B_CONV,119268,119367,0.998969668032066,0.9998993862561626
8,unintegrated,0.8,B_ASC,1052,953,0.8843984962406015,0.8944866920152091
