gene_index,gene_id,feature_name,n_cells,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection,is_mitochondrial,is_ribosomal,is_hemoglobin,is_stress,is_cell_cycle,is_immunoglobulin,is_strong_isg
ENSG00000132465,ENSG00000132465,JCHAIN,37193,True,1.8684637549811385,5.221875536195807,5.8901916,88,True,False,False,False,False,False,False,False
ENSG00000234184,ENSG00000234184,LINC01781,20212,True,0.9511644486074992,2.4965229444519617,5.1679616,88,True,False,False,False,False,False,False,False
ENSG00000066923,ENSG00000066923,STAG3,9160,True,0.42572698041249685,2.2115111429312653,4.7960825,88,True,False,False,False,False,False,False,False
ENSG00000117318,ENSG00000117318,ID3,7780,True,0.3482366095154394,2.3138759547629353,4.6574554,88,True,False,False,False,False,False,False,False
ENSG00000254709,ENSG00000254709,IGLL5,46930,True,2.482034565714441,5.648849758792691,3.8459663,88,True,False,False,False,False,False,False,False
ENSG00000100097,ENSG00000100097,LGALS1,28678,True,0.9937993869147328,2.245903597754483,3.269121,88,True,False,False,False,False,False,False,False
ENSG00000273338,ENSG00000273338,ENSG00000273338,18955,True,0.7554303157087894,2.131724237937359,3.070637,88,True,False,False,False,False,False,False,False
ENSG00000257275,ENSG00000257275,ENSG00000257275,8022,True,0.3693804305657322,2.07567439280828,2.9620612,88,True,False,False,False,False,False,False,False
ENSG00000137959,ENSG00000137959,IFI44L,23084,True,0.8618373724569323,2.162366918210376,2.7182019,88,True,False,False,False,False,False,False,True
ENSG00000077238,ENSG00000077238,IL4R,25016,True,0.9110068762656615,2.1341936539564057,2.625519,88,True,False,False,False,False,False,False,False
ENSG00000184897,ENSG00000184897,H1-10,14969,True,0.5720949699676324,2.000148725841682,2.5208058,88,True,False,False,False,False,False,False,False
ENSG00000100721,ENSG00000100721,TCL1A,49379,True,1.712855799425241,2.452294736131361,2.5031972,88,True,False,False,False,False,False,False,False
ENSG00000060138,ENSG00000060138,YBX3,23476,True,0.8575146675334658,2.0703268215336745,2.3194766,88,True,False,False,False,False,False,False,False
