replicate,branch,resolution,reference_state,reference_cells,mapped_cells,jaccard,recall
19,harmony,0.4,B_CONV,119283,119257,0.9993294778308608,0.9995556785124452
19,harmony,0.4,B_ASC,1037,1063,0.926605504587156,0.973963355834137
19,harmony,0.6,B_CONV,119283,119266,0.9993713960037549,0.9996143624824996
19,harmony,0.6,B_ASC,1037,1054,0.9307479224376731,0.9720347155255545
19,harmony,0.8,B_CONV,119283,119251,0.9992791886681753,0.9995053779666843
19,harmony,0.8,B_ASC,1037,1069,0.9215328467153284,0.973963355834137
19,unintegrated,0.4,B_CONV,119283,119375,0.9989948822755865,0.9998826320598911
19,unintegrated,0.4,B_ASC,1037,945,0.8858230256898192,0.8977820636451301
19,unintegrated,0.6,B_CONV,119283,119375,0.9989948822755865,0.9998826320598911
19,unintegrated,0.6,B_ASC,1037,945,0.8858230256898192,0.8977820636451301
19,unintegrated,0.8,B_CONV,119283,119375,0.9989948822755865,0.9998826320598911
19,unintegrated,0.8,B_ASC,1037,945,0.8858230256898192,0.8977820636451301
