replicate,branch,resolution,n_cells,reference_states,observed_clusters,mapped_adjusted_rand_index,mapped_adjusted_mutual_information,majority_mapping_agreement
19,harmony,0.4,120320,2,6,0.9609188370458214,0.9127186190128979,0.9993351063829787
19,harmony,0.6,120320,2,8,0.9632062935973243,0.9167554043113941,0.9993766622340425
19,harmony,0.8,120320,2,8,0.958106419193009,0.9076508363601474,0.9992852393617021
19,unintegrated,0.4,120320,2,6,0.9380013586301285,0.8775129546122382,0.9990026595744681
19,unintegrated,0.6,120320,2,9,0.9380013586301285,0.8775129546122382,0.9990026595744681
19,unintegrated,0.8,120320,2,11,0.9380013586301285,0.8775129546122382,0.9990026595744681
