document,page,same_dimensions,pixel_identical,normalized_mean_absolute_error,before_sha256,after_sha256
manuscript,27,True,True,0.0000000000,79D6D19DF81A497411F9075D33CE374F3AD4A3698AB1BC0AAC05FDB56C515669,79D6D19DF81A497411F9075D33CE374F3AD4A3698AB1BC0AAC05FDB56C515669
manuscript,28,True,True,0.0000000000,E45000E64491671F1541F1554E566DA9FB3886AEBE9F0DC13A11A1DE7334D08D,E45000E64491671F1541F1554E566DA9FB3886AEBE9F0DC13A11A1DE7334D08D
manuscript,29,True,True,0.0000000000,25197E2CC04203395406BAF9FEABBBCA942DAABEB7CAFE6B4578B254012E56F8,25197E2CC04203395406BAF9FEABBBCA942DAABEB7CAFE6B4578B254012E56F8
manuscript,30,True,True,0.0000000000,4BB3643E4757FED4FEA8466CAAB8B7D816C1536230DBA97FA910BE60D00380A4,4BB3643E4757FED4FEA8466CAAB8B7D816C1536230DBA97FA910BE60D00380A4
manuscript,31,True,True,0.0000000000,781A8B9CEDCE58339ACE6AB6CBBA822634690F33474D946EFC5356F455B05485,781A8B9CEDCE58339ACE6AB6CBBA822634690F33474D946EFC5356F455B05485
supplement,1,True,True,0.0000000000,43F81D89043F50FF8FBD0C5992150ED80F6A903B274F4DC6912E5111DA3FF70F,43F81D89043F50FF8FBD0C5992150ED80F6A903B274F4DC6912E5111DA3FF70F
supplement,2,True,True,0.0000000000,18CB64D20688AFEAAA7B79A33FFF2B94579394ECEC62EF9245F95B46E01A959C,18CB64D20688AFEAAA7B79A33FFF2B94579394ECEC62EF9245F95B46E01A959C
supplement,3,True,False,0.0353317129,C7711DB543EB6AC5AFE230502061FD267D075CDA560CE79D4EBE483B2D6E6B26,B05CA4D4BB4DD408B3373CD6CC8026A192231919FFBFF4C0AD6A1BE0BFFF1BB1
supplement,4,True,False,0.0643450051,61C94330D2EA5B48C1FF0E72E4F4C33BF31DF617FDB4A8716DAAF29022760850,0F03A2FA02D27BBFFF8B314FCE0AF8FB20CF5194265F5B36EB55AB10A9DC50FF
supplement,5,True,False,0.0799205923,14660350D4E3CABCD5CD026717C3C1F01F2876A126FD2AFADF7B14D985AE9568,E42C49C21AF176D971A16EC53B1CC61567914211BBDF9CA0A132B696DB542AB4
