replicate,branch,resolution,n_cells,reference_states,observed_clusters,mapped_adjusted_rand_index,mapped_adjusted_mutual_information,majority_mapping_agreement
17,harmony,0.4,120320,2,4,0.9652226677597864,0.9209755325037681,0.9993932845744681
17,harmony,0.6,120320,2,6,0.9642704584158069,0.9190972415891258,0.9993766622340425
17,harmony,0.8,120320,2,8,0.9587812360946538,0.9091700045646289,0.9992769281914894
17,unintegrated,0.4,120320,2,6,0.938006273312781,0.8812519117566621,0.9989860372340426
17,unintegrated,0.6,120320,2,8,0.938006273312781,0.8812519117566621,0.9989860372340426
17,unintegrated,0.8,120320,2,9,0.938006273312781,0.8812519117566621,0.9989860372340426
