replicate,branch,resolution,reference_state,reference_cells,mapped_cells,jaccard,recall
17,harmony,0.4,B_CONV,119256,119229,0.9993879895036007,0.9995807338834105
17,harmony,0.4,B_ASC,1064,1091,0.9344703770197487,0.9783834586466166
17,harmony,0.6,B_CONV,119256,119229,0.9993712273641852,0.9995723485610787
17,harmony,0.6,B_ASC,1064,1091,0.9327354260089686,0.9774436090225563
17,harmony,0.8,B_CONV,119256,119217,0.9992706237424547,0.9994717246930972
17,harmony,0.8,B_ASC,1064,1103,0.9228039041703638,0.9774436090225563
17,unintegrated,0.4,B_CONV,119256,119368,0.9989779933485796,0.9999580733883411
17,unintegrated,0.4,B_ASC,1064,952,0.8858746492048644,0.8900375939849624
17,unintegrated,0.6,B_CONV,119256,119368,0.9989779933485796,0.9999580733883411
17,unintegrated,0.6,B_ASC,1064,952,0.8858746492048644,0.8900375939849624
17,unintegrated,0.8,B_CONV,119256,119368,0.9989779933485796,0.9999580733883411
17,unintegrated,0.8,B_ASC,1064,952,0.8858746492048644,0.8900375939849624
