resolution,reference_cluster,median_jaccard,minimum_jaccard,median_recall
0.4,0,0.9351758126167061,0.6304476688745135,0.9768661930098179
0.4,1,0.9085365909030259,0.5768263089726221,0.9450049053378964
0.4,2,0.0,0.0,0.0
0.4,3,0.9823757704754883,0.972972972972973,0.9937701541655624
0.4,4,0.7193407831928811,0.0,0.8684785601837179
0.6,0,0.6890883832565466,0.5773228748166571,0.8132405833510998
0.6,1,0.8993841520925294,0.8187562426716464,0.9526165329735645
0.6,2,0.7021173802045806,0.588054223642929,0.8902352492535958
0.6,3,0.0,0.0,0.0
0.6,4,0.6832397931110378,0.0,0.8582182691192702
0.6,5,0.98069966967433,0.958828911253431,0.9966590348811033
0.8,0,0.676726887188382,0.5457281095114468,0.8475532311038183
0.8,1,0.6815397347484793,0.39923331203644546,0.8225540590097344
0.8,2,0.5806642105067361,0.20847472374488818,0.7710156604903613
0.8,3,0.5543350464046071,0.17495768033637307,0.8693995054186888
0.8,4,0.0,0.0,0.0
0.8,5,0.3295526149968494,0.0,0.4104838709677419
0.8,6,0.9737332136508439,0.951307484220018,0.9932530104811754
