leiden_harmony_r0_6,score_naive_mean,score_naive_median,score_naive_count,score_memory_mean,score_memory_median,score_memory_count,score_atypical_mean,score_atypical_median,score_atypical_count,score_plasmablast_mean,score_plasmablast_median,score_plasmablast_count,score_ifn_mean,score_ifn_median,score_ifn_count,score_platelet_mean,score_platelet_median,score_platelet_count,score_erythroid_mean,score_erythroid_median,score_erythroid_count
0,0.014758808307553046,-0.018492643833160405,6045,-0.20474247566160378,-0.20013951999229074,6045,0.030364601643150555,-0.07356483936309814,6045,-0.16101165428018305,-0.31433684567371045,6045,-0.13421368236353748,-0.29550389607747396,6045,-0.00013527576132506535,-0.1050520470393962,6045,-0.0025035920874218053,-0.11968660354614258,6045
1,-0.07702639144845742,-0.11505635023117067,4278,-0.18832773310362605,-0.29841741779506603,4278,0.01429062221207982,-0.0551402759552002,4278,-0.16699899569783308,-0.28826217957768574,4278,-0.21827515876774328,-0.2933518981933594,4278,0.012164401335353027,-0.07411158863623538,4278,0.04048742032249811,-0.08285268899556752,4278
2,-0.638677811151905,-0.7259693908691406,3933,0.10154454158060063,0.07312647192270166,3933,-0.015460682522847456,-0.07636336803436279,3933,-0.08768345330408574,-0.13292441004251382,3933,-0.24106414490255706,-0.3196738688151042,3933,-0.014442878485581638,-0.10173381632895925,3933,-0.005002991049085829,-0.11078005868035394,3933
3,-0.7877819164713618,-0.8535136795043945,1412,0.2271415219859714,0.21537672977319497,1412,0.01000326135172047,-0.09423471450805665,1412,-0.10062403542615815,-0.13732534824126216,1412,-0.08482267838755905,-0.1931504241625468,1412,-0.051269823070576016,-0.14623532702575376,1412,-0.01623172254884626,-0.15501050046972326,1412
4,-0.7805592493517861,-0.8294107818603516,764,0.006818791693731976,0.00268641718281995,764,0.40798102061161823,0.35453158497810366,764,-0.31608089260826994,-0.3676685808174103,764,-0.08395568397344719,-0.15915047685305275,764,0.0034171182474754076,-0.11229921944776372,764,0.054322869693281,-0.12134918006690773,764
5,-0.2812305216194968,-0.32236287474632264,337,-0.09582830407083744,-0.12258028408024935,337,0.006340239720104002,-0.07329905986785888,337,-0.1571670977940568,-0.2993578010773563,337,-0.17392581755046674,-0.29618937174479165,337,0.5459101235544095,0.5230212145714305,337,-0.013865940787279955,-0.11388759355287294,337
6,-0.9228261720398974,-0.9508362579345703,227,-0.007492761621384145,-0.001834534958705003,227,-0.11908749185994857,-0.15949896812438966,227,2.0304526655283763,2.04952637163032,227,0.15950751419459497,0.12431443691253663,227,-0.15556241434331466,-0.22366760483938247,227,0.08066504217331506,-0.1070302365062473,227
