Processing_Cohort,disease,n_cells,n_hard_fail,n_smoke_selected,hard_fail_fraction
1.0,normal,23763,398,2928,0.016748727012582586
2.0,normal,10203,131,922,0.01283936097226306
2.0,systemic lupus erythematosus,60224,773,7784,0.012835414452709883
3.0,normal,7730,107,854,0.013842173350582148
3.0,systemic lupus erythematosus,10991,114,1817,0.01037212264580111
4.0,normal,18529,470,2917,0.025365643046035943
4.0,systemic lupus erythematosus,21541,586,2778,0.027203936678891417
