lower_resolution,upper_resolution,lower_n_clusters,upper_n_clusters,adjusted_rand_index,normalized_mutual_information
0.2,0.4,3,5,0.25078602246994325,0.3606567197577811
0.4,0.6,5,7,0.5327991085847905,0.7145742853070702
0.6,0.8,7,9,0.5356531764321563,0.6395418220492946
0.8,1.0,9,11,0.5011772887691842,0.6842548416900774
1.0,1.2,11,14,0.6735263726291355,0.7504154213192338
