representation,field,mean_same_group_fraction,median_same_group_fraction,mean_local_entropy,median_local_entropy
unintegrated_pca,library_uuid,0.06703538087393113,0.06666666666666667,0.9626076975871054,0.9701274358953506
unintegrated_pca,Processing_Cohort,0.6654585392641406,0.7333333333333333,0.6093322087701516,0.7219280948844771
unintegrated_pca,sample_uuid,0.044269239821134385,0.0,0.977439577418952,0.9837273962543444
harmony_pca,library_uuid,0.01459166862791245,0.0,0.9857749508245847,0.9911230603674974
harmony_pca,Processing_Cohort,0.43184278653800895,0.4,0.8070270919330146,0.8364527976571428
harmony_pca,sample_uuid,0.016823566329332393,0.0,0.9894208140602634,0.9911230603674974
