"analysis_name","program_id","program_label","analysis_family","arm","n_genes","camera_direction","camera_p_value","expected_direction_fraction","median_expected_logFC","camera_fdr_within_analysis"
"combined_min20","APC_HLA","Antigen-presentation program","primary_confirmatory","positive",10,"Up",0.439187074588616,0.5,0.00970155705967931,0.536784202274975
"combined_min20","IFN_ISG","Type I interferon response","primary_confirmatory","positive",12,"Up",1.44098161828913e-08,1,1.65954389573966,1.58507978011805e-07
"combined_min20","ACTIVATION_STRESS","Activation/immediate-early response","secondary_contextual","positive",9,"Up",0.00955560477151896,0.888888888888889,0.142237998088393,0.0350372174955695
"combined_min20","TLR7_INNATE","TLR7/innate-sensing context","secondary_contextual","positive",8,"Up",0.0499294843317226,0.625,0.19408825183294,0.0915373879414915
"combined_min20","PLATELET_AMBIENT_QC","Platelet/ambient overlay","qc_only","positive",3,"Up",0.737095789868834,0.666666666666667,0.411839933708249,0.737095789868834
"combined_min20","ASC_UPR_IDENTITY_QC","ASC/UPR identity control","identity_qc_only","positive",8,"Up",0.119858401743713,0.625,0.0909375566077705,0.188348917025835
"combined_min20","PAN_B_IDENTITY_QC","Pan-B identity control","identity_qc_only","positive",5,"Down",0.407460898280134,0.4,-0.0783061308017393,0.536784202274975
"combined_min100","NAIVE_TO_MEMORY_AXIS","Naive-to-memory axis","primary_confirmatory","positive",7,"Down",0.727356092373449,0.571428571428571,0.00229916006746545,0.800091701610794
"combined_min100","NAIVE_TO_MEMORY_AXIS","Naive-to-memory axis","primary_confirmatory","negative",7,"Down",0.0269122836241227,1,0.198785847676659,0.05920702397307
"combined_min100","ATYPICAL_LOW_NAIVE_AXIS","Atypical/ABC with low-naive context","primary_confirmatory","positive",7,"Up",0.000170403043525178,1,0.545394215422325,0.000937216739388481
"combined_min100","ATYPICAL_LOW_NAIVE_AXIS","Atypical/ABC with low-naive context","primary_confirmatory","negative",3,"Down",0.0258424269670574,1,0.278987591269785,0.05920702397307
"combined_min100","APC_HLA","Antigen-presentation program","primary_confirmatory","positive",10,"Up",0.0924669998937544,0.5,0.0140065134927357,0.127142124853912
"combined_min100","IFN_ISG","Type I interferon response","primary_confirmatory","positive",12,"Up",1.49571792342385e-08,1,1.55663339589749,1.64528971576623e-07
"combined_min100","ACTIVATION_STRESS","Activation/immediate-early response","secondary_contextual","positive",9,"Up",0.00718209545619235,0.888888888888889,0.157897348202117,0.0263343500060386
"combined_min100","TLR7_INNATE","TLR7/innate-sensing context","secondary_contextual","positive",9,"Up",0.0682180620995335,0.666666666666667,0.0613620156677743,0.125066447182478
"combined_min100","PLATELET_AMBIENT_QC","Platelet/ambient overlay","qc_only","positive",4,"Up",0.814647372819248,0.75,0.162379647636325,0.814647372819248
"combined_min100","ASC_UPR_IDENTITY_QC","ASC/UPR identity control","identity_qc_only","positive",8,"Up",0.0834839926661357,0.75,0.100424269039529,0.127142124853912
"combined_min100","PAN_B_IDENTITY_QC","Pan-B identity control","identity_qc_only","positive",5,"Down",0.620762210499089,0.4,-0.032993443037928,0.758709368387776
