gene_symbol,gse174188_primary_logFC,gse174188_primary_PValue,gse174188_primary_FDR,gse174188_primary_tested,gse174188_nonoverlap_logFC,gse174188_nonoverlap_PValue,gse174188_nonoverlap_FDR,gse174188_nonoverlap_tested,gse135779_childhood_logFC,gse135779_childhood_PValue,gse135779_childhood_FDR,gse135779_childhood_tested,gse135779_combined_logFC,gse135779_combined_PValue,gse135779_combined_FDR,gse135779_combined_tested,gse135779_adult_logFC,gse135779_adult_PValue,gse135779_adult_FDR,gse135779_adult_tested
IFI44L,2.37347774468172,1.32593188270056e-11,2.92633166512013e-08,True,3.46693777755938,4.50218017763702e-08,3.41996861743752e-05,True,3.67726359148702,7.76352181474688e-07,0.0008498641510222,True,3.52503897802496,4.1267392253649e-08,5.07058343962336e-05,True,3.07772541101678,0.0178766745310834,0.726476839120721,True
IFI6,1.16001511788063,3.07570832791318e-09,1.6970220699261e-06,True,1.52070607141869,6.25399703670779e-08,4.22283777689703e-05,True,2.60622346354817,5.89401514912292e-06,0.0020680022689091,True,2.33589181162985,1.89538621178284e-06,0.0005434072269181,True,1.4702471766151,0.065873005011771,0.735331032100312,True
IFIT1,,,,False,,,,False,3.52675842533571,1.98348454717438e-05,0.0042106717790045,True,3.44215629984288,1.21044410233298e-06,0.0004337929051735,True,,,,False
IFIT2,,,,False,0.49805097364364,0.0514366856412805,0.366019600283444,True,1.40599466142807,0.0001652298330755,0.0132012401539355,True,1.41675462563996,1.6394675016259e-05,0.0023900101663532,True,,,,False
IFIT3,1.82407771070776,3.11470882016722e-10,3.43708118305453e-07,True,2.39691080179173,1.97582600058603e-06,0.0003752217064237,True,3.19500594736814,2.48663465183946e-05,0.0046798464147618,True,3.15163375156018,1.26391684672233e-06,0.0004348379519463,True,,,,False
IRF7,0.795473003877829,5.77922925894775e-07,9.1105421246412e-05,True,1.06517457678405,2.84418014085312e-06,0.0004801134087767,True,1.2796459016457,4.47042118139223e-05,0.0061064511266469,True,1.1832088435237,7.67444644697974e-06,0.0015350677648947,True,0.870784295540658,0.0164614087703429,0.726476839120721,True
ISG15,0.999563757409052,6.9134928722088e-08,1.69534208544054e-05,True,1.62833032330489,7.76267878296023e-08,4.71737989640493e-05,True,2.09186588825726,2.30001785178979e-05,0.0045979306023784,True,1.98089101711491,2.37974660396993e-06,0.0006202485012347,True,1.67062953395339,0.0321667719926601,0.735331032100312,True
LY6E,0.480203228077738,2.84089317855771e-06,0.0003215308330808,True,0.673696250682363,3.77364115156151e-05,0.0032299179264844,True,1.10663555993521,4.14264091759256e-05,0.0061064511266469,True,1.00033841363595,1.45690760094516e-05,0.0022496768025766,True,0.723276049232605,0.0750541480836279,0.735331032100312,True
MX1,1.34899135161146,1.2339318416115402e-09,1.08931502977466e-06,True,1.5456237430684,7.40673780364753e-06,0.0009301971407255,True,1.83033423015158,2.84203297710678e-05,0.0050144119339827,True,1.81177944384163,1.02356296932257e-06,0.0004108341904949,True,1.76980811181044,0.0046223660083997,0.650553084059818,True
MX2,0.874988510097897,4.46439893589597e-07,7.57917573194031e-05,True,1.04277178138181,1.01268559728532e-05,0.0011396463656857,True,1.41791439130255,1.98874567434386e-05,0.0042106717790045,True,1.30691961543601,2.61711932354714e-06,0.0006203216962052,True,0.913799775601503,0.0058047827493093,0.650553084059818,True
OAS1,1.02943939321353,1.96379497959353e-07,4.12231617640908e-05,True,1.36687116842651,7.88903277308019e-06,0.0009588330432401,True,1.44936027336721,0.0003064998555894,0.0202822917441122,True,1.49165305960723,1.12975080209594e-05,0.0019433973297654,True,1.7063602730175,0.0002750484949516,0.547195137183635,True
OAS2,0.961718329629006,6.73908817995544e-08,1.69534208544054e-05,True,1.16641006485638,3.71791126661835e-05,0.0032276781096056,True,1.31856670243984,0.0004661494905585,0.0251453505448419,True,1.35274900994746,3.48497819820524e-05,0.003973409229206,True,1.53910036067398,0.002332632353472,0.620735068653674,True
