analysis_name,effect,ci_low,ci_high,p_value,q_value_primary4,dataset
primary_base,0.836556476435973,0.525430264711135,1.14768268816081,7.44251044920975e-07,2.9770041796839e-06,GSE174188
validation_full,0.856126196501275,0.354232758050295,1.35801963495225,0.0011537934351061,0.0046151737404247,GSE174188
validation_nonoverlap,1.08624050109214,0.573468545179428,1.59901245700485,9.01319089523746e-05,0.0003605276358094,GSE174188
childhood_min50,1.04175695248946,0.681165590329929,1.40234831464899,7.43877837032842e-07,2.97551134813137e-06,GSE135779
combined_min50,0.995973904274024,0.655342254631679,1.33660555391637,3.27622516019859e-07,1.31049006407944e-06,GSE135779
adult_min50,0.96841601569709,-0.1234435988231,2.06027563021728,0.0757665587260885,0.291356482237977,GSE135779
