"analysis_name","program_id","program_label","analysis_family","publication_role","positive_available","positive_total","negative_available","negative_total","availability_pass","effect","se_hc3","ci_low","ci_high","statistic","df","p_value","q_value_primary4","omitted_source_label","minimum_cells_after_omission"
"childhood_min50_without_b_casc2","IFN_ISG","Type I interferon response","primary_confirmatory","continuous B_CONV program",12,12,0,0,TRUE,1.04508917394672,0.176932843286092,0.68776604791377,1.40241229997966,5.9066997089786,41,5.87292503784276e-07,2.3491700151371e-06,"B-caSC2",99
"childhood_min50_without_b_casc2","ACTIVATION_STRESS","Activation/immediate-early response","secondary_contextual","context and technical-stress sensitivity",9,9,0,0,TRUE,0.259206440219199,0.200720041412147,-0.146155907001321,0.664568787439718,1.29138295506307,41,0.203804262614021,NA,"B-caSC2",99
"childhood_min50_without_b_casc2","TLR7_INNATE","TLR7/innate-sensing context","secondary_contextual","mechanistic context only",9,9,0,0,TRUE,0.138814043879743,0.127153675189706,-0.117978012708064,0.395606100467549,1.09170296236141,41,0.281337581858078,NA,"B-caSC2",99
"childhood_min50_without_b_casc2","PLATELET_AMBIENT_QC","Platelet/ambient overlay","qc_only","sensitivity/QC only; never a B-cell identity",9,10,0,0,TRUE,0.105030922461738,0.197694168363069,-0.294220550164814,0.50428239508829,0.531279821410042,41,0.598091581091512,NA,"B-caSC2",99
"childhood_min50_without_b_casc2","ASC_UPR_IDENTITY_QC","ASC/UPR identity control","identity_qc_only","B_ASC identity QC; not a new outcome-informed state",9,10,0,0,TRUE,0.205743165705974,0.0988953100704948,0.00602003523410635,0.405466296177842,2.08041377856357,41,0.0437773384496152,NA,"B-caSC2",99
"childhood_min50_without_b_casc2","PAN_B_IDENTITY_QC","Pan-B identity control","identity_qc_only","B-lineage extraction QC only",5,5,0,0,TRUE,-0.254985545835582,0.151468952345214,-0.560883300846575,0.0509122091754105,-1.68341790107878,41,0.0998947448726149,NA,"B-caSC2",99
"childhood_min50_without_b_casc3","NAIVE_TO_MEMORY_AXIS","Naive-to-memory axis","primary_confirmatory","continuous B_CONV program; no hard subtype",7,7,7,7,TRUE,0.487118082435584,0.24384090856059,-0.00532862267217621,0.979564787543344,1.99768810455586,41,0.0524144959517627,0.0698859946023503,"B-caSC3",103
"childhood_min50_without_b_casc3","ATYPICAL_LOW_NAIVE_AXIS","Atypical/ABC with low-naive context","primary_confirmatory","continuous B_CONV program; no ABC hard identity",7,7,3,3,TRUE,1.40760805117641,0.323447134834409,0.754393310606443,2.06082279174637,4.35189525452758,41,8.75770686609997e-05,0.000175154137321999,"B-caSC3",103
"childhood_min50_without_b_casc3","APC_HLA","Antigen-presentation program","primary_confirmatory","continuous B_CONV program",10,10,0,0,TRUE,0.275218763262814,0.179245806362912,-0.0867754864668879,0.637213012992515,1.53542651204676,41,0.132360889300625,0.132360889300625,"B-caSC3",103
"childhood_min50_without_b_casc3","IFN_ISG","Type I interferon response","primary_confirmatory","continuous B_CONV program",12,12,0,0,TRUE,1.01910592303765,0.179219256898565,0.657165291038938,1.38104655503636,5.68636395816798,41,1.20761159848684e-06,4.83044639394735e-06,"B-caSC3",103
"childhood_min50_without_b_casc3","ACTIVATION_STRESS","Activation/immediate-early response","secondary_contextual","context and technical-stress sensitivity",9,9,0,0,TRUE,0.149407899461689,0.195070177566121,-0.244544316244367,0.543360115167744,0.765918713592421,41,0.448111896378227,NA,"B-caSC3",103
"childhood_min50_without_b_casc3","TLR7_INNATE","TLR7/innate-sensing context","secondary_contextual","mechanistic context only",9,9,0,0,TRUE,0.172604922737184,0.11968237369136,-0.0690985343721927,0.414308379846561,1.44219167295513,41,0.156844241870599,NA,"B-caSC3",103
"childhood_min50_without_b_casc3","PLATELET_AMBIENT_QC","Platelet/ambient overlay","qc_only","sensitivity/QC only; never a B-cell identity",9,10,0,0,TRUE,0.0295459493541923,0.190590313362748,-0.355358997051138,0.414450895759523,0.155023352618965,41,0.877563584325492,NA,"B-caSC3",103
"childhood_min50_without_b_casc3","ASC_UPR_IDENTITY_QC","ASC/UPR identity control","identity_qc_only","B_ASC identity QC; not a new outcome-informed state",9,10,0,0,TRUE,0.134325824696886,0.113514624673112,-0.0949216105747379,0.36357325996851,1.18333496748727,41,0.24349249828978,NA,"B-caSC3",103
"childhood_min50_without_b_casc3","PAN_B_IDENTITY_QC","Pan-B identity control","identity_qc_only","B-lineage extraction QC only",5,5,0,0,TRUE,-0.311924843659663,0.161834385041244,-0.63875601467664,0.0149063273573138,-1.92743244014656,41,0.060873541717017,NA,"B-caSC3",103
"childhood_min50_without_b_casc4","NAIVE_TO_MEMORY_AXIS","Naive-to-memory axis","primary_confirmatory","continuous B_CONV program; no hard subtype",7,7,7,7,TRUE,0.0119895543316389,0.242229901667656,-0.477203656352178,0.501182765015456,0.0494965908382721,41,0.96076389826959,0.96076389826959,"B-caSC4",103
"childhood_min50_without_b_casc4","ATYPICAL_LOW_NAIVE_AXIS","Atypical/ABC with low-naive context","primary_confirmatory","continuous B_CONV program; no ABC hard identity",7,7,3,3,TRUE,1.02518029744084,0.305092236801501,0.409034025456605,1.64132656942507,3.36023069019564,41,0.00169366742046077,0.00338733484092154,"B-caSC4",103
"childhood_min50_without_b_casc4","APC_HLA","Antigen-presentation program","primary_confirmatory","continuous B_CONV program",10,10,0,0,TRUE,0.279827480555972,0.180616227981674,-0.084934391779598,0.644589352891542,1.5492931265532,41,0.128996667266268,0.171995556355024,"B-caSC4",103
"childhood_min50_without_b_casc4","IFN_ISG","Type I interferon response","primary_confirmatory","continuous B_CONV program",12,12,0,0,TRUE,1.03890661224805,0.178988211059464,0.677432586787454,1.40038063770865,5.8043298276382,41,8.21074589738466e-07,3.28429835895386e-06,"B-caSC4",103
"childhood_min50_without_b_casc4","ACTIVATION_STRESS","Activation/immediate-early response","secondary_contextual","context and technical-stress sensitivity",9,9,0,0,TRUE,0.258970965705755,0.205226211323942,-0.155491776271406,0.673433707682915,1.26188055626568,41,0.214123422096809,NA,"B-caSC4",103
"childhood_min50_without_b_casc4","TLR7_INNATE","TLR7/innate-sensing context","secondary_contextual","mechanistic context only",9,9,0,0,TRUE,0.271011273135992,0.124675332680966,0.0192243307833728,0.522798215488612,2.17373611369851,41,0.0355531994451312,NA,"B-caSC4",103
"childhood_min50_without_b_casc4","PLATELET_AMBIENT_QC","Platelet/ambient overlay","qc_only","sensitivity/QC only; never a B-cell identity",9,10,0,0,TRUE,0.0292048859697274,0.194320765112482,-0.363233860582446,0.4216436325219,0.150292152013822,41,0.881271080465903,NA,"B-caSC4",103
"childhood_min50_without_b_casc4","ASC_UPR_IDENTITY_QC","ASC/UPR identity control","identity_qc_only","B_ASC identity QC; not a new outcome-informed state",9,10,0,0,TRUE,0.169136180007932,0.106261829913031,-0.0454639390955068,0.383736299111371,1.59169270985038,41,0.119135584222565,NA,"B-caSC4",103
"childhood_min50_without_b_casc4","PAN_B_IDENTITY_QC","Pan-B identity control","identity_qc_only","B-lineage extraction QC only",5,5,0,0,TRUE,-0.197354314059467,0.166541044413953,-0.533690776513543,0.138982148394609,-1.18501907294951,41,0.242833400106808,NA,"B-caSC4",103
