metric,spearman_rho,p_value,n
total_counts,0.04560819521001086,4.446612752690587e-70,150402
detected_genes,0.029450715071153134,3.177626950907145e-30,150402
fraction_b_lineage,0.03581514676102442,6.881781927731218e-44,150402
fraction_t_nk,0.00013253520959904876,0.9590076006772508,150402
fraction_myeloid,0.00794671580558989,0.0020568788518814467,150402
fraction_platelet,0.005738687399120384,0.02604365665163915,150402
fraction_erythroid,-0.026326950036268105,1.757166452350745e-24,150402
max_non_b_fraction,-0.004621559482563459,0.07308270494258347,150402
