library_uuid,n_cells,status,threshold,predicted_doublets,predicted_doublet_fraction,score_median,score_q95,message
0103e306-959a-46b0-896d-d8b9dee40157,1728,ok,0.4574857150305285,32,0.018518518518518517,0.16568047337278102,0.32737030411448986,
048cb921-e15f-47a6-a9e3-ed512574e5d7,1615,ok,0.4464882111525617,25,0.015479876160990712,0.1582089552238806,0.31636363636363624,
0955850b-157b-4396-a3da-83b8bcbed172,1824,ok,0.45816630607248265,25,0.013706140350877192,0.13545150501672246,0.32737030411448986,
0be87f87-d01a-495e-9605-d89d36240908,1930,ok,0.46675054458945653,39,0.020207253886010364,0.15619389587073607,0.33802816901408417,
0c3a7808-800f-43b1-a57b-08c3b2bb9e5a,2282,ok,0.492306127999923,24,0.010517090271691499,0.15453802125919866,0.3583617747440269,
0c7c125d-46d6-40ba-8088-31fb2b526a78,1289,ok,0.4197091848162289,41,0.03180760279286268,0.16071428571428567,0.36054421768707434,
10cec51f-a79f-4907-8745-b45df64f6946,1216,ok,0.40763843007832246,11,0.009046052631578948,0.15219842164599778,0.2810707456978968,
1495b93b-a19f-4364-95a3-6d8ac531eac6,1515,ok,0.43900582915411523,29,0.01914191419141914,0.1506024096385542,0.30499075785582236,
15024b21-fb68-4bbe-92cf-0c9ab90f11a6,1904,ok,0.46835696919959646,18,0.009453781512605041,0.15619389587073607,0.33802816901408417,
152e2bfd-e9ea-4d70-a999-6f37fb3fb96c,1715,ok,0.45525939639596874,11,0.00641399416909621,0.13545150501672246,0.32737030411448986,
1556abac-8f1a-404a-8a2f-402ac562143c,1625,ok,0.44515859544801517,12,0.0073846153846153844,0.14233576642335768,0.31636363636363624,
16552c24-ef48-4e1f-aff5-319a1f739299,1474,ok,0.432064528879867,15,0.0101763907734057,0.1506024096385542,0.30499075785582236,
1e3165e4-e0c0-4bf7-b803-7d8271b99fd5,2078,ok,0.47945572514368445,19,0.009143407122232916,0.1482701812191103,0.3483535528596185,
222b358b-71e7-4b0f-9f9b-47b4c67aaa27,2459,ok,0.5038127877504404,22,0.008946726311508743,0.16071428571428567,0.3680672268907563,
2236c52d-924b-415a-aae0-00fa08d12d1f,1744,ok,0.46090874585940445,23,0.013188073394495414,0.16568047337278102,0.32737030411448986,
272dbb99-7929-46e2-8446-a19c21af05da,1865,ok,0.47174531495719074,14,0.007506702412868633,0.15619389587073607,0.33802816901408417,
28401515-eca4-442a-85fc-f8c2793b1c26,1450,ok,0.43545418036682904,46,0.031724137931034485,0.16906077348066303,0.37333333333333324,
2dbf699a-f6cd-446d-8dc4-0595319cfa99,1482,ok,0.43545418036682904,28,0.018893387314439947,0.1506024096385542,0.37333333333333324,
2e65a160-ba6e-4001-b942-c2aa46cd2c5b,1504,ok,0.436811833851745,22,0.014627659574468085,0.1506024096385542,0.30499075785582236,
3044f2b9-48b5-45ec-ac14-107f0d7372f0,1652,ok,0.4478535735084649,37,0.022397094430992737,0.14233576642335768,0.38562091503268003,
30bbf8d6-bd6a-4b4f-8d3e-a54bf78f79d5,1724,ok,0.4596462988231288,11,0.0063805104408352666,0.13545150501672246,0.32737030411448986,
32436280-1ea6-4678-bb18-4632fe8c4933,1840,ok,0.46479011957079686,18,0.009782608695652175,0.14932126696832576,0.32737030411448986,
3332f018-936e-4c4c-9105-99d9503db5a3,1446,ok,0.4326167890792342,23,0.01590594744121715,0.1506024096385542,0.37333333333333324,
34585dab-86cd-40a1-9780-83204c304046,1690,ok,0.45736957280105284,15,0.008875739644970414,0.13545150501672246,0.32737030411448986,
3639058a-5dc3-49ad-82ff-cec405483912,2377,ok,0.49412927766660353,20,0.008413967185527976,0.14155251141552505,0.3057607090103397,
39093cbf-e0a9-480d-ab0b-e9e4cf95a9f8,1351,ok,0.4203794960373906,29,0.02146558105107328,0.16071428571428567,0.36054421768707434,
39564abe-76f3-4a33-9f10-f574069834bc,1554,ok,0.44524867907895505,30,0.019305019305019305,0.14233576642335768,0.31636363636363624,
3c722d55-1664-4996-8228-63504e862676,973,ok,0.3903780390324162,26,0.02672147995889003,0.12693498452012378,0.3333333333333328,
43b9b939-e389-4784-b4e0-ee9d12aa7ca1,1470,ok,0.4382630474587107,11,0.007482993197278911,0.1352345906163753,0.2563291139240507,
4e57f7cc-1df2-467f-8bfe-cb19af5d7350,1620,ok,0.44286855598043984,29,0.017901234567901235,0.14233576642335768,0.31636363636363624,
54530f14-aadf-4c2a-8f92-9c22a69cc022,1670,ok,0.44544909615268946,24,0.01437125748502994,0.1582089552238806,0.31636363636363624,
56b848af-d12b-4f9c-b605-947e296caa46,2251,ok,0.49200145746187596,17,0.007552199022656597,0.15453802125919866,0.3057607090103397,
585af22b-b80b-4a1d-8cc8-17d65b2639e1,2455,ok,0.4996366757899305,17,0.006924643584521385,0.16071428571428567,0.31486880466472295,
60373b7d-7c45-428f-9622-aa4f854c4860,2203,ok,0.4809887125819945,22,0.009986382206082615,0.1482701812191103,0.3483535528596185,
64f6fec6-18a3-4563-b731-189faf6423f2,1329,ok,0.42616491779798216,42,0.03160270880361174,0.16071428571428567,0.36054421768707434,
665a3535-8f40-4ae3-9260-cbce7060781f,1740,ok,0.45816630607248265,21,0.01206896551724138,0.14932126696832576,0.32737030411448986,
683bd537-4ff4-4741-afe5-be328f499d4b,1916,ok,0.4711732792747217,18,0.009394572025052192,0.15619389587073607,0.33802816901408417,
68492085-4a2b-4551-9b12-75062c694069,1886,ok,0.47084818514116134,19,0.01007423117709438,0.14190871369294603,0.33802816901408417,
6ab35eea-1bae-4ee8-8e5f-5f1505715ac3,1751,ok,0.4566224140442897,22,0.012564249000571102,0.14932126696832576,0.32737030411448986,
6fd714df-b88d-43a6-8f75-3d300278329d,1436,ok,0.432064528879867,27,0.018802228412256268,0.16906077348066303,0.37333333333333324,
70a004b7-4a17-4702-8910-4557aa0c4279,1558,ok,0.44609434773848256,20,0.012836970474967908,0.15027236082361914,0.31636363636363624,
78c34b8c-196b-4a31-b700-08882bfaf4ab,2049,ok,0.48215529568440657,29,0.014153245485602733,0.16295636687444337,0.3483535528596185,
7a2abe44-abb7-4648-bb14-224625a6da0b,1561,ok,0.4454128130931556,15,0.009609224855861628,0.14233576642335768,0.31636363636363624,
7c76a618-92ba-41fd-b0a7-306a1c1a6bf2,1630,ok,0.44854641027283804,28,0.01717791411042945,0.14233576642335768,0.31636363636363624,
8321fef1-a067-4a62-a461-37e1f1b4f868,1759,ok,0.4561611710049217,13,0.007390562819783968,0.14932126696832576,0.32737030411448986,
8627b3d4-c529-45b3-bf1e-0313791be91d,1639,ok,0.44689118191791244,27,0.01647345942647956,0.1582089552238806,0.31636363636363624,
894c6ccb-cb7a-4ea1-b032-b1d93b25247d,1613,ok,0.45128263806379376,16,0.009919404835709857,0.1582089552238806,0.31636363636363624,
8950207b-4940-4ef9-ad01-0ad0dace6f27,2442,ok,0.5039440169782017,26,0.010647010647010647,0.14739229024943304,0.3680672268907563,
90e60bb7-e776-4dff-a8ba-6390acefdbee,1371,ok,0.43582954743449176,7,0.005105762217359592,0.1352345906163753,0.2563291139240507,
91761416-a756-48e5-8768-fd169c7c564c,1436,ok,0.4367106580513386,14,0.009749303621169917,0.1352345906163753,0.2563291139240507,
9184b09f-ca66-4623-a733-1f64bc1b424f,1469,ok,0.4342001628183628,29,0.019741320626276378,0.1506024096385542,0.37333333333333324,
9586e7f4-5c57-452e-bb13-90ceef874118,1616,ok,0.4459950617119535,35,0.021658415841584157,0.14233576642335768,0.38562091503268003,
9850fb76-4155-4910-881f-b5d33ee0835c,1855,ok,0.46769799429532455,21,0.011320754716981131,0.15619389587073607,0.33802816901408417,
a5750809-7c9f-409f-baa1-9bfbb22d2fcc,1685,ok,0.4596462988231288,17,0.010089020771513354,0.13545150501672246,0.32737030411448986,
a5cedd63-caae-415f-b7e4-c7f660fc89c8,1824,ok,0.45775730708883233,17,0.00932017543859649,0.13545150501672246,0.32737030411448986,
b795713b-ff23-4494-b6a3-1438b2baee3e,1530,ok,0.44193224657359187,37,0.024183006535947713,0.1582089552238806,0.38562091503268003,
b816335c-8d84-4ecc-aa3e-2dea51795320,1819,ok,0.45801111195686406,20,0.010995052226498075,0.13545150501672246,0.32737030411448986,
b993ef60-52c8-41e2-83a2-bb44f1fb916f,2141,ok,0.48417570821345657,20,0.009341429238673517,0.1482701812191103,0.29640718562874235,
bdc30514-427c-403e-a0ee-61e7d04e407e,1984,ok,0.4741935060095929,20,0.010080645161290322,0.15619389587073607,0.33802816901408417,
c2641f62-eb23-4dad-9c22-b52e72b79df2,1337,ok,0.4205422955422954,22,0.016454749439042633,0.16071428571428567,0.36054421768707434,
c64fa002-95f9-4429-b65c-6f55c7f907d4,1725,ok,0.4590177171174421,34,0.01971014492753623,0.16568047337278102,0.3974358974358977,
c7f79595-aa68-4139-9a87-094c761cc5ab,1788,ok,0.4599296345310787,15,0.008389261744966443,0.16568047337278102,0.32737030411448986,
ca103ed6-7a7e-4450-9546-ac295532bced,1586,ok,0.44930653375493695,9,0.005674653215636823,0.14233576642335768,0.31636363636363624,
cd2306bc-106c-4506-b778-d184713c463a,2068,ok,0.48671084644009166,9,0.004352030947775629,0.135632183908046,0.29640718562874235,
cdab3145-edc9-4352-932c-1638e791bfc9,1503,ok,0.4320641330072043,21,0.013972055888223553,0.1506024096385542,0.30499075785582236,
cdf51e52-a49a-474f-a6ba-da5a14137d09,1715,ok,0.4614721790158378,13,0.007580174927113703,0.14932126696832576,0.32737030411448986,
cfb525cf-987b-42c8-afca-8dd18f45b32d,1581,ok,0.44524867907895505,32,0.02024035420619861,0.1582089552238806,0.38562091503268003,
d461010c-38fd-414f-91bd-e1b3e7e2f8fb,1552,ok,0.45002845361855914,19,0.012242268041237113,0.1582089552238806,0.31636363636363624,
d49aa545-2b96-409c-85e8-2bf8706475fb,1607,ok,0.4464971024882328,37,0.023024268823895456,0.1582089552238806,0.38562091503268003,
d4d2da4e-6580-479c-b5f6-77b109e72715,2181,ok,0.47994074295703437,26,0.01192113709307657,0.1482701812191103,0.3483535528596185,
d641571e-6406-4309-ae61-acc6f2e0a50d,1582,ok,0.449263561867033,23,0.014538558786346398,0.1582089552238806,0.31636363636363624,
d8a37460-32f2-4b61-b1d2-1f7f0ba92779,2561,ok,0.5038127877504404,25,0.009761811792268645,0.14739229024943304,0.31486880466472295,
d9278721-fad6-4eba-a1bb-4a26c0aea206,1773,ok,0.45816630607248265,14,0.007896221094190638,0.13545150501672246,0.276923076923077,
