library_uuid,n_cells,status,threshold,predicted_doublets,predicted_doublet_fraction,score_median,score_q95,message,median_total_counts,median_detected_genes,median_non_b_fraction
0103e306-959a-46b0-896d-d8b9dee40157,1728,ok,0.4574857150305285,32,0.0185185185185185,0.165680473372781,0.3273703041144898,,2957.0,875.0,0.0013063927
048cb921-e15f-47a6-a9e3-ed512574e5d7,1615,ok,0.4464882111525617,25,0.0154798761609907,0.1582089552238806,0.3163636363636362,,1820.0,616.0,0.0012448133
0955850b-157b-4396-a3da-83b8bcbed172,1824,ok,0.4581663060724826,25,0.0137061403508771,0.1354515050167224,0.3273703041144898,,1517.5,537.0,0.0007601674
0be87f87-d01a-495e-9605-d89d36240908,1930,ok,0.4667505445894565,39,0.0202072538860103,0.156193895870736,0.3380281690140841,,2149.5,683.0,0.0012290045
0c3a7808-800f-43b1-a57b-08c3b2bb9e5a,2282,ok,0.492306127999923,24,0.0105170902716914,0.1545380212591986,0.3583617747440269,,2159.5,694.0,0.00093153236
0c7c125d-46d6-40ba-8088-31fb2b526a78,1289,ok,0.4197091848162289,41,0.0318076027928626,0.1607142857142856,0.3605442176870743,,2080.0,649.0,0.0009891196
10cec51f-a79f-4907-8745-b45df64f6946,1216,ok,0.4076384300783224,11,0.0090460526315789,0.1521984216459977,0.2810707456978968,,667.0,287.5,0.0015760451
1495b93b-a19f-4364-95a3-6d8ac531eac6,1515,ok,0.4390058291541152,29,0.0191419141914191,0.1506024096385542,0.3049907578558223,,1373.0,479.0,0.0014154281
15024b21-fb68-4bbe-92cf-0c9ab90f11a6,1904,ok,0.4683569691995964,18,0.009453781512605,0.156193895870736,0.3380281690140841,,1763.0,602.0,0.0009057971
152e2bfd-e9ea-4d70-a999-6f37fb3fb96c,1715,ok,0.4552593963959687,11,0.0064139941690962,0.1354515050167224,0.3273703041144898,,2024.0,724.0,0.0011031439
1556abac-8f1a-404a-8a2f-402ac562143c,1625,ok,0.4451585954480151,12,0.0073846153846153,0.1423357664233576,0.3163636363636362,,2722.0,820.0,0.0009142857
16552c24-ef48-4e1f-aff5-319a1f739299,1474,ok,0.432064528879867,15,0.0101763907734057,0.1506024096385542,0.3049907578558223,,731.0,308.0,0.0013783604
1e3165e4-e0c0-4bf7-b803-7d8271b99fd5,2078,ok,0.4794557251436844,19,0.0091434071222329,0.1482701812191103,0.3483535528596185,,1902.5,619.0,0.0012562814
222b358b-71e7-4b0f-9f9b-47b4c67aaa27,2459,ok,0.5038127877504404,22,0.0089467263115087,0.1607142857142856,0.3680672268907563,,2044.0,659.0,0.00086692674
2236c52d-924b-415a-aae0-00fa08d12d1f,1744,ok,0.4609087458594044,23,0.0131880733944954,0.165680473372781,0.3273703041144898,,1246.0,489.0,0.0019678585
272dbb99-7929-46e2-8446-a19c21af05da,1865,ok,0.4717453149571907,14,0.0075067024128686,0.156193895870736,0.3380281690140841,,1550.0,542.0,0.0010928962
