predicted_doublet,metric,n,median,q90,q95
False,doublet_score,148430,0.1493212669683257,0.266770670826833,0.3163636363636362
False,total_counts,148430,1929.0,3362.0,4014.0
False,detected_genes,148430,644.0,989.0,1132.0
False,fraction_b_lineage,148430,0.017468875274062157,0.02537489701062441,0.027976834215223782
False,fraction_t_nk,148430,0.0,0.0008200082229450345,0.0011013215407729149
False,fraction_myeloid,148430,0.0009781545959413052,0.00238663493655622,0.002989536616951227
False,fraction_platelet,148430,0.0,0.0005474952049553394,0.0008375209290534258
False,fraction_erythroid,148430,0.0,0.0005402485257945955,0.000921814778121185
False,max_non_b_fraction,148430,0.0010887315729632974,0.0024410395883023754,0.003033366985619068
True,doublet_score,1972,0.5013262599469491,0.6606498194945848,0.6713286713286724
True,total_counts,1972,2130.0,3477.9,4026.8999999999996
True,detected_genes,1972,694.0,1020.0,1124.0
True,fraction_b_lineage,1972,0.01807512156665325,0.024229769222438337,0.026280488539487116
True,fraction_t_nk,1972,0.0,0.0008132743358146403,0.0011139580397866665
True,fraction_myeloid,1972,0.0009814789518713951,0.002351760701276362,0.0029062315472401655
True,fraction_platelet,1972,0.0,0.0005477501719724387,0.0007754644262604415
True,fraction_erythroid,1972,0.0,0.00043356188689358576,0.0007479431806132197
True,max_non_b_fraction,1972,0.001084794756025076,0.002382898470386863,0.0029389999690465594
