gene_index,gene_id,feature_name,n_cells,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection,is_mitochondrial,is_ribosomal,is_hemoglobin,is_stress,is_cell_cycle,is_immunoglobulin,is_strong_isg
ENSG00000174469,ENSG00000174469,CNTNAP2,4529,True,0.19785574354192662,1.9653870234488542,1.1815301,88,True,False,False,False,False,False,False,False
ENSG00000142227,ENSG00000142227,EMP3,60251,True,1.6838670012191124,2.158502879964308,1.1798503,88,True,False,False,False,False,False,False,False
ENSG00000163958,ENSG00000163958,ZDHHC19,2240,True,0.10455230294035224,1.9587943400914773,1.1709129,88,True,False,False,False,False,False,False,False
ENSG00000204852,ENSG00000204852,TCTN1,4199,True,0.18697672934303364,1.9411370234483705,1.0672811,88,True,False,False,False,False,False,False,False
ENSG00000174944,ENSG00000174944,P2RY14,4462,True,0.1951150567719848,1.915401584215355,1.0324768,88,True,False,False,False,False,False,False,False
ENSG00000187514,ENSG00000187514,PTMA,119674,True,3.8808975024323997,2.282938420898335,1.022411,88,True,False,False,False,False,False,False,False
ENSG00000109906,ENSG00000109906,ZBTB16,3924,True,0.16117449119974853,1.9120987810331158,1.0105777,88,True,False,False,False,False,False,False,False
ENSG00000251562,ENSG00000251562,MALAT1,120319,True,6.5755166524530555,4.055202641402757,1.0,88,True,False,False,False,False,False,False,False
ENSG00000164543,ENSG00000164543,STK17A,32382,True,0.9999619166744792,1.921123278402732,0.98350966,88,True,False,False,False,False,False,False,False
ENSG00000250850,ENSG00000250850,ENSG00000250850,6086,True,0.2536789139281956,1.8859021124945528,0.9355875,88,True,False,False,False,False,False,False,False
ENSG00000197520,ENSG00000197520,FAM177B,4083,True,0.18216373188061377,1.908468222472033,0.9351513,88,True,False,False,False,False,False,False,False
ENSG00000091972,ENSG00000091972,CD200,5822,True,0.24990493180533413,1.8958370019765776,0.93314934,88,True,False,False,False,False,False,False,False
ENSG00000026559,ENSG00000026559,KCNG1,1842,True,0.08429129139244973,1.8958262627833042,0.88898903,88,True,False,False,False,False,False,False,False
ENSG00000204287,ENSG00000204287,HLA-DRA,119567,True,3.9698836821616394,2.285452471400314,0.8676155,88,True,False,False,False,False,False,False,False
ENSG00000141293,ENSG00000141293,SKAP1,7465,True,0.2875142162695234,1.858624460551784,0.8513744,88,True,False,False,False,False,False,False,False
ENSG00000272501,ENSG00000272501,ENSG00000272501,7265,True,0.2802486497380982,1.846352617852064,0.79074293,88,True,False,False,False,False,False,False,False
ENSG00000169762,ENSG00000169762,TAPT1,4390,True,0.17905959752052888,1.8574856435603786,0.7329507,88,True,False,False,False,False,False,False,False
ENSG00000071051,ENSG00000071051,NCK2,5251,True,0.20769151814387252,1.840776598009704,0.65067583,88,True,False,False,False,False,False,False,False
ENSG00000151687,ENSG00000151687,ANKAR,4564,True,0.1805273538822074,1.8349287295215162,0.6103898,88,True,False,False,False,False,False,False,False
ENSG00000155085,ENSG00000155085,AK9,5034,True,0.20395673306687587,1.8235576042654564,0.5792197,88,True,False,False,False,False,False,False,False
ENSG00000170222,ENSG00000170222,ADPRM,6102,True,0.23722518581766944,1.825737924430616,0.56965995,88,True,False,False,False,False,False,False,False
ENSG00000170476,ENSG00000170476,MZB1,17223,True,0.7319098936100683,2.913101164596655,9.263587,87,False,False,False,False,False,False,False,False
ENSG00000187608,ENSG00000187608,ISG15,26098,True,0.9329334384033611,2.3088927826184724,3.633768,87,False,False,False,False,False,False,False,True
ENSG00000213145,ENSG00000213145,CRIP1,25417,True,0.9650921840887917,2.3459330928854003,3.286116,87,False,False,False,False,False,False,False,False
ENSG00000143443,ENSG00000143443,C1orf56,16426,True,0.6528165642371859,2.045290469725483,2.7568865,87,False,False,False,False,False,False,False,False
ENSG00000143297,ENSG00000143297,FCRL5,14160,True,0.5401485510952212,2.0160551866830807,2.6641648,87,False,False,False,False,False,False,False,False
ENSG00000112137,ENSG00000112137,PHACTR1,20004,True,0.7194135336233125,1.9822075498212712,1.9314439,87,False,False,False,False,False,False,False,False
ENSG00000226777,ENSG00000226777,FAM30A,22900,True,0.8139978056676895,1.9924427784634013,1.7447095,87,False,False,False,False,False,False,False,False
ENSG00000125347,ENSG00000125347,IRF1,31624,True,0.9878853334671372,2.050935570535101,1.7236212,87,False,False,False,False,False,False,False,False
ENSG00000124766,ENSG00000124766,SOX4,5413,True,0.23638400809182852,2.019966697211194,1.7038987,87,False,False,False,False,False,False,False,False
ENSG00000051108,ENSG00000051108,HERPUD1,40391,True,1.2198623426752246,2.0365763304995825,1.4808055,87,False,False,False,False,False,False,False,False
ENSG00000019582,ENSG00000019582,CD74,120136,True,4.365730896946206,2.4195972132028216,1.3102144,87,False,False,False,False,False,False,False,False
ENSG00000132530,ENSG00000132530,XAF1,16586,True,0.5847308032296282,1.9158038526487005,1.2910861,87,False,False,False,False,False,False,False,True
ENSG00000023445,ENSG00000023445,BIRC3,50736,True,1.4560134075056468,2.0845395943933087,1.2595947,87,False,False,False,False,False,False,False,False
ENSG00000267858,ENSG00000267858,MZF1-AS1,5199,True,0.22456509199450778,1.923790141817742,1.2107786,87,False,False,False,False,False,False,False,False
ENSG00000067082,ENSG00000067082,KLF6,54246,True,1.5340690777145947,2.0315785608717523,1.0705304,87,False,False,False,False,False,False,False,False
