replicate,branch,resolution,reference_state,reference_cells,mapped_cells,jaccard,recall
3,harmony,0.4,B_CONV,119268,119268,0.9993797409999581,0.9996897742898346
3,harmony,0.4,B_ASC,1052,1052,0.9320477502295684,0.964828897338403
3,harmony,0.6,B_CONV,119268,119262,0.9993462080064374,0.999647851896569
3,harmony,0.6,B_ASC,1052,1058,0.9287020109689214,0.9657794676806084
3,harmony,0.8,B_CONV,119268,119232,0.9991282627282024,0.9994130864942817
3,harmony,0.8,B_ASC,1052,1088,0.9073083778966132,0.967680608365019
3,unintegrated,0.4,B_CONV,119268,119373,0.9990701648572577,0.9999748465640407
3,unintegrated,0.4,B_ASC,1052,947,0.8947867298578199,0.8973384030418251
3,unintegrated,0.6,B_CONV,119268,119361,0.9990366250041885,0.9999077707348157
3,unintegrated,0.6,B_ASC,1052,959,0.8918156161806209,0.9011406844106464
3,unintegrated,0.8,B_CONV,119268,119371,0.9990701570680628,0.9999664620853875
3,unintegrated,0.8,B_ASC,1052,949,0.8948863636363636,0.8982889733840305
