reconstruction_depth,state,minimum_jaccard,median_jaccard,state_median_criterion
frozen,B_CONV,0.9998323301084824,0.999924551078872,0.95
frozen,B_ASC,0.9810964083175804,0.9913709736725989,0.95
end_to_end,B_CONV,0.9987595755736964,0.9993629961060673,0.95
end_to_end,B_ASC,0.8717504332755632,0.9303233364573571,0.95
