"analysis_name","program_id","program_label","analysis_family","publication_role","positive_available","positive_total","negative_available","negative_total","availability_pass","effect","se_hc3","ci_low","ci_high","statistic","df","p_value","q_value_primary4"
"primary_min100","PLATELET_AMBIENT_QC","Platelet/ambient overlay","qc_only","sensitivity/QC only; never a B-cell identity",10,10,0,0,TRUE,0.00617273253727662,0.104305564340923,-0.201286839785293,0.213632304859846,0.0591793216045599,83,0.952951533546972,NA
"primary_min100","ASC_UPR_IDENTITY_QC","ASC/UPR identity control","identity_qc_only","B_ASC identity QC; not a new outcome-informed state",10,10,0,0,TRUE,-0.0419087141364459,0.0812544340808178,-0.203520515484087,0.119703087211195,-0.515771411253229,83,0.607385283482651,NA
"primary_min100","PAN_B_IDENTITY_QC","Pan-B identity control","identity_qc_only","B-lineage extraction QC only",5,5,0,0,TRUE,0.397766239698132,0.147787806744159,0.1038222360837,0.691710243312564,2.69146858906107,83,0.00860159587957962,NA
"primary_residual_risk_negative","NAIVE_TO_MEMORY_AXIS","Naive-to-memory axis","primary_confirmatory","continuous B_CONV program; no hard subtype",7,7,7,7,TRUE,-0.544264708629041,0.220299606857233,-0.982279346973127,-0.106250070284955,-2.47056595512563,85,0.0154876104561788,0.0236895406719034
"primary_residual_risk_negative","ATYPICAL_LOW_NAIVE_AXIS","Atypical/ABC with low-naive context","primary_confirmatory","continuous B_CONV program; no ABC hard identity",7,7,3,3,TRUE,-0.0518843980981659,0.175860971775697,-0.401543124457541,0.297774328261209,-0.295030771036238,85,0.768689792674643,0.768689792674643
"primary_residual_risk_negative","APC_HLA","Antigen-presentation program","primary_confirmatory","continuous B_CONV program",10,10,0,0,TRUE,0.260653003954753,0.1078214161885,0.0462751424084131,0.475030865501092,2.41745112584186,85,0.0177671555039276,0.0236895406719034
"primary_residual_risk_negative","IFN_ISG","Type I interferon response","primary_confirmatory","continuous B_CONV program",12,12,0,0,TRUE,0.842077408429252,0.155831511129362,0.532242615877062,1.15191220098144,5.40376848255171,85,5.86096623653871e-07,2.34438649461548e-06
"primary_residual_risk_negative","ACTIVATION_STRESS","Activation/immediate-early response","secondary_contextual","context and technical-stress sensitivity",9,9,0,0,TRUE,-0.444067290372333,0.110258470669062,-0.663290669131148,-0.224843911613517,-4.02751178823428,85,0.000122114361812856,NA
"primary_residual_risk_negative","TLR7_INNATE","TLR7/innate-sensing context","secondary_contextual","mechanistic context only",9,9,0,0,TRUE,0.345327294381346,0.0893981737541864,0.167579774518825,0.523074814243867,3.86280032219534,85,0.000218187992887163,NA
"primary_residual_risk_negative","PLATELET_AMBIENT_QC","Platelet/ambient overlay","qc_only","sensitivity/QC only; never a B-cell identity",10,10,0,0,TRUE,0.0030536141086568,0.0998995437606746,-0.195573442722309,0.201680670939622,0.0305668473919383,85,0.975686639886042,NA
"primary_residual_risk_negative","ASC_UPR_IDENTITY_QC","ASC/UPR identity control","identity_qc_only","B_ASC identity QC; not a new outcome-informed state",10,10,0,0,TRUE,-0.0399614466827924,0.078366149199899,-0.195774346169523,0.115851452803939,-0.509932503903661,85,0.611420301176365,NA
"primary_residual_risk_negative","PAN_B_IDENTITY_QC","Pan-B identity control","identity_qc_only","B-lineage extraction QC only",5,5,0,0,TRUE,0.402854603858712,0.145316462497632,0.113926545046552,0.691782662670871,2.77225716160876,85,0.00683911309549448,NA
"validation_full","NAIVE_TO_MEMORY_AXIS","Naive-to-memory axis","primary_confirmatory","continuous B_CONV program; no hard subtype",7,7,7,7,TRUE,-0.580694618439021,0.366483551592619,-1.31352377171633,0.15213453483829,-1.58450390451498,61,0.118250206776883,0.167365382005406
"validation_full","ATYPICAL_LOW_NAIVE_AXIS","Atypical/ABC with low-naive context","primary_confirmatory","continuous B_CONV program; no ABC hard identity",7,7,3,3,TRUE,-0.119818513511622,0.357827767220779,-0.835339356212371,0.595702329189126,-0.334849680454493,61,0.73888720727184,0.73888720727184
"validation_full","APC_HLA","Antigen-presentation program","primary_confirmatory","continuous B_CONV program",10,10,0,0,TRUE,0.361427156296962,0.232682936224459,-0.103851130803339,0.826705443397262,1.55330322954284,61,0.125524036504054,0.167365382005406
"validation_full","IFN_ISG","Type I interferon response","primary_confirmatory","continuous B_CONV program",12,12,0,0,TRUE,0.856126196501275,0.250993958171508,0.354232758050295,1.35801963495225,3.41094344556402,61,0.00115379343510618,0.00461517374042472
"validation_full","ACTIVATION_STRESS","Activation/immediate-early response","secondary_contextual","context and technical-stress sensitivity",9,9,0,0,TRUE,0.8476141736857,0.229563422618928,0.38857373956473,1.30665460780667,3.69228757794192,61,0.000476490984969756,NA
"validation_full","TLR7_INNATE","TLR7/innate-sensing context","secondary_contextual","mechanistic context only",9,9,0,0,TRUE,0.174268239518363,0.156784973693353,-0.139242691651676,0.487779170688402,1.11151110602732,61,0.27071017466896,NA
"validation_full","PLATELET_AMBIENT_QC","Platelet/ambient overlay","qc_only","sensitivity/QC only; never a B-cell identity",10,10,0,0,TRUE,-0.122307387890635,0.220976652608665,-0.564177514180154,0.319562738398885,-0.553485567125651,61,0.581954065816991,NA
"validation_full","ASC_UPR_IDENTITY_QC","ASC/UPR identity control","identity_qc_only","B_ASC identity QC; not a new outcome-informed state",10,10,0,0,TRUE,-0.165851849264781,0.110560400948841,-0.38693103456858,0.0552273360390185,-1.50010173481122,61,0.138746377882798,NA
"validation_full","PAN_B_IDENTITY_QC","Pan-B identity control","identity_qc_only","B-lineage extraction QC only",5,5,0,0,TRUE,-0.143116544607346,0.261093861161903,-0.665205987284081,0.378972898069388,-0.5481421277791,61,0.585594767872062,NA
"validation_nonoverlap","NAIVE_TO_MEMORY_AXIS","Naive-to-memory axis","primary_confirmatory","continuous B_CONV program; no hard subtype",7,7,7,7,TRUE,-0.442854136623369,0.432898167147314,-1.31193347118779,0.426225197941049,-1.02299840986083,51,0.311136737041768,0.414848982722358
"validation_nonoverlap","ATYPICAL_LOW_NAIVE_AXIS","Atypical/ABC with low-naive context","primary_confirmatory","continuous B_CONV program; no ABC hard identity",7,7,3,3,TRUE,0.184346889903375,0.409661020222274,-0.638081925625889,1.00677570543264,0.449998610566736,51,0.654618432925824,0.654618432925824
"validation_nonoverlap","APC_HLA","Antigen-presentation program","primary_confirmatory","continuous B_CONV program",10,10,0,0,TRUE,0.339781498647276,0.267167349567045,-0.196579336301822,0.876142333596373,1.27179275161394,51,0.209215797033133,0.414848982722358
"validation_nonoverlap","IFN_ISG","Type I interferon response","primary_confirmatory","continuous B_CONV program",12,12,0,0,TRUE,1.08624050109214,0.255417464264537,0.573468545179428,1.59901245700485,4.25280434217729,51,9.01319089523746e-05,0.000360527635809498
"validation_nonoverlap","ACTIVATION_STRESS","Activation/immediate-early response","secondary_contextual","context and technical-stress sensitivity",9,9,0,0,TRUE,1.0270361126512,0.231695313901585,0.561888360804149,1.49218386449826,4.43270127201385,51,4.96094371166648e-05,NA
"validation_nonoverlap","TLR7_INNATE","TLR7/innate-sensing context","secondary_contextual","mechanistic context only",9,9,0,0,TRUE,0.232044356109597,0.168643481892352,-0.106521561107042,0.570610273326235,1.37594618840777,51,0.174850833855376,NA
"validation_nonoverlap","PLATELET_AMBIENT_QC","Platelet/ambient overlay","qc_only","sensitivity/QC only; never a B-cell identity",10,10,0,0,TRUE,-0.102075477877607,0.24122777187757,-0.586360437648467,0.382209481893253,-0.423149777005831,51,0.673965077650374,NA
"validation_nonoverlap","ASC_UPR_IDENTITY_QC","ASC/UPR identity control","identity_qc_only","B_ASC identity QC; not a new outcome-informed state",10,10,0,0,TRUE,-0.161438306578509,0.122768047587362,-0.407905446428258,0.0850288332712411,-1.31498634824855,51,0.19439674512052,NA
"validation_nonoverlap","PAN_B_IDENTITY_QC","Pan-B identity control","identity_qc_only","B-lineage extraction QC only",5,5,0,0,TRUE,-0.193959010383016,0.319135378482453,-0.834650016757991,0.446731995991959,-0.607764050809179,51,0.546040928500462,NA
"flare_full","NAIVE_TO_MEMORY_AXIS","Naive-to-memory axis","primary_confirmatory","continuous B_CONV program; no hard subtype",7,7,7,7,TRUE,-0.327051506224118,0.392642359782345,-1.12893418278472,0.474831170336486,-0.832950134074718,30,0.411455340226057,0.411455340226057
"flare_full","ATYPICAL_LOW_NAIVE_AXIS","Atypical/ABC with low-naive context","primary_confirmatory","continuous B_CONV program; no ABC hard identity",7,7,3,3,TRUE,0.562303424552601,0.495158002054752,-0.448944124560971,1.57355097366617,1.13560403390275,30,0.265113602351196,0.353484803134928
"flare_full","APC_HLA","Antigen-presentation program","primary_confirmatory","continuous B_CONV program",10,10,0,0,TRUE,0.362346982218624,0.233677527337735,-0.114886195519812,0.83958015995706,1.55062827969299,30,0.131477300680568,0.262954601361136
"flare_full","IFN_ISG","Type I interferon response","primary_confirmatory","continuous B_CONV program",12,12,0,0,TRUE,1.36830280496755,0.313078574091041,0.728911056443348,2.00769455349175,4.37047731209372,30,0.000136754920434242,0.000547019681736967
"flare_full","ACTIVATION_STRESS","Activation/immediate-early response","secondary_contextual","context and technical-stress sensitivity",9,9,0,0,TRUE,-0.377870696608768,0.274445719193591,-0.938363629667622,0.182622236450087,-1.37685039401989,30,0.178747216510654,NA
"flare_full","TLR7_INNATE","TLR7/innate-sensing context","secondary_contextual","mechanistic context only",9,9,0,0,TRUE,0.591832889697421,0.149959950864021,0.285573812499543,0.898091966895298,3.946606319137,30,0.000442105633944761,NA
"flare_full","PLATELET_AMBIENT_QC","Platelet/ambient overlay","qc_only","sensitivity/QC only; never a B-cell identity",10,10,0,0,TRUE,-0.146878943105638,0.355518608608771,-0.87294480516987,0.579186918958594,-0.413139958215999,30,0.682442260705714,NA
"flare_full","ASC_UPR_IDENTITY_QC","ASC/UPR identity control","identity_qc_only","B_ASC identity QC; not a new outcome-informed state",10,10,0,0,TRUE,-0.0276027555714588,0.119656602106792,-0.271974138268757,0.216768627125839,-0.230683097175229,30,0.819126958305348,NA
"flare_full","PAN_B_IDENTITY_QC","Pan-B identity control","identity_qc_only","B-lineage extraction QC only",5,5,0,0,TRUE,0.695246938472079,0.255667168531464,0.173104922199744,1.21738895474441,2.71934383466416,30,0.010770240493522,NA
