"analysis_name","ensembl_id","gene_id","feature_name","is_mitochondrial","is_ribosomal","is_hemoglobin","is_immunoglobulin","tested_filterByExpr","logFC","logCPM","F","PValue","FDR"
"primary_base","ENSG00000138646","ENSG00000138646","HERC5",FALSE,FALSE,FALSE,FALSE,TRUE,1.1086067499068,4.18797180551601,28.9332825327168,5.42519107339914e-07,8.86918273999401e-05
"primary_base","ENSG00000185507","ENSG00000185507","IRF7",FALSE,FALSE,FALSE,FALSE,TRUE,0.795473003877829,5.87653601367177,29.009889871377,5.77922925894775e-07,9.1105421246412e-05
"primary_base","ENSG00000204397","ENSG00000204397","CARD16",FALSE,FALSE,FALSE,FALSE,TRUE,0.335235493289254,6.80030552246876,27.3091815213775,8.92157780518153e-07,0.000133487961597666
"primary_base","ENSG00000172183","ENSG00000172183","ISG20",FALSE,FALSE,FALSE,FALSE,TRUE,0.374534271187403,9.00380684907152,27.2665524595789,9.07258461243763e-07,0.000133487961597666
"primary_base","ENSG00000155368","ENSG00000155368","DBI",FALSE,FALSE,FALSE,FALSE,TRUE,0.290678237257722,8.06005698635306,26.0802781838221,1.47943691134683e-06,0.000210652726667254
"primary_base","ENSG00000240065","ENSG00000240065","PSMB9",FALSE,FALSE,FALSE,FALSE,TRUE,0.343736112033674,8.04308611353195,25.7206084820185,1.71757156659952e-06,0.00023251713309401
"primary_base","ENSG00000130303","ENSG00000130303","BST2",FALSE,FALSE,FALSE,FALSE,TRUE,0.529833419055395,6.71061602118464,25.9728737725554,1.73834739286414e-06,0.00023251713309401
"primary_base","ENSG00000270164","ENSG00000270164","LINC01480",FALSE,FALSE,FALSE,FALSE,TRUE,0.670740037878746,4.98660594061098,25.4235140371306,2.01036402668427e-06,0.000260992553346599
"primary_base","ENSG00000123609","ENSG00000123609","NMI",FALSE,FALSE,FALSE,FALSE,TRUE,0.549644385793423,5.25943207168192,25.1420686994023,2.19976779690379e-06,0.000271299571497929
"primary_base","ENSG00000026508","ENSG00000026508","CD44",FALSE,FALSE,FALSE,FALSE,TRUE,-0.282495581700908,6.85566214756454,25.070387969986,2.25325089039288e-06,0.000271299571497929
"primary_base","ENSG00000110324","ENSG00000110324","IL10RA",FALSE,FALSE,FALSE,FALSE,TRUE,-0.692786872173876,4.96495692351351,25.2256480741299,2.27414683856443e-06,0.000271299571497929
"primary_base","ENSG00000185885","ENSG00000185885","IFITM1",FALSE,FALSE,FALSE,FALSE,TRUE,1.29735826543219,6.48461318835329,25.237971151027,2.76016333489194e-06,0.000320614762110869
"primary_base","ENSG00000160932","ENSG00000160932","LY6E",FALSE,FALSE,FALSE,FALSE,TRUE,0.480203228077738,8.30007286851264,24.9070406456749,2.84089317855771e-06,0.000321530833080865
"primary_base","ENSG00000170345","ENSG00000170345","FOS",FALSE,FALSE,FALSE,FALSE,TRUE,-0.521939932375228,9.48386693330455,23.4251074881923,5.48824616891648e-06,0.000605627964739934
"primary_base","ENSG00000224137","ENSG00000224137","LINC01857",FALSE,FALSE,FALSE,FALSE,TRUE,-0.73056979964876,6.34691858249379,23.2226276462859,6.01248160919906e-06,0.000647294971292796
"primary_base","ENSG00000153234","ENSG00000153234","NR4A2",FALSE,FALSE,FALSE,FALSE,TRUE,-0.669747992269676,5.75658192085474,22.9434329398403,6.43836952591435e-06,0.000676641978271094
"primary_base","ENSG00000185201","ENSG00000185201","IFITM2",FALSE,FALSE,FALSE,FALSE,TRUE,0.320915341380947,8.00835984533537,22.4093957326298,6.9452896465134e-06,0.000705923539322409
"primary_base","ENSG00000135899","ENSG00000135899","SP110",FALSE,FALSE,FALSE,FALSE,TRUE,0.320406690635317,7.61011863296468,22.3790239029043,7.03684543049071e-06,0.000705923539322409
"primary_base","ENSG00000100721","ENSG00000100721","TCL1A",FALSE,FALSE,FALSE,FALSE,TRUE,0.790170073407854,8.86895239730792,22.756292331275,7.50317919725626e-06,0.000735978510593091
"primary_base","ENSG00000267519","ENSG00000267519","MIR23AHG",FALSE,FALSE,FALSE,FALSE,TRUE,-0.790617374010568,4.01906658187355,22.0308306036432,7.98660660787411e-06,0.000766366990590355
"primary_base","ENSG00000124766","ENSG00000124766","SOX4",FALSE,FALSE,FALSE,FALSE,TRUE,0.769936404764254,4.81007243990083,22.1298904406085,8.85059791394122e-06,0.000821602203106414
"primary_base","ENSG00000180573","ENSG00000180573","H2AC6",FALSE,FALSE,FALSE,FALSE,TRUE,0.443252315860707,5.70957991947626,21.7939001823927,9.07394554818349e-06,0.000821602203106414
"primary_base","ENSG00000137101","ENSG00000137101","CD72",FALSE,FALSE,FALSE,FALSE,TRUE,0.496603271768964,6.40289635301127,21.9325005708462,9.12064067789177e-06,0.000821602203106414
