replicate,branch,resolution,reference_state,reference_cells,mapped_cells,jaccard,recall
12,harmony,0.4,B_CONV,119269,119268,0.9993713643907264,0.9996813924825395
12,harmony,0.4,B_ASC,1051,1052,0.931129476584022,0.9647954329210275
12,harmony,0.6,B_CONV,119269,119225,0.9990612138839761,0.9993460161483705
12,harmony,0.6,B_ASC,1051,1095,0.9007971656333038,0.9676498572787822
12,harmony,0.8,B_CONV,119269,119224,0.999052831865083,0.9993376317400162
12,harmony,0.8,B_ASC,1051,1096,0.9,0.9676498572787822
12,unintegrated,0.4,B_CONV,119269,119369,0.9990450341777242,0.9999413091415205
12,unintegrated,0.4,B_ASC,1051,951,0.8922495274102079,0.8981921979067554
12,unintegrated,0.6,B_CONV,119269,119369,0.9990450341777242,0.9999413091415205
12,unintegrated,0.6,B_ASC,1051,951,0.8922495274102079,0.8981921979067554
12,unintegrated,0.8,B_CONV,119269,119369,0.9990450341777242,0.9999413091415205
12,unintegrated,0.8,B_ASC,1051,951,0.8922495274102079,0.8981921979067554
