resolution,reference_cluster,median_jaccard,minimum_jaccard,median_recall
0.4,0,0.9466479257513265,0.7063702977449817,0.9813186099935729
0.4,1,0.9254424344499924,0.3885116717054071,0.9554282114541186
0.4,2,0.45473596051089776,0.0,0.9495120897179921
0.4,3,0.9913709736725989,0.9810964083175804,0.9971125414082127
0.4,4,0.8054131862784851,0.0,0.8596917834419928
0.6,0,0.7205495027331899,0.5254702244122988,0.9251747730973161
0.6,1,0.9141492426996936,0.8703596567351268,0.9639048237102301
0.6,2,0.6318613415707979,0.0,0.7770193651881366
0.6,3,0.6438899565805396,0.0,0.7264899330876905
0.6,4,0.785776062224286,0.0,0.8643597890438022
0.6,5,0.9850187265917603,0.9663236669784846,0.9961774202974781
0.8,0,0.7622880944595836,0.6237924480238277,0.8841981184495501
0.8,1,0.7428316379873809,0.6191430187611955,0.8686670680271409
0.8,2,0.720123214953543,0.4911848792884371,0.8417028821495791
0.8,3,0.7201629260324937,0.3371012870733072,0.9318534537342505
0.8,4,0.6548347320316051,0.0,0.8215675173395762
0.8,5,0.7535675607452283,0.0,0.8286904250809091
0.8,6,0.9838440674324196,0.9642529789184234,0.9924488901400822
