replicate,resolution,reference_cluster,mapped_reference_cluster,n_cells,fraction_of_reference_cluster
7,0.6,0,4,32,0.0007410151908114116
7,0.6,0,5,2,4.631344942571323e-05
7,0.6,1,0,993,0.02548113933795227
7,0.6,1,1,37130,0.9527841929689504
7,0.6,1,2,789,0.020246343341031564
7,0.6,1,4,43,0.0011034128817038749
7,0.6,1,5,15,0.00038491147036181676
7,0.6,2,0,2437,0.0744599590577164
7,0.6,2,1,462,0.014115921659690183
7,0.6,2,2,29803,0.9105991628219622
7,0.6,2,4,21,0.0006416328027131901
7,0.6,2,5,6,0.0001833236579180543
7,0.6,3,0,2720,0.8254931714719271
7,0.6,3,1,318,0.09650986342943854
7,0.6,3,2,253,0.07678300455235205
7,0.6,3,4,4,0.0012139605462822458
7,0.6,4,0,48,0.043596730245231606
7,0.6,4,1,22,0.019981834695731154
7,0.6,4,2,79,0.07175295186194369
7,0.6,4,4,952,0.8646684831970936
7,0.6,5,1,2,0.0019212295869356388
7,0.6,5,5,1039,0.9980787704130644
7,0.8,0,0,38518,0.924402419122588
7,0.8,0,1,1755,0.0421186522031295
7,0.8,0,2,771,0.01850340789094749
7,0.8,0,3,164,0.003935874052030335
7,0.8,0,4,382,0.009167706633387732
7,0.8,0,5,75,0.001799942401843141
7,0.8,0,6,3,7.199769607372565e-05
7,0.8,1,0,4819,0.15088136760700085
7,0.8,1,1,26127,0.8180281160963085
7,0.8,1,2,528,0.016531513197031843
7,0.8,1,3,88,0.002755252199505307
7,0.8,1,4,331,0.01036350543223019
7,0.8,1,5,40,0.0012523873634115031
7,0.8,1,6,6,0.00018785810451172548
7,0.8,2,0,698,0.03039672516657231
7,0.8,2,1,478,0.020816095457910553
7,0.8,2,2,21009,0.9149065888603406
7,0.8,2,3,569,0.024778992291947917
7,0.8,2,4,173,0.007533858816356748
7,0.8,2,5,34,0.0014806427731568175
7,0.8,2,6,2,8.709663371510691e-05
7,0.8,3,0,264,0.014949037372593432
7,0.8,3,1,80,0.004530011325028313
7,0.8,3,2,2757,0.15611551528878823
7,0.8,3,3,14174,0.8026047565118912
7,0.8,3,4,351,0.01987542468856172
7,0.8,3,5,32,0.001812004530011325
7,0.8,3,6,2,0.00011325028312570782
7,0.8,4,0,352,0.09285149037193352
7,0.8,4,1,129,0.03402796096016882
7,0.8,4,2,56,0.014771828013716697
7,0.8,4,3,9,0.002374043787918755
7,0.8,4,4,3245,0.8559746768662622
7,0.8,5,0,85,0.0681635926222935
7,0.8,5,1,35,0.028067361668003207
7,0.8,5,2,27,0.02165196471531676
7,0.8,5,3,18,0.014434643143544507
7,0.8,5,4,6,0.0048115477145148355
7,0.8,5,5,1076,0.8628708901363272
7,0.8,6,0,2,0.0019011406844106464
7,0.8,6,2,3,0.0028517110266159697
7,0.8,6,3,3,0.0028517110266159697
7,0.8,6,6,1044,0.9923954372623575
8,0.4,0,0,75300,0.982913234737433
8,0.4,0,1,153,0.0019971543813390074
8,0.4,0,2,1101,0.014371679567674817
8,0.4,0,3,2,2.610659322011774e-05
8,0.4,0,4,53,0.0006918247203331201
8,0.4,1,0,23844,0.5935772964899179
8,0.4,1,1,15678,0.39029126213592236
8,0.4,1,2,603,0.015011202389843166
8,0.4,1,3,7,0.00017425939756036843
8,0.4,1,4,38,0.0009459795867562858
8,0.4,2,0,42,0.028
8,0.4,2,2,1457,0.9713333333333334
8,0.4,2,4,1,0.0006666666666666666
8,0.4,3,0,1,0.0009505703422053232
8,0.4,3,3,1051,0.9990494296577946
8,0.4,4,0,105,0.10616784630940344
8,0.4,4,1,31,0.03134479271991911
8,0.4,4,2,4,0.004044489383215369
8,0.4,4,4,849,0.8584428715874621
8,0.6,0,0,37313,0.8643270789900394
8,0.6,0,1,828,0.019179986101459347
8,0.6,0,2,5026,0.11642344220523512
8,0.6,0,5,3,6.949270326615705e-05
8,0.6,1,0,1712,0.04392221253014521
8,0.6,1,1,36883,0.9462517317461132
8,0.6,1,2,377,0.009672122735902304
8,0.6,1,5,6,0.00015393298783929397
8,0.6,2,0,3063,0.09366399608586631
8,0.6,2,1,748,0.022873218763378386
8,0.6,2,2,28886,0.8833098893034065
8,0.6,2,5,5,0.000152895847348786
8,0.6,3,0,2377,0.7131713171317132
8,0.6,3,1,689,0.20672067206720673
8,0.6,3,2,267,0.08010801080108011
8,0.6,4,0,998,0.9215143120960295
8,0.6,4,1,50,0.046168051708217916
8,0.6,4,2,35,0.032317636195752536
8,0.6,5,1,1,0.0009487666034155598
8,0.6,5,2,1,0.0009487666034155598
