resolution,cluster,rank,gene_id,gene,n_cells,cluster_cpm,rest_cpm,log2_fold_change,cluster_detection_fraction,rest_detection_fraction,detection_difference,marker_score,technical_nuisance,eligible_samples,samples_with_at_least_5pct_detection,sample_support_fraction
0.6,4,75,ENSG00000079950,STX7,1366,181.10673095444014,146.52504571179335,0.30382434223570254,0.27013177159590046,0.24932902117609168,0.02080275041980878,0.0063203819629918875,False,108,97,0.8981481481481481
0.6,4,76,ENSG00000114933,INO80D,1366,36.835267312767485,26.221781790286443,0.47497013712836705,0.06661786237188873,0.05340991438310207,0.013207947988786661,0.0062733808674183406,False,108,42,0.3888888888888889
0.6,4,77,ENSG00000104921,FCER2,1366,202.5939702202212,164.75801199352355,0.2966162288081448,0.28184480234260617,0.26105102122977,0.020793781112836196,0.006167772936351501,False,108,95,0.8796296296296297
0.6,4,78,ENSG00000066654,THUMPD1,1366,69.4498269126137,54.4992564427902,0.34412771906658884,0.12445095168374817,0.10661853511903165,0.017832416564716527,0.0061366288378611545,False,108,74,0.6851851851851852
0.6,4,79,ENSG00000138698,RAP1GDS1,1366,29.16125328927426,20.419674470522846,0.49375982346855507,0.05417276720351391,0.04191604712955259,0.012256720073961322,0.006051875940022638,False,108,39,0.3611111111111111
0.6,4,80,ENSG00000197766,CFD,1366,28.7775525880996,19.505686597033208,0.5382011333437462,0.05124450951683748,0.04021176091682546,0.011032748600012021,0.005937837800423099,False,108,38,0.35185185185185186
0.6,4,81,ENSG00000163162,RNF149,1366,30.696056093972903,21.676797723138293,0.4830864123371228,0.05636896046852123,0.044338280683861614,0.012030679784659618,0.0058118579351479635,False,108,43,0.39814814814814814
0.6,4,82,ENSG00000167483,NIBAN3,1366,123.93532647941562,100.31406838116006,0.30234694898774994,0.20131771595900438,0.18217746047934727,0.019140255479657114,0.005786997847120391,False,108,88,0.8148148148148148
0.6,4,83,ENSG00000148429,USP6NL,1366,38.753770818640795,28.2088475766786,0.4446862744699601,0.07027818448023426,0.057335140502965724,0.012943043977268538,0.005755594006552401,False,108,53,0.49074074074074076
0.6,4,84,ENSG00000135976,ANKRD36,1366,60.62471078559649,45.580855998056805,0.4037718190817135,0.10248901903367497,0.08824713492042191,0.014241884113253056,0.0057504714555591425,False,108,63,0.5833333333333334
0.6,4,85,ENSG00000184588,PDE4B,1366,128.53973489351154,107.15805948845109,0.26025352374817157,0.212298682284041,0.19075256984889558,0.021546112435145426,0.0056074516843208945,False,108,87,0.8055555555555556
0.6,4,86,ENSG00000069275,NUCKS1,1366,172.6653155285976,142.35439114914607,0.27672355041795826,0.26500732064421667,0.2457661236211385,0.019241197023078166,0.005324492354517639,False,108,93,0.8611111111111112
0.6,4,87,ENSG00000011260,UTP18,1366,35.30046450806884,25.154942702458946,0.4729043998435888,0.06222547584187409,0.051168845111248286,0.0110566307306258,0.005228729319958775,False,108,46,0.42592592592592593
0.6,4,88,ENSG00000080345,RIF1,1366,34.91676380689418,25.201733890521552,0.4549950806302978,0.06222547584187409,0.05074612845218605,0.01147934738968804,0.005223046591154308,False,108,43,0.39814814814814814
0.6,4,89,ENSG00000170581,STAT2,1366,31.46345749632223,22.241411392427114,0.4821189785858105,0.05636896046852123,0.04561314044928742,0.010755820019233808,0.0051855849615258165,False,108,42,0.3888888888888889
0.6,4,90,ENSG00000115652,UXS1,1366,26.859049082226292,19.32788008239529,0.45468624519169404,0.05124450951683748,0.03992324002254489,0.011321269494292595,0.0051476255171631685,False,108,45,0.4166666666666667
0.6,4,91,ENSG00000156030,MIDEAS,1366,33.38196100219554,24.19416364090669,0.448562267792251,0.06076134699853587,0.04949810783971658,0.011263239158819292,0.0050522640997664675,False,108,38,0.35185185185185186
0.6,4,92,ENSG00000166946,CCNDBP1,1366,90.55336547722007,71.33472590771714,0.33992450848727146,0.15226939970717424,0.13755065890120508,0.01471874080596916,0.005003260734020612,False,108,78,0.7222222222222222
0.6,4,93,ENSG00000138081,FBXO11,1366,32.61455959984622,23.199071041441858,0.47413458215681487,0.057833089311859445,0.04757910840333879,0.010253980908520657,0.004861766953505399,False,108,37,0.3425925925925926
0.6,4,94,ENSG00000078596,ITM2A,1366,30.312355392798246,22.35371024377738,0.42308026408121,0.055636896046852125,0.044311441530905285,0.01132545451594684,0.004791576287446521,False,108,41,0.37962962962962965
0.6,4,95,ENSG00000146083,RNF44,1366,29.16125328927426,20.993646377424195,0.45560956633240757,0.05417276720351391,0.04369414101290963,0.01047862619060428,0.004774162334460624,False,108,42,0.3888888888888889
0.6,4,96,ENSG00000120802,TMPO,1366,60.24101008442183,48.41016316957593,0.30969025818671925,0.10834553440702782,0.09348747953514587,0.014858054871881951,0.004601394849425563,False,108,66,0.6111111111111112
0.6,4,97,ENSG00000048471,SNX29,1366,69.4498269126137,54.892302422516124,0.3339465555225303,0.12079062957540264,0.10721570627231004,0.013574923303092595,0.004533298878550302,False,108,73,0.6759259259259259
0.6,4,98,ENSG00000102910,LONP2,1366,61.77581288912047,45.29698945714364,0.4392904224306637,0.10029282576866765,0.08997826028610537,0.01031456548256228,0.004531089828023526,False,108,53,0.49074074074074076
0.6,4,99,ENSG00000080546,SESN1,1366,32.99826030102088,25.01144972573361,0.3863141163205031,0.05929721815519766,0.047981695697683784,0.011315522457513875,0.004371346058879281,False,108,37,0.3425925925925926
0.6,4,100,ENSG00000054282,SDCCAG8,1366,48.34628834800733,36.731082629148574,0.38718807796295746,0.0849194729136164,0.07366676507689417,0.011252707836722234,0.004356914319179191,False,108,53,0.49074074074074076
0.6,5,1,ENSG00000048462,TNFRSF17,1307,953.6822757833257,8.639905613181002,6.629857844170087,0.8500382555470544,0.01697575371407492,0.8330625018329795,5.523085962461336,False,92,92,1.0
0.6,5,2,ENSG00000170476,MZB1,1307,3924.8532816373618,77.91814767750242,5.636505352352304,0.9342004590665647,0.13671819980549313,0.7974822592610715,4.495013022731038,False,92,92,1.0
0.6,5,3,ENSG00000134285,FKBP11,1307,929.9119890780701,22.3645403671336,5.316252216413742,0.8347360367253251,0.04464938462054395,0.7900866521047812,4.200299915410956,False,92,92,1.0
0.6,5,4,ENSG00000132465,JCHAIN,1307,28716.458489098568,336.67648391444186,6.4101425529793525,0.9296097934200459,0.3032697273550421,0.6263400660650038,4.01492911011918,False,92,92,1.0
