figure,stage,action,minimum_font_pt,maximum_font_pt,font_size_levels,font_sizes_json,line_widths_json,arial_only,has_sub_1pt_rule,sha256
Supplementary_Figure_S2_representation_diagnostics,after,SOURCE_REDRAW_TYPOGRAPHY_ONLY,5.5,8.0,6,"{""5.5"": 7, ""6.0"": 5, ""6.3"": 45, ""7.0"": 4, ""7.5"": 4, ""8.0"": 4}","{""0.6"": 54, ""0.7"": 5, ""0.8"": 4, ""1.0"": 76}",True,True,FF640D1A27AB108D1E1D7B2363EC45DE3BCA7D16CBEDE366353E79B744A8FB86
Supplementary_Figure_S3_fine_state_failure_transition_structure,before,KEEP_EXACT,6.0,8.0,3,"{""6.0"": 40, ""7.0"": 2, ""8.0"": 2}","{""0.5"": 46, ""0.6"": 4, ""0.8"": 12, ""1.0"": 36}",True,True,ECB80FF10A95FFEE71F86A5D940EADA465D523143AA5EE9216BB41CA1C885934
Supplementary_Figure_S3_fine_state_failure_transition_structure,after,KEEP_EXACT,6.0,8.0,3,"{""6.0"": 40, ""7.0"": 2, ""8.0"": 2}","{""0.5"": 46, ""0.6"": 4, ""0.8"": 12, ""1.0"": 36}",True,True,ECB80FF10A95FFEE71F86A5D940EADA465D523143AA5EE9216BB41CA1C885934
Supplementary_Figure_S4_composition_diagnostics,before,SOURCE_REDRAW_TYPOGRAPHY_ONLY,8.0,8.0,1,"{""8.0"": 51}","{""1.0"": 76}",True,False,FD7A792FA8631B47C152915A3E33CF1CD3A5AC237B5C660D3FC9B71DEBFFBA88
Supplementary_Figure_S4_composition_diagnostics,after,SOURCE_REDRAW_TYPOGRAPHY_ONLY,6.0,8.0,5,"{""6.0"": 2, ""6.3"": 37, ""7.0"": 4, ""7.5"": 4, ""8.0"": 4}","{""0.6"": 40, ""0.7"": 4, ""0.8"": 16, ""1.0"": 91}",True,True,92E4F1667D9B7915A7F98393A4C0168B80D9EA1054E8024B4DC14A0B1638C1F2
Supplementary_Figure_S5_pseudobulk_ranked_list_diagnostics,before,KEEP_EXACT,6.0,8.0,3,"{""6.0"": 45, ""7.0"": 3, ""8.0"": 3}","{""0.5"": 33, ""0.6"": 3, ""0.8"": 12, ""1.0"": 50}",True,True,AA2A6F9D0BCD49B4B26D311C479AA74E39BCCC5D7830447DB3026ACF79C5F0CF
Supplementary_Figure_S5_pseudobulk_ranked_list_diagnostics,after,KEEP_EXACT,6.0,8.0,3,"{""6.0"": 45, ""7.0"": 3, ""8.0"": 3}","{""0.5"": 33, ""0.6"": 3, ""0.8"": 12, ""1.0"": 50}",True,True,AA2A6F9D0BCD49B4B26D311C479AA74E39BCCC5D7830447DB3026ACF79C5F0CF
Supplementary_Figure_S6_replication_robustness_diagnostics,before,KEEP_EXACT,6.0,8.0,5,"{""6.0"": 2, ""6.3"": 51, ""7.0"": 4, ""7.5"": 4, ""8.0"": 4}","{""0.6"": 54, ""0.7"": 4, ""0.8"": 12, ""1.0"": 97, ""1.2"": 4}",True,True,F76A84E04A56669FB48A06CBAEC415646EB12C56547069485E8D5DB3AA2A5027
Supplementary_Figure_S6_replication_robustness_diagnostics,after,KEEP_EXACT,6.0,8.0,5,"{""6.0"": 2, ""6.3"": 51, ""7.0"": 4, ""7.5"": 4, ""8.0"": 4}","{""0.6"": 54, ""0.7"": 4, ""0.8"": 12, ""1.0"": 97, ""1.2"": 4}",True,True,F76A84E04A56669FB48A06CBAEC415646EB12C56547069485E8D5DB3AA2A5027
Supplementary_Figure_S7_regulator_correlation_sensitivity,before,SOURCE_REDRAW_TYPOGRAPHY_ONLY,8.0,8.0,1,"{""8.0"": 107}","{""1.0"": 3}",True,False,C2452E4EC308200F7FCF876660DB7B3BB02D4A5CA39D8D6DA6786D985B1BA7DD
Supplementary_Figure_S7_regulator_correlation_sensitivity,after,SOURCE_REDRAW_TYPOGRAPHY_ONLY,5.5,8.0,6,"{""5.5"": 18, ""6.0"": 1, ""6.3"": 68, ""7.0"": 12, ""7.5"": 4, ""8.0"": 4}","{""0.6"": 58, ""0.7"": 5, ""1.0"": 62}",True,True,3DCE41FF9A20F17D5D4071E8C6FAC7E32BC0F63272F19646EFE1046612C76417
Supplementary_Figure_S8_overlap_depletion,before,SOURCE_REDRAW_TYPOGRAPHY_ONLY,8.0,8.0,1,"{""8.0"": 131}","{""1.0"": 5}",True,False,C8EE5A05756CBE741A5CCFB71280B02FFE92A5FD994F81244A4B50F7345FA463
Supplementary_Figure_S8_overlap_depletion,after,SOURCE_REDRAW_TYPOGRAPHY_ONLY,5.5,8.0,4,"{""5.5"": 48, ""6.2"": 71, ""7.0"": 4, ""8.0"": 8}","{""0.55"": 4, ""0.65"": 3, ""0.7"": 37, ""0.8"": 12, ""0.85"": 12, ""1.0"": 50}",True,True,2566E12D7F819E105506653173D43DBB0921F4D5C63EDE0C9D98099A76D3B75D
Supplementary_Figure_S9_identity_boundary_and_propagation,before,SOURCE_REDRAW_TYPOGRAPHY_ONLY,8.0,8.0,1,"{""8.0"": 89}","{""1.0"": 34, ""1.1"": 5, ""1.2"": 5}",True,False,5BE1339E732EEDF7D18A9AC7399D50A3EB48030D5A9BC7B2BE8C081D1406FE0A
Supplementary_Figure_S9_identity_boundary_and_propagation,after,SOURCE_REDRAW_TYPOGRAPHY_ONLY,5.5,8.0,5,"{""5.5"": 11, ""5.8"": 59, ""6.5"": 9, ""7.44"": 5, ""8.0"": 5}","{""0.55"": 1, ""0.7"": 56, ""0.75"": 7, ""0.8"": 15, ""0.9"": 1, ""1.0"": 83, ""1.1"": 5, ""1.2"": 5}",True,True,A6CF24AEF64220251A2B97EE35446875CEFD5C7AD59F985231E78D7FCD2DB1EC
