replicate,branch,resolution,reference_state,reference_cells,mapped_cells,jaccard,recall
15,harmony,0.4,B_CONV,119274,119263,0.9994384000268227,0.9996730217817797
15,harmony,0.4,B_ASC,1046,1057,0.9382488479262673,0.9732313575525813
15,harmony,0.6,B_CONV,119274,119255,0.9994216213044536,0.9996311014973925
15,harmony,0.6,B_ASC,1046,1065,0.936697247706422,0.9760994263862333
15,harmony,0.8,B_CONV,119274,119249,0.9994383670732219,0.9996143333836377
15,harmony,0.8,B_ASC,1046,1071,0.9386446886446886,0.9799235181644359
15,unintegrated,0.4,B_CONV,119274,119386,0.99901163423766,0.9999748478293676
15,unintegrated,0.4,B_ASC,1046,934,0.8875119161105816,0.890057361376673
15,unintegrated,0.6,B_CONV,119274,119387,0.9990200102186969,0.9999832318862452
15,unintegrated,0.6,B_ASC,1046,933,0.8883587786259542,0.890057361376673
15,unintegrated,0.8,B_CONV,119274,119387,0.9990200102186969,0.9999832318862452
15,unintegrated,0.8,B_ASC,1046,933,0.8883587786259542,0.890057361376673
