replicate,branch,resolution,n_cells,reference_states,observed_clusters,mapped_adjusted_rand_index,mapped_adjusted_mutual_information,majority_mapping_agreement
18,harmony,0.4,120320,2,5,0.9647771826007001,0.9200775855366458,0.9993932845744681
18,harmony,0.6,120320,2,6,0.9621267349399075,0.9158153609660126,0.9993434175531914
18,harmony,0.8,120320,2,8,0.9612038459750426,0.9141663620324472,0.9993267952127659
18,unintegrated,0.4,120320,2,8,0.9399343301183963,0.8842768868235482,0.9990275930851064
18,unintegrated,0.6,120320,2,8,0.9404762815962896,0.8851135024162257,0.9990359042553192
18,unintegrated,0.8,120320,2,11,0.9404762815962896,0.8851135024162257,0.9990359042553192
