representation,field,n_evaluable_cells,mean_same_group_fraction,median_same_group_fraction,mean_local_entropy,median_local_entropy,panel,source_table,sample_uuid,cohort_a,cohort_b,cells_a,cells_b,euclidean_centroid_distance,cosine_centroid_distance,resolution,comparison,n_common_cells,primary_clusters,comparison_clusters,adjusted_rand_index,normalized_mutual_information,resolution_numeric,cluster,module,n_cells,n_genes,mean_module_log_expression,fraction_any_gene_detected
unintegrated_pca,,,,,,,b,bridge_centroid_distance,5f31d290-7101-4ef4-9510-f3692aba34de,1.0,3.0,339.0,338.0,2.881532430648804,0.2228603363037109,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,5f31d290-7101-4ef4-9510-f3692aba34de,2.0,3.0,362.0,338.0,4.3797125816345215,0.6664569973945618,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,670c5ac9-5e1c-4834-8087-2dd39d87d04b,2.0,4.0,181.0,125.0,4.728643417358398,0.3089696764945984,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,6779676d-7bac-4431-bbb0-0b7c773b55da,2.0,4.0,444.0,337.0,2.969174385070801,0.1842313408851623,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,69b3abaf-0498-44c8-867f-086ccc8dce13,2.0,4.0,200.0,254.0,6.649892330169678,0.7941119074821472,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,77712740-d29f-4bb0-9b90-2aa3db72f3ba,1.0,2.0,454.0,257.0,2.7053091526031494,0.640523761510849,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,7b7167c1-bc81-4fa8-b322-18bab1ea6269,2.0,4.0,920.0,558.0,2.4825375080108643,0.293051540851593,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,7eff9450-2afd-4265-a1f4-4c53580b47bc,2.0,4.0,421.0,340.0,3.402287244796753,0.5182033777236938,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,886dc81a-06f7-47dc-bdf6-da1524e86d7d,1.0,2.0,379.0,473.0,4.1215128898620605,0.3931856155395508,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,8a1f4cc3-6e34-4cd2-aba9-0f4d266e7dd9,2.0,4.0,75.0,40.0,8.93202018737793,0.7959651201963425,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,9245fdfa-904c-4421-ba87-60da990f40ed,1.0,2.0,549.0,558.0,2.153874635696411,0.2206286787986755,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,9245fdfa-904c-4421-ba87-60da990f40ed,1.0,3.0,549.0,564.0,2.824291229248047,0.3653926253318786,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,9245fdfa-904c-4421-ba87-60da990f40ed,2.0,3.0,558.0,564.0,3.608541250228882,0.6259992122650146,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,9258d552-bade-4414-ad62-96fea54df354,2.0,4.0,419.0,536.0,6.931353569030762,1.1075875163078308,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,92d39096-b1d1-4746-9812-474db1f5f049,2.0,4.0,417.0,361.0,4.667031288146973,0.2787806987762451,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,98e974a9-c08e-4066-8930-d627b18f1a89,1.0,2.0,453.0,465.0,3.04032564163208,0.5021439492702484,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,9e51b938-f3a9-4d97-8802-b820ed2a6b96,2.0,4.0,395.0,613.0,5.549529075622559,0.6822836697101593,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,a51ffc5a-e4cb-4b47-9154-4514e1dc9d65,1.0,2.0,411.0,400.0,3.402761459350586,0.7927686125040054,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,a51ffc5a-e4cb-4b47-9154-4514e1dc9d65,1.0,3.0,411.0,432.0,2.7638227939605717,0.3907277584075928,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,a51ffc5a-e4cb-4b47-9154-4514e1dc9d65,2.0,3.0,400.0,432.0,4.636488437652588,1.2805384397506714,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,b4cbfe6a-acdc-48e8-a9f1-6f0ae959301f,2.0,4.0,37.0,42.0,4.282124996185303,0.1946918368339538,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,b7c8655d-8d5e-4865-bc97-3c606cdaf5e9,1.0,2.0,429.0,589.0,2.6290199756622314,0.4970346093177795,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,bffca8a1-fc84-4f20-acae-3cf0d6313002,1.0,2.0,483.0,399.0,3.250169515609741,0.7309140264987946,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,bffca8a1-fc84-4f20-acae-3cf0d6313002,1.0,3.0,483.0,496.0,2.486472845077514,0.296126127243042,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,bffca8a1-fc84-4f20-acae-3cf0d6313002,2.0,3.0,399.0,496.0,4.2001633644104,0.9642540737986564,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,c21e0e54-2ea8-4fc7-9438-5d2d8d63899c,2.0,4.0,105.0,55.0,5.418939113616943,0.1915011405944824,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,ccccc606-2c86-4d7a-bb4a-8354017807a6,2.0,4.0,672.0,425.0,6.217485904693604,0.9273238927125932,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,cf0f9104-fd3e-4cdd-ad08-69035510a32d,1.0,2.0,339.0,161.0,2.579122543334961,0.4210641980171203,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,d0660ae1-7bd5-4f68-9131-434571c29e96,2.0,3.0,738.0,579.0,5.315910816192627,1.181857243180275,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,d0bbdc84-7f92-4114-9759-59d158034879,2.0,4.0,204.0,212.0,3.896795511245728,0.4917371869087219,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,d65c2394-3eed-48b8-8a26-5f214003f312,1.0,2.0,355.0,210.0,5.744635581970215,1.047522719949484,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,d65c2394-3eed-48b8-8a26-5f214003f312,1.0,3.0,355.0,229.0,2.2361748218536377,0.1642543077468872,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,d65c2394-3eed-48b8-8a26-5f214003f312,2.0,3.0,210.0,229.0,5.8867506980896,1.1393765956163406,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,e0286325-9289-4765-af44-1bded6b1d3df,1.0,2.0,464.0,573.0,4.053121566772461,0.5946149528026581,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,e869b441-83d5-44d3-abc7-1a970170e1e4,2.0,4.0,438.0,435.0,2.563939332962036,0.5621426105499268,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,e9cf8f89-d60a-4584-951b-ae7df22cf6d7,2.0,3.0,93.0,109.0,5.951365470886231,0.8156659752130508,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,f0a33a73-192b-4398-b8bc-05eb0c59ae54,1.0,2.0,426.0,433.0,3.633331537246704,0.8456393629312515,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,f0a33a73-192b-4398-b8bc-05eb0c59ae54,1.0,3.0,426.0,395.0,1.777982473373413,0.2339363694190979,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,f0a33a73-192b-4398-b8bc-05eb0c59ae54,2.0,3.0,433.0,395.0,3.825343608856201,0.9504349827766418,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,f3091b7a-a59b-4bee-a4c4-c930424b63f3,1.0,2.0,573.0,934.0,2.9466772079467773,0.7160371541976929,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,f6f39d84-6fb4-4519-9efa-f9ca4651e3c9,2.0,3.0,605.0,386.0,4.938714504241943,1.0870309621095655,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,fc11ebf7-2767-4d92-96f9-a57af8f1be30,2.0,4.0,1505.0,1126.0,4.369935512542725,0.1633915305137634,,,,,,,,,,,,,,
