contrast,regulator,branch,matched_targets_after,estimate,ci_low,ci_high,attenuation_ratio_vs_baseline,q_value
gse174188_primary,STAT1,frozen_ifn12_depleted,92,0.962658859300595,0.626437718349468,1.29888000025172,0.748962742423676,3.16096020986134e-08
gse174188_primary,STAT1,m5911_depleted,77,0.418210996980237,0.0502208941397627,0.786201099820711,0.325374302832081,0.0311122125418416
gse174188_primary,STAT2,frozen_ifn12_depleted,11,1.1672481760262,0.198949511598964,2.13554684045344,0.534864810824315,0.0181555187440453
gse174188_primary,STAT2,m5911_depleted,8,0.390657714569951,-0.745046177194798,1.5263616063347,0.179009973107747,0.500111148687377
gse174188_internal_nonoverlap,STAT1,frozen_ifn12_depleted,122,0.864025489644753,0.608675922210408,1.1193750570791,0.792320418298554,7.13510304597852e-11
gse174188_internal_nonoverlap,STAT1,m5911_depleted,104,0.542175592139553,0.265356061214947,0.818995123064158,0.497180693282438,0.0001867862015867
gse174188_internal_nonoverlap,STAT2,frozen_ifn12_depleted,15,2.60060974790123,1.87779820743375,3.32342128836871,0.878034234120873,5.829144607463399e-12
gse174188_internal_nonoverlap,STAT2,m5911_depleted,12,2.49578968891926,1.68698815834744,3.30459121949109,0.842644225957207,9.25205169929726e-09
gse135779_childhood,STAT1,frozen_ifn12_depleted,153,0.952494192417521,0.721049801469641,1.1839385833654,0.836979285983551,4.9039501319469e-15
gse135779_childhood,STAT1,m5911_depleted,136,0.703584090746525,0.457859743201573,0.949308438291478,0.618256063491333,6.16154187934332e-08
gse135779_childhood,STAT2,frozen_ifn12_depleted,16,1.91206497643788,1.19887829151599,2.62525166135976,0.796633844579733,1.81518505526932e-07
gse135779_childhood,STAT2,m5911_depleted,13,1.64779576047695,0.856215255866363,2.43937626508755,0.686529949518998,9.0684355589235e-05
