replicate,branch,resolution,reference_state,reference_cells,mapped_cells,jaccard,recall
1,harmony,0.4,B_CONV,119296,119184,0.9987595755736963,0.9989102736051502
1,harmony,0.4,B_ASC,1024,1136,0.8717504332755632,0.982421875
1,harmony,0.6,B_CONV,119296,119177,0.9987009068508306,0.9988515960300429
1,harmony,0.6,B_ASC,1024,1143,0.8664944013781223,0.982421875
1,harmony,0.8,B_CONV,119296,119169,0.9986506080645026,0.9987929184549357
1,harmony,0.8,B_ASC,1024,1151,0.8621575342465754,0.9833984375
1,unintegrated,0.4,B_CONV,119296,119392,0.9990284919850588,0.9999161748927039
1,unintegrated,0.4,B_ASC,1024,928,0.8878143133462283,0.896484375
1,unintegrated,0.6,B_CONV,119296,119392,0.9990284919850588,0.9999161748927039
1,unintegrated,0.6,B_ASC,1024,928,0.8878143133462283,0.896484375
1,unintegrated,0.8,B_CONV,119296,119401,0.9990703829017453,0.9999748524678111
1,unintegrated,0.8,B_ASC,1024,919,0.8919182083739046,0.89453125
