branch,contrast,regulator,matched_targets_before,removed_targets,matched_targets_after,target_retention_fraction,baseline_ulm_slope,method,estimate,standard_error,ci_low,ci_high,direction,p_value,inter_gene_correlation,attenuation_ratio_vs_baseline,q_value,multiplicity_family,expected_direction,ci_excludes_zero
frozen_ifn12_depleted,gse135779_childhood,STAT1,161,8,153,0.950310559006211,1.13801405646285,CAMERA,,,,,Up,0.0098029707155515,0.0179022380315512,,0.0280724749022086,frozen_ifn12_depleted_camera_core_6,True,
frozen_ifn12_depleted,gse135779_childhood,STAT1,161,8,153,0.950310559006211,1.13801405646285,FRY,,,,,Up,1.11424162619007e-05,,,1.84269254280309e-05,frozen_ifn12_depleted_fry_core_6,True,
m5911_depleted,gse135779_childhood,STAT1,161,25,136,0.84472049689441,1.13801405646285,ULM,0.703584090746525,0.125353944725063,0.457859743201573,0.949308438291478,Up,2.05384729311444e-08,,0.618256063491333,6.16154187934332e-08,m5911_depleted_ulm_core_6,True,True
m5911_depleted,gse135779_childhood,STAT1,161,25,136,0.84472049689441,1.13801405646285,CAMERA,,,,,Up,0.0086608760990412,0.0054624186702867,,0.0377005564641526,m5911_depleted_camera_core_6,True,
m5911_depleted,gse135779_childhood,STAT1,161,25,136,0.84472049689441,1.13801405646285,FRY,,,,,Up,1.20113532648777e-05,,,3.6034059794633e-05,m5911_depleted_fry_core_6,True,
frozen_ifn12_depleted,gse135779_childhood,STAT2,20,4,16,0.8,2.40018044607004,ULM,1.91206497643788,0.36382542134533,1.19887829151599,2.62525166135976,Up,1.51265421272444e-07,,0.796633844579733,1.81518505526932e-07,frozen_ifn12_depleted_ulm_core_6,True,True
frozen_ifn12_depleted,gse135779_childhood,STAT2,20,4,16,0.8,2.40018044607004,CAMERA,,,,,Up,0.0416027245442668,0.0717038061495645,,0.0499232694531202,frozen_ifn12_depleted_camera_core_6,True,
frozen_ifn12_depleted,gse135779_childhood,STAT2,20,4,16,0.8,2.40018044607004,FRY,,,,,Up,1.28254472105201e-05,,,1.84269254280309e-05,frozen_ifn12_depleted_fry_core_6,True,
m5911_depleted,gse135779_childhood,STAT2,20,7,13,0.65,2.40018044607004,ULM,1.64779576047695,0.403817284741149,0.856215255866363,2.43937626508755,Up,4.53421777946175e-05,,0.686529949518998,9.0684355589235e-05,m5911_depleted_ulm_core_6,True,True
m5911_depleted,gse135779_childhood,STAT2,20,7,13,0.65,2.40018044607004,CAMERA,,,,,Up,0.0402825380631349,0.0379378996421693,,0.0805650761262698,m5911_depleted_camera_core_6,True,
m5911_depleted,gse135779_childhood,STAT2,20,7,13,0.65,2.40018044607004,FRY,,,,,Up,2.03300970445155e-05,,,4.0660194089031e-05,m5911_depleted_fry_core_6,True,
