omitted_sample_uuid,omitted_state,estimate_log_odds,odds_ratio,ci_low,ci_high,p_value,converged,same_direction_as_full
00d8685c-548c-4e5f-b151-47d678b31cd6,managed,-0.059994279028486745,0.9417699214077293,0.6302175736113782,1.4073402932671055,0.769727870347726,True,True
0e59aacb-7550-45ed-8510-b29b63163539,managed,-0.05016162070707474,0.9510756985515189,0.6355020335944566,1.423354980091994,0.8073436680301476,True,True
0eebb9c2-8cf2-4e46-abcb-0525a9507033,managed,-0.05147952483954159,0.949823097543432,0.6359181544033615,1.4186792913208124,0.8014341363171225,True,True
261c08e0-fa34-4086-950f-1d8425f2476b,managed,-0.11028984710178512,0.8955745179952112,0.6037689012007262,1.3284117742521946,0.5835073285581366,True,True
2688f505-eb1a-4f9f-af54-e30b3da7dff3,managed,-0.0880626580609416,0.9157034987201199,0.6130543149221545,1.3677628183315909,0.6670687324984863,True,True
3178b123-e965-4449-8944-c88b17d0d082,managed,-0.0868844033799868,0.9167830665318718,0.6134174004877277,1.3701782675406806,0.6717118837974647,True,True
342b5092-67e5-4a0e-a437-8b735f2a863c,managed,-0.036456101829631715,0.9642004196015955,0.6461923412502009,1.4387085544239322,0.8582951845099028,True,True
3ecf5ad3-4ae3-4152-a1d2-4c9c548c5551,managed,-0.0658665589753412,0.9362557908883458,0.6262031556075438,1.3998251176513266,0.7482333720963863,True,True
3f068829-713e-4b6a-a79a-754b7d9eef46,managed,-0.045922377499639164,0.9551160978130283,0.639476584635574,1.426552249479876,0.8224801690873884,True,True
3ff8915f-d4b6-418d-89ec-61fffb366646,managed,-0.055343160217243184,0.946160407626662,0.6325171661412214,1.4153284130163457,0.7876525873049993,True,True
46e6ff98-de92-4b09-98ae-ff683d6ed775,managed,-0.07699462665365855,0.9258948287467194,0.6199613182054015,1.3827979403319612,0.7067417007716372,True,True
486df2f6-0fc3-4c16-a895-ed987f19d081,managed,-0.10590456474424556,0.8995104889933049,0.6069093482210581,1.3331795303213294,0.5978166903496525,True,True
4a555a89-3c4e-4e35-91ed-eed175492e5d,managed,-0.04531104732568945,0.9557001676148033,0.6404334730259454,1.426163448427313,0.8244241915622247,True,True
5178b16a-a577-456e-b53c-6ab4be7bed85,managed,-0.058825767886323925,0.9428710332596921,0.6315829897051882,1.407583484436735,0.7735437804825036,True,True
553053e8-aa00-41be-a991-04eacc015380,managed,-0.08381904691037126,0.9195976450754624,0.6157657788836104,1.3733465837635956,0.6820861598507566,True,True
577bce84-8d37-4851-9fb4-53f9467699ba,managed,-0.024273540498610705,0.9760186925997438,0.6556737382885298,1.4528757714022023,0.9048058824105104,True,True
58d745d1-10b8-4195-9cc0-7d5aadf9a791,managed,-0.03770518062993858,0.9629968091568586,0.6437306089894308,1.4406070512976292,0.85441759826026,True,True
5a4d2669-4967-4de5-853b-13c224029d30,managed,-0.0485669689574247,0.9525935429732494,0.6381709109733715,1.4219301483520481,0.8121663057235249,True,True
5e0ed28c-a75a-4ecd-a0c7-49e71264690b,managed,-0.05673220633989325,0.9448470595427448,0.6330025027215734,1.4103198045636194,0.7813140535306472,True,True
6307a65a-3edb-45f0-bc18-27a090661e19,managed,-0.03645241315746557,0.9642039762274055,0.647879682792403,1.4349721599012315,0.8573912645047903,True,True
64c3201b-c402-4c5a-a7a5-ee67e5dc4351,managed,-0.025216467085630346,0.9750988123829764,0.6560352114210783,1.44933942166163,0.9007558051909386,True,True
670c5ac9-5e1c-4834-8087-2dd39d87d04b,managed,-0.0548739065970719,0.9466045010112687,0.6344211301201073,1.412405796076106,0.7881074550927607,True,True
6779676d-7bac-4431-bbb0-0b7c773b55da,managed,-0.0404115217395491,0.9603941347547382,0.64282138923465,1.4348571928657667,0.8436021342217442,True,True
69b3abaf-0498-44c8-867f-086ccc8dce13,managed,-0.04339673740637865,0.9575314261645254,0.6407535334952577,1.4309190416652704,0.8323122988857778,True,True
72cad246-b111-4616-88b5-8d1373736f54,managed,-0.05603973914161234,0.9455015617233626,0.6327780600888008,1.4127752834791116,0.7844661388011291,True,True
7b7167c1-bc81-4fa8-b322-18bab1ea6269,managed,-0.05874412683517794,0.9429480133842689,0.6313526307601603,1.4083269992472907,0.7740943512558169,True,True
7eff9450-2afd-4265-a1f4-4c53580b47bc,managed,-0.05255120234598352,0.9488057387323418,0.6358540456540174,1.4157845436455108,0.7969088438086924,True,True
9258d552-bade-4414-ad62-96fea54df354,managed,-0.011342708014993635,0.9887213779658494,0.6660650533992376,1.4676794079762883,0.9551193806376648,True,True
92d39096-b1d1-4746-9812-474db1f5f049,managed,-0.06145998786796724,0.9403905720183998,0.6286999490870199,1.4066080794587281,0.7648038663397092,True,True
99893daf-e8a9-4266-b669-73ef48ebc383,managed,-0.04136390688723678,0.9594799050633647,0.6422125824420388,1.4334843529844572,0.8399636263664991,True,True
9e51b938-f3a9-4d97-8802-b820ed2a6b96,managed,-0.016623505525270227,0.9835139024881551,0.6612246721251083,1.4628909615224708,0.9345967483240127,True,True
a42d987e-b022-41a5-ba50-a831d04c3a5e,managed,-0.073777321377625,0.9288785122008695,0.621610617445908,1.388031777793085,0.718838789202904,True,True
ae1510fa-1501-4ddd-8291-9ccd1917369e,managed,-0.036071621454879535,0.9645712070159346,0.6452631215655512,1.4418887153303077,0.8604035859380956,True,True
c0d761e1-0ada-4c43-a6c3-260f3a01e78c,managed,-0.03150968810104433,0.9689815688169168,0.6512092287030701,1.4418181428061614,0.8765044783292438,True,True
c21e0e54-2ea8-4fc7-9438-5d2d8d63899c,managed,-0.10765764041176898,0.8979349604562421,0.6062399271374199,1.329980354505399,0.5911556727650542,True,True
c8f4f3f5-e4ee-400f-b888-07d3508df6b5,managed,-0.06151972555832255,0.940334396935497,0.6296435820757529,1.4043322337138706,0.7636938200317758,True,True
ccccc606-2c86-4d7a-bb4a-8354017807a6,managed,-0.049307122223181135,0.9518887386152788,0.6380630079134658,1.420066920452895,0.8090915304669357,True,True
d0bbdc84-7f92-4114-9759-59d158034879,managed,-0.058778794131972414,0.9429153244922481,0.6307329455315922,1.4096129201130956,0.7744827686859262,True,True
d1272c4d-f68a-4d3d-bae3-715e337bd80b,managed,-0.06323745422976414,0.9387205440586357,0.6286092508644796,1.4018187906491946,0.7572571393131065,True,True
e3ec6618-f5b9-42e2-846d-413e04f04308,managed,-0.0659133212203938,0.9362120104892633,0.6267995553415893,1.3983623969016423,0.7474549053381729,True,True
e570dc6e-cb7c-4143-af57-699407e46480,managed,-0.04739944517181731,0.9537063680911751,0.6380412002454436,1.4255440498008112,0.8172147345004972,True,True
e869b441-83d5-44d3-abc7-1a970170e1e4,managed,-0.06646621086583204,0.9356945316302624,0.6263394189805711,1.3978431342350732,0.7455207439411118,True,True
ea4cbf47-9a3f-443a-821c-c33a2b7eb1b0,managed,-0.06871164125376199,0.9335958517966443,0.6249524059559161,1.3946681478227387,0.7372182445766012,True,True
f08a943e-b63d-4b9f-b56b-010859a94367,managed,-0.058653164507376905,0.9430337900317243,0.6318104755227918,1.4075624947587901,0.7740873274974269,True,True
f54a5b5a-c5be-4220-b515-3e22c596b9fd,managed,-0.07157489116393304,0.9309265568107833,0.6227235696174691,1.3916676619578352,0.7271608644704277,True,True
fc11ebf7-2767-4d92-96f9-a57af8f1be30,managed,-0.011008364427486253,0.9890520058869864,0.6673111817496942,1.465918595555618,0.9562712402873188,True,True
fefcf023-ec1f-44d7-88b6-bbc3a34815d5,managed,-0.03633302736078537,0.9643190953589276,0.6472249734542406,1.4367667438895664,0.8582520715840938,True,True
02404cf5-4210-43b8-b998-797422f7b1a8,na,-0.04114836088874633,0.95968673940789,0.6421986301397613,1.4341336069105455,0.8408791667585283,True,True
037d2b66-6091-42f8-b0ff-07c9130dea62,na,-0.03695585085924124,0.9637186817615857,0.6442515558590727,1.441601016140114,0.8572585449773196,True,True
09fc2399-2a9e-47ec-a0f4-f0c83ee59b98,na,-0.06056458884268792,0.9412329739065994,0.6300406069219261,1.4061308135315849,0.7674388070439673,True,True
0a1148dc-356f-4dc4-9c32-bf0823257d93,na,-0.0635608442946792,0.9384170202418941,0.6278772165323787,1.4025457218262716,0.7565499501629863,True,True
1046eed3-a68a-4d02-b26c-4f8054029760,na,-0.06155608180898618,0.9403002105239031,0.6295906198175607,1.4043482511977463,0.7635856447390516,True,True
145e48d0-e1f3-48cd-a198-d4c62e1f8ba0,na,-0.08015973831645798,0.9229689011122126,0.6205440949392922,1.3727817239218494,0.69228801191673,True,True
1d38192e-5e0c-43e5-a813-835461e099ae,na,-0.05959987764164982,0.9421414300277555,0.6302580327986949,1.4083604301450519,0.7713820350446741,True,True
2261aca1-82ee-4276-9eaa-1d61688bd2f8,na,-0.04700657658342793,0.9540811229756362,0.6386521059040821,1.4252999102380832,0.8184529179582476,True,True
279d06b2-a656-413d-8805-b07615ea48ee,na,-0.07681792119312827,0.9260584538751367,0.6202451544109324,1.3826537037731237,0.7071879926123485,True,True
27ae3b51-85d4-49fe-bcc3-89b0cbd59e23,na,-0.06848860532186767,0.9338041004400642,0.626647992268855,1.3915150271870045,0.7364674414949419,True,True
2ed3aef8-6c08-4c7c-9d7c-8aa618321841,na,-0.06576410412426503,0.9363517197500751,0.6264464091936774,1.3995683113698854,0.7484389684528499,True,True
37214563-4102-451e-a546-a1833db3aedd,na,-0.03876299409842722,0.9619786767540432,0.6428637301590893,1.439500987713914,0.8504871453377782,True,True
37d3daeb-c0f5-414a-8b98-0517e7464535,na,-0.05351512787244689,0.9478916013121008,0.6347578622225346,1.4154980053213133,0.7936510823370719,True,True
39006dbe-f7a7-4f05-aeac-0ca1876a7a3f,na,-0.05497190684725197,0.9465117380788175,0.6336243500963405,1.4139047373807017,0.7883363163500999,True,True
43af3cab-af35-45c0-82f6-304ca64e9f0d,na,-0.049248783380293766,0.9519442723227175,0.6361644334788286,1.4244711743040037,0.8107231312121658,True,True
4452abfd-aa95-4982-b2c8-ac779e0cc76e,na,-0.07128460718121676,0.9311968291052719,0.6231045068193061,1.3916245590359226,0.7280147907413973,True,True
45eb2bf7-4993-46ea-9055-645ad7d29a5e,na,-0.07469129976119626,0.9280299251739265,0.6232107413328566,1.3819395028018873,0.7131260866518451,True,True
46e0206c-f34e-4e58-a099-c5de09a89bdb,na,-0.02690296763300295,0.9734556936519277,0.6513759446677169,1.4547911927984358,0.8955812558299452,True,True
4f96324f-0403-4ba1-b110-02c96a5cba84,na,-0.03456012035792186,0.9660302598556331,0.6457245103276771,1.4452207528612724,0.8664588637008256,True,True
503f2d5f-e904-46f9-99c6-c89dec37be2d,na,-0.06137552864929542,0.9404700000255253,0.6305052837691716,1.4028174604034271,0.763531373089301,True,True
55555033-33d9-49bc-b378-c20c8ed2fb1b,na,-0.04953694745971923,0.9516699956980528,0.6369147654690747,1.4219732840467596,0.8089548775594466,True,True
58491584-2df2-4f81-829b-6f930c4d8649,na,-0.02559980558163367,0.9747250911062354,0.6533485500970473,1.4541839927415992,0.9001870773842298,True,True
63c521a1-5a88-4a39-8d65-a0999cb2cfa6,na,-0.09571315595473026,0.9087246409396165,0.6101530371227436,1.353398938969329,0.6376707380205104,True,True
64d258d2-f11a-4c9b-8206-614aef9d5a38,na,-0.0205814283692458,0.979628923640958,0.6557036092344664,1.463577162789083,0.9199624721214448,True,True
68a0c04e-d86a-4f1b-a557-ec0331c4f71f,na,-0.061015167587980486,0.9408089698649666,0.6305442449194655,1.4037421242206873,0.7650490193381877,True,True
71ddcc80-c234-4f27-aa06-b49ae5a28784,na,-0.03290813069421229,0.9676274507679472,0.6469938854968019,1.447158782282347,0.8726887235424231,True,True
76337712-cfcd-4760-a462-1269a5ff215c,na,-0.01402947563215555,0.9860684788427406,0.6610217959382663,1.4709515645956759,0.9451847037707146,True,True
7ded846e-1cc6-405e-b17f-6e99856f39e4,na,-0.04121909881928221,0.9596188555549915,0.6413305946982786,1.4358715388744314,0.8411095131251494,True,True
869da0bb-4487-493b-86ca-e601eee46196,na,-0.03236216896509948,0.9681558825627478,0.6481050595053283,1.4462559722281367,0.8744212927184332,True,True
910e95f1-f837-41c6-bcb3-683780852c38,na,-0.0703326258000873,0.9320837332398773,0.6242744442798236,1.3916637045308333,0.7309109345010739,True,True
9e6a490c-24a3-41fa-a5e3-2879e75b45ff,na,-0.052297934930947566,0.9490460707420105,0.6345115252657763,1.4194989508087816,0.7990291609706875,True,True
b99cfca7-d0cc-427f-b4ec-373067995536,na,-0.04299554510251045,0.9579156574735829,0.6409932039726337,1.4315321927691176,0.8338509108155646,True,True
bc16e1fe-cd25-4a6b-a329-2e2c7121ad8d,na,-0.06098901005045381,0.9408335794327628,0.6298847360984091,1.4052854013753588,0.765756253425241,True,True
bca9c9c7-62f2-4427-a3aa-3dcd297ced84,na,-0.046620353366868,0.9544496824243374,0.6383782567807827,1.4270131957090517,0.820277589085915,True,True
bd6c3fde-42cb-459e-8e81-b5ef2a90190f,na,-0.058069710015947,0.9435841678766881,0.6316897480938956,1.4094752757253841,0.7766948169656159,True,True
bf5fe2a7-ee49-4304-a20a-01596de43619,na,-0.07695244630362888,0.9259338841383659,0.6207788831927896,1.381093302314055,0.7060032011961463,True,True
c1ac7564-4e90-4bc9-ad66-24cecb27127f,na,-0.057515720897369456,0.9441070480597468,0.6312358924734517,1.4120523386327826,0.7794507593111148,True,True
cd2dc30f-074c-4881-b328-a35cefdc7c68,na,-0.046577244294008335,0.9544908287521215,0.6385960200015132,1.42664957756823,0.8203100968516219,True,True
d2ec9dd4-2fbf-4dea-a274-4fd13d7395b8,na,-0.08221030876646232,0.9210782274995375,0.6204112147873152,1.3674561016188704,0.6834484715545612,True,True
