analysis_id,variant,component,n_strata,event_n,estimate,standard_error,effect_ratio,ci_low,ci_high,p_value,fit_method,fit_status
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,base50,ASC presence,90,77,-0.064589482060098,0.5805285367825834,0.9374522253524615,0.30046457639937046,2.9248595137224416,0.9114103417221981,Firth logistic (Jeffreys penalty),complete
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,base50,Positive ASC abundance,77,77,0.05537207538368959,0.22243361834776715,1.056933800572944,0.6834527077013607,1.6345082054773221,0.8034091047043437,positive-only logit fraction OLS with HC3,complete
C3A_VALIDATION_C2_EUROPEAN_FEMALE,base50,ASC presence,64,45,-1.390866527592203,0.8528103728846061,0.24885956749225968,0.04677647569856302,1.3239792739310006,0.10290694510812262,Firth logistic (Jeffreys penalty),complete
C3A_VALIDATION_C2_EUROPEAN_FEMALE,base50,Positive ASC abundance,45,45,0.4566983930781477,0.4586416472922258,1.5788526195520451,0.6425958852434461,3.8792274452893083,0.3193653006004239,positive-only logit fraction OLS with HC3,complete
C3A_SECONDARY_C3_FLARE_VS_NORMAL,base50,ASC presence,34,31,0.9338463094529352,1.5929791323086604,2.544276456172693,0.11209676697410738,57.747808970529164,0.5577234304571939,Firth logistic (Jeffreys penalty),complete
C3A_SECONDARY_C3_FLARE_VS_NORMAL,base50,Positive ASC abundance,31,31,0.9575399168251153,0.37786203606545854,2.605279379399822,1.242257546240142,5.4638272597088555,0.011273678333359486,positive-only logit fraction OLS with HC3,complete
