representation,sample_uuid,cohort_a,cohort_b,cells_a,cells_b,euclidean_centroid_distance,cosine_centroid_distance
unintegrated_pca,bffca8a1-fc84-4f20-acae-3cf0d6313002,2.0,3.0,399,496,4.2001633644104,0.9642540737986565
unintegrated_pca,c21e0e54-2ea8-4fc7-9438-5d2d8d63899c,2.0,4.0,105,55,5.418939113616943,0.19150114059448242
unintegrated_pca,ccccc606-2c86-4d7a-bb4a-8354017807a6,2.0,4.0,672,425,6.2174859046936035,0.9273238927125931
unintegrated_pca,cf0f9104-fd3e-4cdd-ad08-69035510a32d,1.0,2.0,339,161,2.579122543334961,0.42106419801712036
unintegrated_pca,d0660ae1-7bd5-4f68-9131-434571c29e96,2.0,3.0,738,579,5.315910816192627,1.181857243180275
unintegrated_pca,d0bbdc84-7f92-4114-9759-59d158034879,2.0,4.0,204,212,3.8967955112457275,0.4917371869087219
unintegrated_pca,d65c2394-3eed-48b8-8a26-5f214003f312,1.0,2.0,355,210,5.744635581970215,1.0475227199494839
unintegrated_pca,d65c2394-3eed-48b8-8a26-5f214003f312,1.0,3.0,355,229,2.2361748218536377,0.1642543077468872
unintegrated_pca,d65c2394-3eed-48b8-8a26-5f214003f312,2.0,3.0,210,229,5.8867506980896,1.1393765956163406
unintegrated_pca,e0286325-9289-4765-af44-1bded6b1d3df,1.0,2.0,464,573,4.053121566772461,0.5946149528026581
unintegrated_pca,e869b441-83d5-44d3-abc7-1a970170e1e4,2.0,4.0,438,435,2.563939332962036,0.5621426105499268
unintegrated_pca,e9cf8f89-d60a-4584-951b-ae7df22cf6d7,2.0,3.0,93,109,5.9513654708862305,0.8156659752130508
unintegrated_pca,f0a33a73-192b-4398-b8bc-05eb0c59ae54,1.0,2.0,426,433,3.633331537246704,0.8456393629312515
unintegrated_pca,f0a33a73-192b-4398-b8bc-05eb0c59ae54,1.0,3.0,426,395,1.777982473373413,0.2339363694190979
unintegrated_pca,f0a33a73-192b-4398-b8bc-05eb0c59ae54,2.0,3.0,433,395,3.825343608856201,0.9504349827766418
unintegrated_pca,f3091b7a-a59b-4bee-a4c4-c930424b63f3,1.0,2.0,573,934,2.9466772079467773,0.7160371541976929
