representation,field,n_evaluable_cells,mean_same_group_fraction,median_same_group_fraction,mean_local_entropy,median_local_entropy
unintegrated_pca,library_uuid,150402,0.08284597098827362,0.06666667014360428,0.819461464881897,0.8506077527999878
unintegrated_pca,sample_uuid,150402,0.0838552713394165,0.0,0.8606530427932739,0.8976168036460876
unintegrated_pca,Processing_Cohort,150402,0.693128228187561,0.7333333492279053,0.4062953293323517,0.4527936279773712
harmony_pca,library_uuid,150402,0.01407649740576744,0.0,0.9324663877487183,0.9317445158958435
harmony_pca,sample_uuid,150402,0.019390257075428963,0.0,0.941841721534729,0.9658722877502441
harmony_pca,Processing_Cohort,150402,0.36457934975624084,0.3333333432674408,0.656622588634491,0.6691344380378723
