resolution,cluster,module,n_cells,n_genes,mean_module_log_expression,fraction_any_gene_detected
1.0,8,erythroid,4,3,0.3534189462661743,0.25
1.2,0,B_identity,30538,7,1.7715682983398438,0.9995743008710459
1.2,0,naive,30538,4,0.6480545997619629,0.7346257122273888
1.2,0,memory,30538,5,0.2051023691892624,0.42946492894099153
1.2,0,atypical,30538,5,0.0836564153432846,0.18665269500294715
1.2,0,plasmablast,30538,6,0.12941671907901764,0.312987098041784
1.2,0,interferon,30538,6,0.08953972905874252,0.2294190844194119
1.2,0,T_NK,30538,4,0.18494664132595062,0.30922129805488247
1.2,0,myeloid,30538,5,0.49568384885787964,0.714748837513917
1.2,0,platelet,30538,4,0.0825602263212204,0.1482415351365512
1.2,0,erythroid,30538,3,0.11818480491638184,0.1366821664811055
1.2,1,B_identity,26256,7,1.7270219326019287,0.999466788543571
1.2,1,naive,26256,4,0.12955474853515625,0.2617687385740402
1.2,1,memory,26256,5,0.5693539977073669,0.8224405850091407
1.2,1,atypical,26256,5,0.06926434487104416,0.19226081657525898
1.2,1,plasmablast,26256,6,0.2512824833393097,0.566689518586228
1.2,1,interferon,26256,6,0.1602967530488968,0.39111060329067643
1.2,1,T_NK,26256,4,0.217641219496727,0.4101157830591103
1.2,1,myeloid,26256,5,0.5088895559310913,0.7912477148080439
1.2,1,platelet,26256,4,0.09971766173839569,0.19850700792199877
1.2,1,erythroid,26256,3,0.11942815780639648,0.15783059110298597
1.2,2,B_identity,26246,7,1.9757004976272583,0.9999618989560314
1.2,2,naive,26246,4,0.918022871017456,0.8958317457898346
1.2,2,memory,26246,5,0.25837990641593933,0.5605425588661129
1.2,2,atypical,26246,5,0.13220058381557465,0.3087327592776042
1.2,2,plasmablast,26246,6,0.13882385194301605,0.36371256572430083
1.2,2,interferon,26246,6,0.13216574490070343,0.34104244456298105
