var_name,gene_id,feature_name,highly_variable,highly_variable_nbatches,means,dispersions,dispersions_norm,is_mitochondrial,is_ribosomal,is_hemoglobin,is_stress,is_cell_cycle,is_immunoglobulin,is_strong_isg,hvg_primary,hvg_isg_excluded,hvg_union
ENSG00000228594,ENSG00000228594,FNDC10,False,24,0.0030814257882265366,0.9387869031732983,-0.50813645,False,False,False,False,False,False,False,False,False,False
ENSG00000272106,ENSG00000272106,ENSG00000272106,True,63,0.06161866238790356,1.7588065132411588,0.2896813,False,False,False,False,False,False,False,True,True,True
ENSG00000197530,ENSG00000197530,MIB2,True,60,0.14646428185720456,1.7521390767443956,0.25581658,False,False,False,False,False,False,False,True,True,True
ENSG00000189409,ENSG00000189409,MMP23B,False,33,0.009761663848638023,1.5056404817061078,-0.1179167,False,False,False,False,False,False,False,False,False,False
ENSG00000248333,ENSG00000248333,CDK11B,True,52,0.22430257426147984,1.735889340826521,0.14677924,False,False,False,False,False,False,False,False,False,False
ENSG00000272004,ENSG00000272004,ENSG00000272004,False,28,0.00631393662179772,1.328061086174818,-0.16661194,False,False,False,False,False,False,False,False,False,False
ENSG00000189339,ENSG00000189339,SLC35E2B,True,50,0.1271689384477878,1.720150932955608,0.12529083,False,False,False,False,False,False,False,False,False,False
ENSG00000269737,ENSG00000269737,ENSG00000269737,False,23,0.0029305007633489743,0.853373039264175,-0.14373882,False,False,False,False,False,False,False,False,False,False
ENSG00000008128,ENSG00000008128,CDK11A,False,34,0.5104414633437977,1.7501720418491538,-0.074360006,False,False,False,False,False,False,False,False,False,False
ENSG00000215790,ENSG00000215790,SLC35E2A,False,37,0.02008452110281427,1.6093227662973482,-0.04347225,False,False,False,False,False,False,False,False,False,False
ENSG00000008130,ENSG00000008130,NADK,False,31,0.1396084079948697,1.7015463315920654,0.04506782,False,False,False,False,False,False,False,False,False,False
ENSG00000078369,ENSG00000078369,GNB1,True,47,0.24869930097630907,1.7335327641282658,0.1539253,False,False,False,False,False,False,False,False,False,False
ENSG00000231050,ENSG00000231050,GNB1-DT,False,34,0.00420767515495577,1.2760294399270036,-0.06273401,False,False,False,False,False,False,False,False,False,False
ENSG00000178821,ENSG00000178821,TMEM52,False,10,0.0010081629135183286,0.42951091672692226,-0.45270827,False,False,False,False,False,False,False,False,False,False
ENSG00000142609,ENSG00000142609,CFAP74,False,21,0.002528365213573375,0.7427324797382782,-0.16928111,False,False,False,False,False,False,False,False,False,False
ENSG00000067606,ENSG00000067606,PRKCZ,False,42,0.04287452567285391,1.7222800346942968,0.11814356,False,False,False,False,False,False,False,False,False,False
ENSG00000271806,ENSG00000271806,ENSG00000271806,False,33,0.009974194109152497,1.3624340457516342,-0.028506,False,False,False,False,False,False,False,False,False,False
ENSG00000182873,ENSG00000182873,PRKCZ-AS1,False,20,0.002597691607404094,0.8990975783569172,-0.08068743,False,False,False,False,False,False,False,False,False,False
