cluster,gene,n_cells,mean_log_normalized_expression,fraction_detected
0,CD79A,95768,2.2797980308532715,0.8441024141675716
0,CD79B,95768,1.7209430932998657,0.7063528527274247
0,MS4A1,95768,1.6789323091506958,0.7013825077270069
0,CD19,95768,0.28595131635665894,0.15310959819563946
0,CD22,95768,0.5908503532409668,0.3000167070420182
0,CD37,95768,2.5929038524627686,0.9007184028067831
0,CD74,95768,4.346072673797607,0.9988722746637708
0,TCL1A,95768,1.4187414646148682,0.5974020549661683
0,IL4R,95768,0.5948090553283691,0.28951215437306826
0,FCER2,95768,0.6827132105827332,0.3382549494611979
0,CCR7,95768,0.32408788800239563,0.16711218778715228
0,CD27,95768,0.02795952558517456,0.01598655083117534
0,AIM2,95768,0.011575352400541306,0.00668281680728427
0,GPR183,95768,0.2526216208934784,0.1300747640130315
0,TNFRSF13B,95768,0.02752593718469143,0.01611185364631192
0,BANK1,95768,0.8797166347503662,0.42714685489934007
0,FCRL3,95768,0.11956305056810379,0.06320482833514326
0,FCRL5,95768,0.20071087777614594,0.10432503550246429
0,ITGAX,95768,0.013083106838166714,0.007403307994319605
0,TBX21,95768,0.009451888501644135,0.005377579149611561
0,ZEB2,95768,0.19609034061431885,0.10525436471472725
0,MZB1,95768,0.26031583547592163,0.13770779383510148
0,JCHAIN,95768,0.542655885219574,0.25371731684905185
0,XBP1,95768,0.11115620285272598,0.06068833013115028
0,SDC1,95768,6.693637260468677e-05,3.132570378414502e-05
0,TNFRSF17,95768,0.025431428104639053,0.013783309665023807
0,DERL3,95768,0.06323518604040146,0.034604460780218865
0,IFI6,95768,0.3032531440258026,0.15316180770194637
0,IFIT1,95768,0.02055182307958603,0.01123548575724668
0,IFIT3,95768,0.05347246676683426,0.028349761924651242
0,ISG15,95768,0.41482841968536377,0.2019150446913374
0,MX1,95768,0.2078246772289276,0.10865842452593769
0,OAS1,95768,0.10991670191287994,0.059163812546988555
0,CD3D,95768,0.13405999541282654,0.07281137749561441
0,CD3E,95768,0.07991620898246765,0.04500459443655501
0,NKG7,95768,0.297629714012146,0.15750563862668115
0,GNLY,95768,0.32875901460647583,0.1733668866427199
0,LYZ,95768,0.6841479539871216,0.33988388605797343
0,LST1,95768,0.37554460763931274,0.19529487929162143
0,TYROBP,95768,0.3717125952243805,0.19435510817809706
0,FCER1G,95768,0.2455403357744217,0.13034625344582743
0,S100A8,95768,0.942227303981781,0.4458900676635202
0,PPBP,95768,0.18248452246189117,0.09260922228719405
0,PF4,95768,0.13014350831508636,0.0665462367387854
0,GNG11,95768,0.07845547795295715,0.04155876702029906
0,RGS18,95768,0.05077126622200012,0.026198730264806618
0,HBA1,95768,0.046642426401376724,0.023797092974688832
0,HBA2,95768,0.1101035475730896,0.05499749394369727
0,HBB,95768,0.1965317577123642,0.09244215186701195
1,CD79A,50217,2.1722238063812256,0.8560845928669574
1,CD79B,50217,1.4670236110687256,0.6798494533723639
1,MS4A1,50217,1.9314888715744019,0.8116574068542526
1,CD19,50217,0.2944246530532837,0.1785451142043531
1,CD22,50217,0.42000171542167664,0.24788418264731066
1,CD37,50217,2.2899703979492188,0.8849592767389529
1,CD74,50217,4.2040252685546875,0.99792898819125
1,TCL1A,50217,0.11046463251113892,0.05529999800864249
