replicate,branch,resolution,reference_state,reference_cells,mapped_cells,jaccard,recall
6,harmony,0.4,B_CONV,119278,119249,0.9992540315821236,0.9995053572326833
6,harmony,0.4,B_ASC,1042,1071,0.9191643960036331,0.9712092130518234
6,harmony,0.6,B_CONV,119278,119240,0.9992288671891371,0.9994550545783799
6,harmony,0.6,B_ASC,1042,1080,0.916892502258356,0.974088291746641
6,harmony,0.8,B_CONV,119278,119226,0.9991450340729068,0.9993544492697731
6,harmony,0.8,B_ASC,1042,1094,0.9088471849865952,0.9760076775431862
6,unintegrated,0.4,B_CONV,119278,119375,0.9991037024627241,0.9999580811214138
6,unintegrated,0.4,B_ASC,1042,945,0.897803247373448,0.9021113243761996
6,unintegrated,0.6,B_CONV,119278,119374,0.9991120716373901,0.9999580811214138
6,unintegrated,0.6,B_ASC,1042,946,0.8987583572110793,0.9030710172744721
6,unintegrated,0.8,B_CONV,119278,119375,0.9991037024627241,0.9999580811214138
6,unintegrated,0.8,B_ASC,1042,945,0.897803247373448,0.9021113243761996
