member_name,sample_id,accession,role,size_bytes,sha256_compressed_member
GSM4029909_JB17020_matrix.mtx.gz,JB17020,GSM4029909,matrix,24885590,E260A9ED53859F2A36DC49583EA1D212CC856F56D5EE3559669542A9F81CBB34
GSM4029910_JB17021_barcodes.tsv.gz,JB17021,GSM4029910,barcodes,18778,2CA537B4C4CF8673AB6A3F03DDA7A5090DDBA138E3B59729CC18E4BB410255C0
GSM4029910_JB17021_matrix.mtx.gz,JB17021,GSM4029910,matrix,21955237,9D3612095DE80AD9BBB29574DFABC76D71DBD55271CE4808B2051B7DB31AD2D3
GSM4029911_JB17022_barcodes.tsv.gz,JB17022,GSM4029911,barcodes,26370,6FAFCF1E3CDC520624C9C22594B34AAAF94A84B188211435656C33146F4D4444
GSM4029911_JB17022_matrix.mtx.gz,JB17022,GSM4029911,matrix,24517974,0E3EC440266AAAA270937BBBC26A0778B7418465551D464584CAB16F5DBAB3CC
GSM4029912_JB17023_barcodes.tsv.gz,JB17023,GSM4029912,barcodes,22883,439642F696D6475CC233CB62FF69F7823645E8BE862A89CDE04CE134F515C45E
GSM4029912_JB17023_matrix.mtx.gz,JB17023,GSM4029912,matrix,23661848,86954290281D246A85BC9DC1E55AEF64288709509B856F86B50D24F50F28DD32
GSM4029913_JB17024_barcodes.tsv.gz,JB17024,GSM4029913,barcodes,25003,D937D33FEEC789860399D60A0FE6B19E594315A305E44BAE201AE876A86F58E3
GSM4029913_JB17024_matrix.mtx.gz,JB17024,GSM4029913,matrix,29918747,F5C48516859BB1980F244E547E84DDBF2749F246138F6325B9EF6739CA3D4808
GSM4029916_JB18063_barcodes.tsv.gz,JB18063,GSM4029916,barcodes,13358,2C2289F328460CBAA3033558F4FCD22CE5DA18998580E93A09A706D8CE156036
GSM4029916_JB18063_matrix.mtx.gz,JB18063,GSM4029916,matrix,14922598,1E1FE6108EE377BC8C0AEA327B145BA13363693842E85E7605EF43DD94BDF0C9
GSM4029917_JB18064_barcodes.tsv.gz,JB18064,GSM4029917,barcodes,27358,EE9FBA8DC2DD8828BA0891DFC21786600FCF82A56CF850D450A89BB972C68006
GSM4029917_JB18064_matrix.mtx.gz,JB18064,GSM4029917,matrix,24372531,A9573B74C3AAA39B3F3B6BF63ADC6B07F4B8BE8A2481241A7B283AE7BE99477D
GSM4029918_JB18065_barcodes.tsv.gz,JB18065,GSM4029918,barcodes,22523,FF199307C0E8DD69A3AC814ECFC1AC1F4CE00887D6D9F881C632F26FF84D88C0
GSM4029918_JB18065_matrix.mtx.gz,JB18065,GSM4029918,matrix,16304478,9F82173198822AAEDC6D6F62EA69094811C17DADD5BF6BE6467F1BF46771E4FF
GSM4029919_JB18066_barcodes.tsv.gz,JB18066,GSM4029919,barcodes,12888,B9FA40B463A71E98A832BBB8B52B9666B4B631949848C6067C9ECA44527E89DD
GSM4029919_JB18066_matrix.mtx.gz,JB18066,GSM4029919,matrix,9527594,D9D4FD236AEB1A94A0F6C44770EF8042C2681A09C62F836FF058947DC5370DF9
GSM4029920_JB18067_barcodes.tsv.gz,JB18067,GSM4029920,barcodes,21247,34269A098B82287B30EEAECB1A73CE144F544A0DB55306C4F9567F2AEE2EBE4F
GSM4029920_JB18067_matrix.mtx.gz,JB18067,GSM4029920,matrix,14260936,05B671B8D2DB3F2A6014EF4E28C2422B8282C1CBBF798C3FA3AD3380193F451D
GSM4029921_JB18068_barcodes.tsv.gz,JB18068,GSM4029921,barcodes,16959,157CE9A033242F0AC6A9A6531254BA4266061260ECA9BDCE9AE6EA8EB4DF1B1A
GSM4029921_JB18068_matrix.mtx.gz,JB18068,GSM4029921,matrix,13448213,8A278CD3F810AC8394658B7E8AFB82AB6848D3928311709E94A3080D733AC97B
GSM4029922_JB18069_barcodes.tsv.gz,JB18069,GSM4029922,barcodes,24620,4AE3EE3E77F51B378392C48EBBB8FF7AB50236ADCB5C85C1169215594357C3CA
GSM4029922_JB18069_matrix.mtx.gz,JB18069,GSM4029922,matrix,20917855,3C51D3226AACCF61A18C2A64A1D83558DAA7AB1A1866BC1A301F8EE57817704A
GSM4029923_JB18070_barcodes.tsv.gz,JB18070,GSM4029923,barcodes,23163,039D8104BFE43F5DF2D13A9D3C92A402F126AFA19C5FFCD45AA470D191FAD39F
GSM4029923_JB18070_matrix.mtx.gz,JB18070,GSM4029923,matrix,18527184,0D320CBADB9F769CD4BFD1937EED8E4CC5F2188186E148B6116A499763000B92
GSM4029924_JB18071_barcodes.tsv.gz,JB18071,GSM4029924,barcodes,23052,EBB175932E092FEEEC1EA001337D5A58FA00DC939E7B613D1D1453325105C5CF
GSM4029924_JB18071_matrix.mtx.gz,JB18071,GSM4029924,matrix,20597870,2EA172641D45B2504381C9C93E491F2DF66CF8714EF6B11DFB9FD0FBA23B5F7A
GSM4029925_JB18072_barcodes.tsv.gz,JB18072,GSM4029925,barcodes,20401,8F84635869ACF0589E06CBADE66885E5C3CBCCA6F2436BA76CB6C704740564ED
GSM4029925_JB18072_matrix.mtx.gz,JB18072,GSM4029925,matrix,15614624,29A288722EB28550479A5260B8BA519D1C60BE46F7B4B48AA09C607DEC540E6C
GSM4029926_JB18073_barcodes.tsv.gz,JB18073,GSM4029926,barcodes,23400,95E2418B4440DD50C326455E20C3C5CD950DD216E39DD776CBC5A1B3B3615E1F
GSM4029926_JB18073_matrix.mtx.gz,JB18073,GSM4029926,matrix,21748906,8CC22CCAA5E14D7DB1D65DB06075C28DC4FECA97EAC50A8B8709A7443D2C140F
GSM4029927_JB18074_barcodes.tsv.gz,JB18074,GSM4029927,barcodes,24651,D6835C51A9FB831132543A072D989E070CE4AC53CE71B1A46A362078A46E99EA
GSM4029927_JB18074_matrix.mtx.gz,JB18074,GSM4029927,matrix,26761013,2C659E7D4BF11056CFC70FA076BFE1F3DE3BE9C4A0A00FEBD75E46B97E7A68A5
GSM4029928_JB18075_barcodes.tsv.gz,JB18075,GSM4029928,barcodes,20616,E88BD6E847E2B0A5830DF85702AB18F12D99794A9305173A61037796B9AC0F81
GSM4029928_JB18075_matrix.mtx.gz,JB18075,GSM4029928,matrix,15548230,6C7219409CE335C20846038763277B902D1BFEB3EB49786505B9068704A11BC5
GSM4029929_JB18076_barcodes.tsv.gz,JB18076,GSM4029929,barcodes,23609,7F53D87395C9AE9FE82EC359BE2B9D19EEA2C44DFFB4C073A2402CE4B3624EEF
GSM4029929_JB18076_matrix.mtx.gz,JB18076,GSM4029929,matrix,17833900,AE51C9C1AAB3EB66A76C2558E1A492828A7E4019537FA39F7C3821BB0AEEE8C2
GSM4029930_JB18077_barcodes.tsv.gz,JB18077,GSM4029930,barcodes,31883,B0E48F8EBB50482B843BEBE615E0C63497FC02BCA310C9AF7F48691CCDC22D77
GSM4029930_JB18077_matrix.mtx.gz,JB18077,GSM4029930,matrix,27780431,812E34D7F5130921EB5CE37F716F633B6D605C26011CA3B31471E6C05AAC8E5A
GSM4029931_JB18078_barcodes.tsv.gz,JB18078,GSM4029931,barcodes,29040,3D28CE1DD4BD9A0CDD853F04F57791CB939306269650EDA78D761F9ED4661665
GSM4029931_JB18078_matrix.mtx.gz,JB18078,GSM4029931,matrix,25639339,72BA4D1489527064DBD2B00BC6F890C89BC61E559CFC219C39493FBF03635A3E
GSM4029932_JB18079_barcodes.tsv.gz,JB18079,GSM4029932,barcodes,30824,9877F580D5A2A2C4427699E2720038318A32AF5CC4D05CAD2BE9D0DB1558DD95
GSM4029932_JB18079_matrix.mtx.gz,JB18079,GSM4029932,matrix,24331684,3964B216832F988845313C2032CC6B41A31BFC64E06D742273892A12A6010C43
GSM4029933_JB18080_barcodes.tsv.gz,JB18080,GSM4029933,barcodes,18937,08864884A79D573282CC83F7F6E9D45C7B0E8BED815C3CC5A0FA9C5B1EBB3BDA
