pseudobulk_row,representation,sample_id,accession,frozen_compartment,source_label,cell_count,library_size_umi,detected_genes
311,source_label,JB18068,GSM4029921,B_ASC_CONTROL,PC-caSC1,27,220611,9609
312,compartment,JB18069,GSM4029922,B_CONV_ANALOG,,446,1450147,13700
313,compartment,JB18069,GSM4029922,B_ASC_CONTROL,,4,30519,4790
314,source_label,JB18069,GSM4029922,B_CONV_ANALOG,B-caSC0,38,101912,7841
315,source_label,JB18069,GSM4029922,B_CONV_ANALOG,B-caSC1,97,284610,10230
316,source_label,JB18069,GSM4029922,B_CONV_ANALOG,B-caSC2,161,658034,11997
317,source_label,JB18069,GSM4029922,B_CONV_ANALOG,B-caSC3,2,4755,1395
318,source_label,JB18069,GSM4029922,B_CONV_ANALOG,B-caSC4,69,180638,9179
319,source_label,JB18069,GSM4029922,B_CONV_ANALOG,B-caSC5,11,38854,5064
320,source_label,JB18069,GSM4029922,B_CONV_ANALOG,B-caSC6,22,56371,6329
321,source_label,JB18069,GSM4029922,B_CONV_ANALOG,B-caSC7,46,124973,8256
322,source_label,JB18069,GSM4029922,B_ASC_CONTROL,PC-caSC0,0,0,0
323,source_label,JB18069,GSM4029922,B_ASC_CONTROL,PC-caSC1,4,30519,4790
324,compartment,JB18070,GSM4029923,B_CONV_ANALOG,,469,1285760,13308
325,compartment,JB18070,GSM4029923,B_ASC_CONTROL,,5,50991,5766
326,source_label,JB18070,GSM4029923,B_CONV_ANALOG,B-caSC0,112,260861,9971
327,source_label,JB18070,GSM4029923,B_CONV_ANALOG,B-caSC1,34,90010,7185
328,source_label,JB18070,GSM4029923,B_CONV_ANALOG,B-caSC2,127,449430,11064
329,source_label,JB18070,GSM4029923,B_CONV_ANALOG,B-caSC3,9,18300,3584
330,source_label,JB18070,GSM4029923,B_CONV_ANALOG,B-caSC4,69,158298,8675
331,source_label,JB18070,GSM4029923,B_CONV_ANALOG,B-caSC5,21,68978,6485
332,source_label,JB18070,GSM4029923,B_CONV_ANALOG,B-caSC6,53,122883,8220
333,source_label,JB18070,GSM4029923,B_CONV_ANALOG,B-caSC7,44,117000,7886
334,source_label,JB18070,GSM4029923,B_ASC_CONTROL,PC-caSC0,0,0,0
335,source_label,JB18070,GSM4029923,B_ASC_CONTROL,PC-caSC1,5,50991,5766
336,compartment,JB18071,GSM4029924,B_CONV_ANALOG,,1039,3689654,15224
337,compartment,JB18071,GSM4029924,B_ASC_CONTROL,,29,240100,9573
338,source_label,JB18071,GSM4029924,B_CONV_ANALOG,B-caSC0,59,186423,9147
339,source_label,JB18071,GSM4029924,B_CONV_ANALOG,B-caSC1,92,343107,10487
340,source_label,JB18071,GSM4029924,B_CONV_ANALOG,B-caSC2,49,202194,9603
341,source_label,JB18071,GSM4029924,B_CONV_ANALOG,B-caSC3,355,1169546,12897
342,source_label,JB18071,GSM4029924,B_CONV_ANALOG,B-caSC4,128,405294,10853
343,source_label,JB18071,GSM4029924,B_CONV_ANALOG,B-caSC5,41,188902,9421
344,source_label,JB18071,GSM4029924,B_CONV_ANALOG,B-caSC6,47,147147,8689
345,source_label,JB18071,GSM4029924,B_CONV_ANALOG,B-caSC7,268,1047041,12571
346,source_label,JB18071,GSM4029924,B_ASC_CONTROL,PC-caSC0,12,79918,7185
347,source_label,JB18071,GSM4029924,B_ASC_CONTROL,PC-caSC1,17,160182,8394
348,compartment,JB18072,GSM4029925,B_CONV_ANALOG,,606,1870252,13860
349,compartment,JB18072,GSM4029925,B_ASC_CONTROL,,15,125481,7844
350,source_label,JB18072,GSM4029925,B_CONV_ANALOG,B-caSC0,85,212547,9180
351,source_label,JB18072,GSM4029925,B_CONV_ANALOG,B-caSC1,90,244297,9398
352,source_label,JB18072,GSM4029925,B_CONV_ANALOG,B-caSC2,262,928521,12366
353,source_label,JB18072,GSM4029925,B_CONV_ANALOG,B-caSC3,13,32195,4230
354,source_label,JB18072,GSM4029925,B_CONV_ANALOG,B-caSC4,78,196833,8993
355,source_label,JB18072,GSM4029925,B_CONV_ANALOG,B-caSC5,43,163807,8472
356,source_label,JB18072,GSM4029925,B_CONV_ANALOG,B-caSC6,19,48077,5321
357,source_label,JB18072,GSM4029925,B_CONV_ANALOG,B-caSC7,16,43975,4973
358,source_label,JB18072,GSM4029925,B_ASC_CONTROL,PC-caSC0,5,34372,4783
359,source_label,JB18072,GSM4029925,B_ASC_CONTROL,PC-caSC1,10,91109,6944
360,compartment,JB18073,GSM4029926,B_CONV_ANALOG,,829,2684845,14697
361,compartment,JB18073,GSM4029926,B_ASC_CONTROL,,13,112549,7679
362,source_label,JB18073,GSM4029926,B_CONV_ANALOG,B-caSC0,208,573355,11612
363,source_label,JB18073,GSM4029926,B_CONV_ANALOG,B-caSC1,20,61697,6330
364,source_label,JB18073,GSM4029926,B_CONV_ANALOG,B-caSC2,100,422918,11005
365,source_label,JB18073,GSM4029926,B_CONV_ANALOG,B-caSC3,227,621569,11727
366,source_label,JB18073,GSM4029926,B_CONV_ANALOG,B-caSC4,31,82090,6854
367,source_label,JB18073,GSM4029926,B_CONV_ANALOG,B-caSC5,176,721436,12050
368,source_label,JB18073,GSM4029926,B_CONV_ANALOG,B-caSC6,39,111236,7711
369,source_label,JB18073,GSM4029926,B_CONV_ANALOG,B-caSC7,28,90544,7184
370,source_label,JB18073,GSM4029926,B_ASC_CONTROL,PC-caSC0,8,72328,6378
371,source_label,JB18073,GSM4029926,B_ASC_CONTROL,PC-caSC1,5,40221,5255
372,compartment,JB18074,GSM4029927,B_CONV_ANALOG,,687,2294314,14589
373,compartment,JB18074,GSM4029927,B_ASC_CONTROL,,86,717777,11835
374,source_label,JB18074,GSM4029927,B_CONV_ANALOG,B-caSC0,10,36882,4763
375,source_label,JB18074,GSM4029927,B_CONV_ANALOG,B-caSC1,5,19429,3717
376,source_label,JB18074,GSM4029927,B_CONV_ANALOG,B-caSC2,17,57006,6238
377,source_label,JB18074,GSM4029927,B_CONV_ANALOG,B-caSC3,455,1394622,13480
378,source_label,JB18074,GSM4029927,B_CONV_ANALOG,B-caSC4,2,7537,2166
379,source_label,JB18074,GSM4029927,B_CONV_ANALOG,B-caSC5,190,755500,12357
380,source_label,JB18074,GSM4029927,B_CONV_ANALOG,B-caSC6,6,16827,3362
381,source_label,JB18074,GSM4029927,B_CONV_ANALOG,B-caSC7,2,6511,1932
382,source_label,JB18074,GSM4029927,B_ASC_CONTROL,PC-caSC0,71,623014,11512
383,source_label,JB18074,GSM4029927,B_ASC_CONTROL,PC-caSC1,15,94763,7368
384,compartment,JB18075,GSM4029928,B_CONV_ANALOG,,155,479279,11258
385,compartment,JB18075,GSM4029928,B_ASC_CONTROL,,1,4733,1500
386,source_label,JB18075,GSM4029928,B_CONV_ANALOG,B-caSC0,61,169282,8537
387,source_label,JB18075,GSM4029928,B_CONV_ANALOG,B-caSC1,26,78602,6438
388,source_label,JB18075,GSM4029928,B_CONV_ANALOG,B-caSC2,15,53958,5583
389,source_label,JB18075,GSM4029928,B_CONV_ANALOG,B-caSC3,21,57045,5884
390,source_label,JB18075,GSM4029928,B_CONV_ANALOG,B-caSC4,6,16920,3013
391,source_label,JB18075,GSM4029928,B_CONV_ANALOG,B-caSC5,18,78447,6780
392,source_label,JB18075,GSM4029928,B_CONV_ANALOG,B-caSC6,7,21064,3549
393,source_label,JB18075,GSM4029928,B_CONV_ANALOG,B-caSC7,1,3961,1144
394,source_label,JB18075,GSM4029928,B_ASC_CONTROL,PC-caSC0,1,4733,1500
395,source_label,JB18075,GSM4029928,B_ASC_CONTROL,PC-caSC1,0,0,0
396,compartment,JB18076,GSM4029929,B_CONV_ANALOG,,142,439340,11010
397,compartment,JB18076,GSM4029929,B_ASC_CONTROL,,9,69769,6461
398,source_label,JB18076,GSM4029929,B_CONV_ANALOG,B-caSC0,18,48701,5493
399,source_label,JB18076,GSM4029929,B_CONV_ANALOG,B-caSC1,38,102460,7287
400,source_label,JB18076,GSM4029929,B_CONV_ANALOG,B-caSC2,33,135092,8033
401,source_label,JB18076,GSM4029929,B_CONV_ANALOG,B-caSC3,3,8222,2045
402,source_label,JB18076,GSM4029929,B_CONV_ANALOG,B-caSC4,19,46628,5189
403,source_label,JB18076,GSM4029929,B_CONV_ANALOG,B-caSC5,12,43590,5117
404,source_label,JB18076,GSM4029929,B_CONV_ANALOG,B-caSC6,5,10930,2356
405,source_label,JB18076,GSM4029929,B_CONV_ANALOG,B-caSC7,14,43717,4967
406,source_label,JB18076,GSM4029929,B_ASC_CONTROL,PC-caSC0,1,5243,1482
407,source_label,JB18076,GSM4029929,B_ASC_CONTROL,PC-caSC1,8,64526,6231
408,compartment,JB18077,GSM4029930,B_CONV_ANALOG,,935,2870171,14669
409,compartment,JB18077,GSM4029930,B_ASC_CONTROL,,12,106635,7541
410,source_label,JB18077,GSM4029930,B_CONV_ANALOG,B-caSC0,106,280916,10088
411,source_label,JB18077,GSM4029930,B_CONV_ANALOG,B-caSC1,119,371175,10488
412,source_label,JB18077,GSM4029930,B_CONV_ANALOG,B-caSC2,180,791060,12127
413,source_label,JB18077,GSM4029930,B_CONV_ANALOG,B-caSC3,4,13072,2688
414,source_label,JB18077,GSM4029930,B_CONV_ANALOG,B-caSC4,296,745898,11958
415,source_label,JB18077,GSM4029930,B_CONV_ANALOG,B-caSC5,25,97641,7253
416,source_label,JB18077,GSM4029930,B_CONV_ANALOG,B-caSC6,69,179368,9013
417,source_label,JB18077,GSM4029930,B_CONV_ANALOG,B-caSC7,136,391041,10647
418,source_label,JB18077,GSM4029930,B_ASC_CONTROL,PC-caSC0,0,0,0
419,source_label,JB18077,GSM4029930,B_ASC_CONTROL,PC-caSC1,12,106635,7541
420,compartment,JB18078,GSM4029931,B_CONV_ANALOG,,790,2473841,14366
421,compartment,JB18078,GSM4029931,B_ASC_CONTROL,,9,89789,7257
422,source_label,JB18078,GSM4029931,B_CONV_ANALOG,B-caSC0,171,479114,11034
423,source_label,JB18078,GSM4029931,B_CONV_ANALOG,B-caSC1,79,247623,9542
424,source_label,JB18078,GSM4029931,B_CONV_ANALOG,B-caSC2,198,817119,12153
425,source_label,JB18078,GSM4029931,B_CONV_ANALOG,B-caSC3,7,16357,3245
426,source_label,JB18078,GSM4029931,B_CONV_ANALOG,B-caSC4,173,439526,10853
427,source_label,JB18078,GSM4029931,B_CONV_ANALOG,B-caSC5,36,130458,7998
428,source_label,JB18078,GSM4029931,B_CONV_ANALOG,B-caSC6,52,139221,8328
429,source_label,JB18078,GSM4029931,B_CONV_ANALOG,B-caSC7,74,204423,9133
430,source_label,JB18078,GSM4029931,B_ASC_CONTROL,PC-caSC0,1,7583,1899
431,source_label,JB18078,GSM4029931,B_ASC_CONTROL,PC-caSC1,8,82206,7062
432,compartment,JB18079,GSM4029932,B_CONV_ANALOG,,592,1571051,13069
433,compartment,JB18079,GSM4029932,B_ASC_CONTROL,,12,95197,7198
434,source_label,JB18079,GSM4029932,B_CONV_ANALOG,B-caSC0,175,409415,10343
435,source_label,JB18079,GSM4029932,B_CONV_ANALOG,B-caSC1,62,145590,8006
436,source_label,JB18079,GSM4029932,B_CONV_ANALOG,B-caSC2,118,449034,10481
437,source_label,JB18079,GSM4029932,B_CONV_ANALOG,B-caSC3,7,18689,3321
438,source_label,JB18079,GSM4029932,B_CONV_ANALOG,B-caSC4,96,206396,8839
439,source_label,JB18079,GSM4029932,B_CONV_ANALOG,B-caSC5,23,86773,6577
440,source_label,JB18079,GSM4029932,B_CONV_ANALOG,B-caSC6,51,116340,7517
441,source_label,JB18079,GSM4029932,B_CONV_ANALOG,B-caSC7,60,138814,7820
442,source_label,JB18079,GSM4029932,B_ASC_CONTROL,PC-caSC0,1,4660,1345
443,source_label,JB18079,GSM4029932,B_ASC_CONTROL,PC-caSC1,11,90537,7055
444,compartment,JB18080,GSM4029933,B_CONV_ANALOG,,237,748755,12202
445,compartment,JB18080,GSM4029933,B_ASC_CONTROL,,0,0,0
446,source_label,JB18080,GSM4029933,B_CONV_ANALOG,B-caSC0,55,168510,8856
447,source_label,JB18080,GSM4029933,B_CONV_ANALOG,B-caSC1,29,86749,7312
448,source_label,JB18080,GSM4029933,B_CONV_ANALOG,B-caSC2,30,97545,7741
449,source_label,JB18080,GSM4029933,B_CONV_ANALOG,B-caSC3,45,132968,8464
450,source_label,JB18080,GSM4029933,B_CONV_ANALOG,B-caSC4,14,40201,5321
451,source_label,JB18080,GSM4029933,B_CONV_ANALOG,B-caSC5,39,145084,8675
452,source_label,JB18080,GSM4029933,B_CONV_ANALOG,B-caSC6,20,61117,6452
453,source_label,JB18080,GSM4029933,B_CONV_ANALOG,B-caSC7,5,16581,3381
454,source_label,JB18080,GSM4029933,B_ASC_CONTROL,PC-caSC0,0,0,0
455,source_label,JB18080,GSM4029933,B_ASC_CONTROL,PC-caSC1,0,0,0
456,compartment,JB18081,GSM4029934,B_CONV_ANALOG,,821,1683825,13640
457,compartment,JB18081,GSM4029934,B_ASC_CONTROL,,3,12629,2868
458,source_label,JB18081,GSM4029934,B_CONV_ANALOG,B-caSC0,419,840901,12210
459,source_label,JB18081,GSM4029934,B_CONV_ANALOG,B-caSC1,28,57775,6182
460,source_label,JB18081,GSM4029934,B_CONV_ANALOG,B-caSC2,32,103119,7517
461,source_label,JB18081,GSM4029934,B_CONV_ANALOG,B-caSC3,124,244363,9707
462,source_label,JB18081,GSM4029934,B_CONV_ANALOG,B-caSC4,104,202496,9161
463,source_label,JB18081,GSM4029934,B_CONV_ANALOG,B-caSC5,8,23218,3717
464,source_label,JB18081,GSM4029934,B_CONV_ANALOG,B-caSC6,89,177536,9033
465,source_label,JB18081,GSM4029934,B_CONV_ANALOG,B-caSC7,17,34417,4559
466,source_label,JB18081,GSM4029934,B_ASC_CONTROL,PC-caSC0,1,7563,2092
467,source_label,JB18081,GSM4029934,B_ASC_CONTROL,PC-caSC1,2,5066,1534
468,compartment,JB18082,GSM4029935,B_CONV_ANALOG,,991,3061099,14370
469,compartment,JB18082,GSM4029935,B_ASC_CONTROL,,10,88051,6690
470,source_label,JB18082,GSM4029935,B_CONV_ANALOG,B-caSC0,52,121404,7831
471,source_label,JB18082,GSM4029935,B_CONV_ANALOG,B-caSC1,341,928010,12012
472,source_label,JB18082,GSM4029935,B_CONV_ANALOG,B-caSC2,310,1234691,12489
473,source_label,JB18082,GSM4029935,B_CONV_ANALOG,B-caSC3,11,22704,3852
474,source_label,JB18082,GSM4029935,B_CONV_ANALOG,B-caSC4,168,424412,10549
475,source_label,JB18082,GSM4029935,B_CONV_ANALOG,B-caSC5,31,126015,7806
476,source_label,JB18082,GSM4029935,B_CONV_ANALOG,B-caSC6,42,105918,7308
477,source_label,JB18082,GSM4029935,B_CONV_ANALOG,B-caSC7,36,97945,7180
478,source_label,JB18082,GSM4029935,B_ASC_CONTROL,PC-caSC0,1,6137,1731
479,source_label,JB18082,GSM4029935,B_ASC_CONTROL,PC-caSC1,9,81914,6465
480,compartment,JB18085,GSM4029936,B_CONV_ANALOG,,1014,3359770,14457
481,compartment,JB18085,GSM4029936,B_ASC_CONTROL,,10,95356,7086
482,source_label,JB18085,GSM4029936,B_CONV_ANALOG,B-caSC0,122,358750,10247
483,source_label,JB18085,GSM4029936,B_CONV_ANALOG,B-caSC1,312,992215,12096
484,source_label,JB18085,GSM4029936,B_CONV_ANALOG,B-caSC2,166,782774,11725
485,source_label,JB18085,GSM4029936,B_CONV_ANALOG,B-caSC3,5,12682,2800
486,source_label,JB18085,GSM4029936,B_CONV_ANALOG,B-caSC4,242,693170,11418
487,source_label,JB18085,GSM4029936,B_CONV_ANALOG,B-caSC5,16,70638,6586
488,source_label,JB18085,GSM4029936,B_CONV_ANALOG,B-caSC6,78,224044,9239
489,source_label,JB18085,GSM4029936,B_CONV_ANALOG,B-caSC7,73,225497,9182
490,source_label,JB18085,GSM4029936,B_ASC_CONTROL,PC-caSC0,0,0,0
491,source_label,JB18085,GSM4029936,B_ASC_CONTROL,PC-caSC1,10,95356,7086
492,compartment,JB18086,GSM4029937,B_CONV_ANALOG,,727,1961383,13386
493,compartment,JB18086,GSM4029937,B_ASC_CONTROL,,13,90878,6974
494,source_label,JB18086,GSM4029937,B_CONV_ANALOG,B-caSC0,203,502144,10886
495,source_label,JB18086,GSM4029937,B_CONV_ANALOG,B-caSC1,81,210447,8961
496,source_label,JB18086,GSM4029937,B_CONV_ANALOG,B-caSC2,116,388697,10219
497,source_label,JB18086,GSM4029937,B_CONV_ANALOG,B-caSC3,6,14591,2937
498,source_label,JB18086,GSM4029937,B_CONV_ANALOG,B-caSC4,194,500053,10719
499,source_label,JB18086,GSM4029937,B_CONV_ANALOG,B-caSC5,20,69205,6324
500,source_label,JB18086,GSM4029937,B_CONV_ANALOG,B-caSC6,65,160995,8405
501,source_label,JB18086,GSM4029937,B_CONV_ANALOG,B-caSC7,42,115251,7396
502,source_label,JB18086,GSM4029937,B_ASC_CONTROL,PC-caSC0,2,3069,1058
503,source_label,JB18086,GSM4029937,B_ASC_CONTROL,PC-caSC1,11,87809,6901
504,compartment,JB18083,GSM4029938,B_CONV_ANALOG,,722,2129308,13820
505,compartment,JB18083,GSM4029938,B_ASC_CONTROL,,14,111055,7556
506,source_label,JB18083,GSM4029938,B_CONV_ANALOG,B-caSC0,206,523137,11153
507,source_label,JB18083,GSM4029938,B_CONV_ANALOG,B-caSC1,138,377170,10403
508,source_label,JB18083,GSM4029938,B_CONV_ANALOG,B-caSC2,121,540449,11216
509,source_label,JB18083,GSM4029938,B_CONV_ANALOG,B-caSC3,4,11221,2502
510,source_label,JB18083,GSM4029938,B_CONV_ANALOG,B-caSC4,98,240725,9492
511,source_label,JB18083,GSM4029938,B_CONV_ANALOG,B-caSC5,14,58278,5935
512,source_label,JB18083,GSM4029938,B_CONV_ANALOG,B-caSC6,70,182371,8973
513,source_label,JB18083,GSM4029938,B_CONV_ANALOG,B-caSC7,71,195957,9000
514,source_label,JB18083,GSM4029938,B_ASC_CONTROL,PC-caSC0,0,0,0
515,source_label,JB18083,GSM4029938,B_ASC_CONTROL,PC-caSC1,14,111055,7556
516,compartment,JB18084,GSM4029939,B_CONV_ANALOG,,849,2270329,13817
517,compartment,JB18084,GSM4029939,B_ASC_CONTROL,,11,84362,6867
518,source_label,JB18084,GSM4029939,B_CONV_ANALOG,B-caSC0,289,703755,11598
519,source_label,JB18084,GSM4029939,B_CONV_ANALOG,B-caSC1,100,260579,9601
520,source_label,JB18084,GSM4029939,B_CONV_ANALOG,B-caSC2,98,386329,10423
521,source_label,JB18084,GSM4029939,B_CONV_ANALOG,B-caSC3,17,43280,5531
522,source_label,JB18084,GSM4029939,B_CONV_ANALOG,B-caSC4,149,348733,10125
523,source_label,JB18084,GSM4029939,B_CONV_ANALOG,B-caSC5,41,131301,7906
524,source_label,JB18084,GSM4029939,B_CONV_ANALOG,B-caSC6,80,189449,8938
525,source_label,JB18084,GSM4029939,B_CONV_ANALOG,B-caSC7,75,206903,8997
526,source_label,JB18084,GSM4029939,B_ASC_CONTROL,PC-caSC0,0,0,0
527,source_label,JB18084,GSM4029939,B_ASC_CONTROL,PC-caSC1,11,84362,6867
528,compartment,JB19001,GSM4029940,B_CONV_ANALOG,,338,1065298,12593
529,compartment,JB19001,GSM4029940,B_ASC_CONTROL,,12,85005,7013
530,source_label,JB19001,GSM4029940,B_CONV_ANALOG,B-caSC0,161,407347,10511
531,source_label,JB19001,GSM4029940,B_CONV_ANALOG,B-caSC1,11,26337,3804
532,source_label,JB19001,GSM4029940,B_CONV_ANALOG,B-caSC2,81,370487,10329
533,source_label,JB19001,GSM4029940,B_CONV_ANALOG,B-caSC3,6,17126,3206
534,source_label,JB19001,GSM4029940,B_CONV_ANALOG,B-caSC4,18,45054,5113
535,source_label,JB19001,GSM4029940,B_CONV_ANALOG,B-caSC5,22,93093,6913
536,source_label,JB19001,GSM4029940,B_CONV_ANALOG,B-caSC6,31,75728,6566
537,source_label,JB19001,GSM4029940,B_CONV_ANALOG,B-caSC7,8,30126,4506
538,source_label,JB19001,GSM4029940,B_ASC_CONTROL,PC-caSC0,1,3703,1348
539,source_label,JB19001,GSM4029940,B_ASC_CONTROL,PC-caSC1,11,81302,6885
540,compartment,JB19003,GSM4029942,B_CONV_ANALOG,,404,1369764,13009
541,compartment,JB19003,GSM4029942,B_ASC_CONTROL,,0,0,0
542,source_label,JB19003,GSM4029942,B_CONV_ANALOG,B-caSC0,70,185110,8656
543,source_label,JB19003,GSM4029942,B_CONV_ANALOG,B-caSC1,62,173768,8433
544,source_label,JB19003,GSM4029942,B_CONV_ANALOG,B-caSC2,155,661188,11382
545,source_label,JB19003,GSM4029942,B_CONV_ANALOG,B-caSC3,2,4733,1565
546,source_label,JB19003,GSM4029942,B_CONV_ANALOG,B-caSC4,56,149811,8073
547,source_label,JB19003,GSM4029942,B_CONV_ANALOG,B-caSC5,24,105700,6972
548,source_label,JB19003,GSM4029942,B_CONV_ANALOG,B-caSC6,27,67878,6198
549,source_label,JB19003,GSM4029942,B_CONV_ANALOG,B-caSC7,8,21576,3469
550,source_label,JB19003,GSM4029942,B_ASC_CONTROL,PC-caSC0,0,0,0
551,source_label,JB19003,GSM4029942,B_ASC_CONTROL,PC-caSC1,0,0,0
552,compartment,JB19004,GSM4029943,B_CONV_ANALOG,,64,286719,10301
553,compartment,JB19004,GSM4029943,B_ASC_CONTROL,,7,54969,6150
554,source_label,JB19004,GSM4029943,B_CONV_ANALOG,B-caSC0,16,63445,6281
555,source_label,JB19004,GSM4029943,B_CONV_ANALOG,B-caSC1,4,20721,3627
556,source_label,JB19004,GSM4029943,B_CONV_ANALOG,B-caSC2,6,32387,5316
557,source_label,JB19004,GSM4029943,B_CONV_ANALOG,B-caSC3,15,59617,6109
558,source_label,JB19004,GSM4029943,B_CONV_ANALOG,B-caSC4,4,14889,2853
559,source_label,JB19004,GSM4029943,B_CONV_ANALOG,B-caSC5,16,85364,7208
560,source_label,JB19004,GSM4029943,B_CONV_ANALOG,B-caSC6,2,6761,1793
561,source_label,JB19004,GSM4029943,B_CONV_ANALOG,B-caSC7,1,3535,1190
562,source_label,JB19004,GSM4029943,B_ASC_CONTROL,PC-caSC0,5,37018,5212
563,source_label,JB19004,GSM4029943,B_ASC_CONTROL,PC-caSC1,2,17951,3559
564,compartment,JB19006,GSM4029944,B_CONV_ANALOG,,53,212169,9483
565,compartment,JB19006,GSM4029944,B_ASC_CONTROL,,15,152240,8503
566,source_label,JB19006,GSM4029944,B_CONV_ANALOG,B-caSC0,4,14522,3142
567,source_label,JB19006,GSM4029944,B_CONV_ANALOG,B-caSC1,0,0,0
568,source_label,JB19006,GSM4029944,B_CONV_ANALOG,B-caSC2,23,88489,7198
569,source_label,JB19006,GSM4029944,B_CONV_ANALOG,B-caSC3,8,25495,4276
570,source_label,JB19006,GSM4029944,B_CONV_ANALOG,B-caSC4,0,0,0
571,source_label,JB19006,GSM4029944,B_CONV_ANALOG,B-caSC5,17,80411,7148
572,source_label,JB19006,GSM4029944,B_CONV_ANALOG,B-caSC6,1,3252,1136
573,source_label,JB19006,GSM4029944,B_CONV_ANALOG,B-caSC7,0,0,0
574,source_label,JB19006,GSM4029944,B_ASC_CONTROL,PC-caSC0,12,113018,7944
575,source_label,JB19006,GSM4029944,B_ASC_CONTROL,PC-caSC1,3,39222,4537
576,compartment,JB19007,GSM4029945,B_CONV_ANALOG,,270,1054849,12464
577,compartment,JB19007,GSM4029945,B_ASC_CONTROL,,24,203128,9038
578,source_label,JB19007,GSM4029945,B_CONV_ANALOG,B-caSC0,19,57347,5791
579,source_label,JB19007,GSM4029945,B_CONV_ANALOG,B-caSC1,29,93576,6912
580,source_label,JB19007,GSM4029945,B_CONV_ANALOG,B-caSC2,161,691497,11566
581,source_label,JB19007,GSM4029945,B_CONV_ANALOG,B-caSC3,1,2357,793
582,source_label,JB19007,GSM4029945,B_CONV_ANALOG,B-caSC4,20,53426,5528
583,source_label,JB19007,GSM4029945,B_CONV_ANALOG,B-caSC5,25,107851,7432
584,source_label,JB19007,GSM4029945,B_CONV_ANALOG,B-caSC6,11,34369,4498
585,source_label,JB19007,GSM4029945,B_CONV_ANALOG,B-caSC7,4,14426,2774
586,source_label,JB19007,GSM4029945,B_ASC_CONTROL,PC-caSC0,4,25129,4345
587,source_label,JB19007,GSM4029945,B_ASC_CONTROL,PC-caSC1,20,177999,8601
588,compartment,JB19008,GSM4029946,B_CONV_ANALOG,,89,327436,10318
589,compartment,JB19008,GSM4029946,B_ASC_CONTROL,,20,227550,9155
590,source_label,JB19008,GSM4029946,B_CONV_ANALOG,B-caSC0,17,57968,5856
591,source_label,JB19008,GSM4029946,B_CONV_ANALOG,B-caSC1,16,70296,6144
592,source_label,JB19008,GSM4029946,B_CONV_ANALOG,B-caSC2,11,42085,5388
593,source_label,JB19008,GSM4029946,B_CONV_ANALOG,B-caSC3,1,2987,939
594,source_label,JB19008,GSM4029946,B_CONV_ANALOG,B-caSC4,16,51759,5539
595,source_label,JB19008,GSM4029946,B_CONV_ANALOG,B-caSC5,4,14115,2964
596,source_label,JB19008,GSM4029946,B_CONV_ANALOG,B-caSC6,11,33999,4744
597,source_label,JB19008,GSM4029946,B_CONV_ANALOG,B-caSC7,13,54227,5687
598,source_label,JB19008,GSM4029946,B_ASC_CONTROL,PC-caSC0,3,20740,3934
599,source_label,JB19008,GSM4029946,B_ASC_CONTROL,PC-caSC1,17,206810,8776
600,compartment,JB19009,GSM4029947,B_CONV_ANALOG,,580,1798011,13539
601,compartment,JB19009,GSM4029947,B_ASC_CONTROL,,11,93282,7117
602,source_label,JB19009,GSM4029947,B_CONV_ANALOG,B-caSC0,82,203149,9010
603,source_label,JB19009,GSM4029947,B_CONV_ANALOG,B-caSC1,122,303192,9911
604,source_label,JB19009,GSM4029947,B_CONV_ANALOG,B-caSC2,193,799986,11846
605,source_label,JB19009,GSM4029947,B_CONV_ANALOG,B-caSC3,0,0,0
606,source_label,JB19009,GSM4029947,B_CONV_ANALOG,B-caSC4,97,235947,9411
607,source_label,JB19009,GSM4029947,B_CONV_ANALOG,B-caSC5,26,100315,7301
608,source_label,JB19009,GSM4029947,B_CONV_ANALOG,B-caSC6,45,110881,7709
609,source_label,JB19009,GSM4029947,B_CONV_ANALOG,B-caSC7,15,44541,5188
610,source_label,JB19009,GSM4029947,B_ASC_CONTROL,PC-caSC0,1,3279,1033
611,source_label,JB19009,GSM4029947,B_ASC_CONTROL,PC-caSC1,10,90003,7024
612,compartment,JB19010,GSM4029948,B_CONV_ANALOG,,490,1423831,12883
613,compartment,JB19010,GSM4029948,B_ASC_CONTROL,,6,47409,5070
614,source_label,JB19010,GSM4029948,B_CONV_ANALOG,B-caSC0,56,136311,8019
615,source_label,JB19010,GSM4029948,B_CONV_ANALOG,B-caSC1,90,234478,9162
616,source_label,JB19010,GSM4029948,B_CONV_ANALOG,B-caSC2,189,650372,11358
617,source_label,JB19010,GSM4029948,B_CONV_ANALOG,B-caSC3,1,2710,855
618,source_label,JB19010,GSM4029948,B_CONV_ANALOG,B-caSC4,60,135550,7943
619,source_label,JB19010,GSM4029948,B_CONV_ANALOG,B-caSC5,29,95142,6970
620,source_label,JB19010,GSM4029948,B_CONV_ANALOG,B-caSC6,43,111391,7527
621,source_label,JB19010,GSM4029948,B_CONV_ANALOG,B-caSC7,22,57877,5682
622,source_label,JB19010,GSM4029948,B_ASC_CONTROL,PC-caSC0,0,0,0
623,source_label,JB19010,GSM4029948,B_ASC_CONTROL,PC-caSC1,6,47409,5070
624,compartment,JB19011,GSM4029949,B_CONV_ANALOG,,414,1059778,12341
625,compartment,JB19011,GSM4029949,B_ASC_CONTROL,,25,153126,8300
626,source_label,JB19011,GSM4029949,B_CONV_ANALOG,B-caSC0,95,203295,8660
